"","ensgene","name","module","mm"
"1","ENSG00000227232","WASH7P","pink",0.586087482796562
"2","ENSG00000237683","AL627309.1","skyblue3",0.751295691130493
"3","ENSG00000268903","RP11-34P13.15","skyblue3",0.711615454575636
"4","ENSG00000269981","RP11-34P13.16","skyblue3",0.733833907198641
"5","ENSG00000239906","RP11-34P13.14","skyblue3",0.680068316628195
"6","ENSG00000241860","RP11-34P13.13","skyblue3",0.690341216445443
"7","ENSG00000228463","AP006222.2","lightcyan",0.461030418120319
"8","ENSG00000241670","AP006222.1","darkseagreen4",0.525525918303628
"9","ENSG00000237094","RP4-669L17.10","skyblue3",0.487761913544485
"10","ENSG00000225972","MTND1P23","lightpink4",0.290944821590948
"11","ENSG00000225630","MTND2P28","lightgreen",0.190639155098743
"12","ENSG00000237973","hsa-mir-6723","lightgreen",0.29848786439736
"13","ENSG00000229344","RP5-857K21.7","darkorange",0.130342598564354
"14","ENSG00000224956","RP11-206L10.1","paleturquoise",0.591365428615997
"15","ENSG00000228327","RP11-206L10.2","lavenderblush3",0.626925693062389
"16","ENSG00000237491","RP11-206L10.9","paleturquoise",0.632297675439916
"17","ENSG00000230092","RP11-206L10.8","pink",0.438702842905659
"18","ENSG00000225880","LINC00115","green",0.657070372077348
"19","ENSG00000228794","RP11-206L10.11","palevioletred3",0.426742306209121
"20","ENSG00000223764","RP11-54O7.3","skyblue2",0.667231487575214
"21","ENSG00000187634","SAMD11","skyblue2",0.785906289619494
"22","ENSG00000188976","NOC2L","black",0.882724083263582
"23","ENSG00000187961","KLHL17","darkturquoise",0.780747779880017
"24","ENSG00000187583","PLEKHN1","bisque4",0.615968941794917
"25","ENSG00000272512","ENSG00000272512","greenyellow",0.369479377248475
"26","ENSG00000188290","HES4","palevioletred3",0.49881828590518
"27","ENSG00000187608","ISG15","coral2",0.615139086333178
"28","ENSG00000188157","AGRN","darkorange2",0.504268893807027
"29","ENSG00000242590","RP11-54O7.14","grey60",0.4978350886808
"30","ENSG00000217801","RP11-465B22.3","yellow",0.458108443916165
"31","ENSG00000237330","RNF223","yellowgreen",0.329184390399718
"32","ENSG00000131591","C1orf159","paleturquoise",0.630722391173884
"33","ENSG00000272141","ENSG00000272141","mediumorchid",0.818144333399469
"34","ENSG00000162571","TTLL10","brown",0.962586124573131
"35","ENSG00000186891","TNFRSF18","orange",0.660207873212209
"36","ENSG00000186827","TNFRSF4","coral2",0.678111981686048
"37","ENSG00000078808","SDF4","yellowgreen",0.713017323516688
"38","ENSG00000176022","B3GALT6","mediumpurple3",0.854269228678427
"39","ENSG00000184163","FAM132A","yellow",0.749990911234259
"40","ENSG00000260179","RP5-902P8.12","yellow",0.716149466069048
"41","ENSG00000160087","UBE2J2","black",0.78348868498901
"42","ENSG00000230415","RP5-902P8.10","grey60",0.66578406232488
"43","ENSG00000162572","SCNN1D","grey60",0.822002355720735
"44","ENSG00000131584","ACAP3","midnightblue",0.694762119308826
"45","ENSG00000169972","PUSL1","yellowgreen",0.748918439343301
"46","ENSG00000127054","CPSF3L","midnightblue",0.727492245729538
"47","ENSG00000240731","RP5-890O3.9","cyan",0.562573391057843
"48","ENSG00000224051","GLTPD1","red",0.872662863241009
"49","ENSG00000169962","TAS1R3","plum1",0.569821997775394
"50","ENSG00000107404","DVL1","midnightblue",0.529695435464233
"51","ENSG00000162576","MXRA8","skyblue2",0.740018422094545
"52","ENSG00000175756","AURKAIP1","yellowgreen",0.861484047478707
"53","ENSG00000221978","CCNL2","darkturquoise",0.714827771401331
"54","ENSG00000224870","RP4-758J18.2","red",0.644639802115985
"55","ENSG00000242485","MRPL20","black",0.845922006380456
"56","ENSG00000264293","RN7SL657P","lavenderblush3",0.527783122744411
"57","ENSG00000272455","ENSG00000272455","paleturquoise",0.527962904551904
"58","ENSG00000235098","ANKRD65","mediumorchid",0.835688669017208
"59","ENSG00000225285","RP4-758J18.10","mediumorchid",0.392517511456583
"60","ENSG00000179403","VWA1","black",0.446799865106975
"61","ENSG00000215915","ATAD3C","mediumpurple3",0.669660500487519
