"","InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"1","cyan","105968_REACTOME_Formation_of_a_pool_of_free_40S_subunits__Reactome_NCBI_Biosystems","PW_Lists",4.43509589468058e-144
"2","cyan","105976_REACTOME_Eukaryotic_Translation_Elongation__Reactome_NCBI_Biosystems","PW_Lists",3.85050751987018e-143
"3","cyan","160955_REACTOME_L13a-mediated_translational_silencing_of_Ceruloplasmin_expression__Reactome_NCBI_Biosystems","PW_Lists",1.01250025471268e-139
"4","cyan","105977_REACTOME_Peptide_chain_elongation__Reactome_NCBI_Biosystems","PW_Lists",5.15342810441228e-139
"5","cyan","413404_KEGG_Ribosome,_eukaryotes__Kegg_NCBI_Biosystems","PW_Lists",6.28997362903524e-138
"6","cyan","105973_REACTOME_GTP_hydrolysis_and_joining_of_the_60S_ribosomal_subunit__Reactome_NCBI_Biosystems","PW_Lists",1.82397468504676e-136
"7","cyan","105978_REACTOME_Eukaryotic_Translation_Termination__Reactome_NCBI_Biosystems","PW_Lists",5.03022116723247e-136
"8","cyan","106077_REACTOME_Viral_mRNA_Translation__Reactome_NCBI_Biosystems","PW_Lists",5.03022116723247e-136
"9","cyan","441_KEGG_Ribosome__Kegg_NCBI_Biosystems","PW_Lists",5.03022116723247e-136
"10","cyan","83036_KEGG_Ribosome__Kegg_NCBI_Biosystems","PW_Lists",5.03022116723247e-136
"11","cyan","198853_WikiPathways_Cytoplasmic_Ribosomal_Proteins__Wiki_Pathways_NCBI_Biosystems","PW_Lists",3.94770874514522e-135
"12","cyan","105966_REACTOME_Eukaryotic_Translation_Initiation__Reactome_NCBI_Biosystems","PW_Lists",5.36500829415863e-135
"13","cyan","105967_REACTOME_Cap-dependent_Translation_Initiation__Reactome_NCBI_Biosystems","PW_Lists",5.36500829415863e-135
"14","cyan","366242_REACTOME_Nonsense_Mediated_Decay_Independent_of_the_Exon_Junction_Complex__Reactome_NCBI_Biosystems","PW_Lists",1.15182163912607e-134
"15","cyan","105965_REACTOME_Translation__Reactome_NCBI_Biosystems","PW_Lists",1.91058986626767e-130
"16","cyan","106074_REACTOME_Influenza_Viral_RNA_Transcription_and_Replication__Reactome_NCBI_Biosystems","PW_Lists",1.5864966521802e-124
"17","cyan","366240_REACTOME_Nonsense-Mediated_Decay__Reactome_NCBI_Biosystems","PW_Lists",3.54705127133544e-123
"18","cyan","366241_REACTOME_Nonsense_Mediated_Decay_Enhanced_by_the_Exon_Junction_Complex__Reactome_NCBI_Biosystems","PW_Lists",3.54705127133544e-123
"19","cyan","530746_REACTOME_SRP-dependent_cotranslational_protein_targeting_to_membrane__Reactome_NCBI_Biosystems","PW_Lists",3.54705127133544e-123
"20","cyan","salmon_M12_Ribosome__HumanMeta","Brain",2.9640391751202e-117
"21","cyan","106067_REACTOME_Influenza_Infection__Reactome_NCBI_Biosystems","PW_Lists",1.6372469407906e-109
"22","cyan","106068_REACTOME_Influenza_Life_Cycle__Reactome_NCBI_Biosystems","PW_Lists",1.10597240877285e-108
"23","cyan","106230_REACTOME_Metabolism_of_proteins__Reactome_NCBI_Biosystems","PW_Lists",3.5679827374662e-92
"24","cyan","530764_REACTOME_Disease__Reactome_NCBI_Biosystems","PW_Lists",1.83329361014676e-59
"25","cyan","105937_REACTOME_Gene_Expression__Reactome_NCBI_Biosystems","PW_Lists",2.14044622594233e-57
"26","cyan","105969_REACTOME_Formation_of_the_ternary_complex,_and_subsequently,_the_43S_complex__Reactome_NCBI_Biosystems","PW_Lists",7.05392963199871e-54
"27","cyan","105971_REACTOME_Translation_initiation_complex_formation__Reactome_NCBI_Biosystems","PW_Lists",6.82190614266427e-53
"28","cyan","105970_REACTOME_Activation_of_the_mRNA_upon_binding_of_the_cap-binding_complex_and_eIFs,_and_subsequent_binding_to_43S__Reactome_NCBI_Biosystems","PW_Lists",1.81219390763135e-52
