"","ensgene","name","module","mm"
"1","ENSG00000227232","WASH7P","midnightblue",0.449193000794424
"2","ENSG00000237683","AL627309.1","floralwhite",0.465664390812434
"3","ENSG00000268903","RP11-34P13.15","grey60",0.474161271030945
"4","ENSG00000269981","RP11-34P13.16","grey60",0.450117622874096
"5","ENSG00000239906","RP11-34P13.14","maroon",0.473160544145965
"6","ENSG00000228463","AP006222.2","skyblue3",0.443552324348427
"7","ENSG00000241670","AP006222.1","darkorange",0.478087688312379
"8","ENSG00000237094","RP4-669L17.10","maroon",0.785830386440815
"9","ENSG00000225972","MTND1P23","indianred4",0.202154371390468
"10","ENSG00000225630","MTND2P28","coral1",0.201944888581079
"11","ENSG00000237973","hsa-mir-6723","magenta4",0.199638100117729
"12","ENSG00000229344","RP5-857K21.7","coral1",0.244667096060113
"13","ENSG00000224956","RP11-206L10.1","mediumpurple3",0.639259032030157
"14","ENSG00000228327","RP11-206L10.2","maroon",0.744642671259075
"15","ENSG00000237491","RP11-206L10.9","midnightblue",0.666483525584509
"16","ENSG00000230092","RP11-206L10.8","maroon",0.622692672857506
"17","ENSG00000177757","FAM87B","maroon",0.451551567987198
"18","ENSG00000225880","LINC00115","darkolivegreen4",0.594573788973898
"19","ENSG00000228794","RP11-206L10.11","darkolivegreen",0.57806102649586
"20","ENSG00000223764","RP11-54O7.3","royalblue",0.50629241396439
"21","ENSG00000187634","SAMD11","lightyellow",0.442043106704364
"22","ENSG00000188976","NOC2L","magenta",0.75142674544585
"23","ENSG00000187961","KLHL17","lightyellow",0.855548852352318
"24","ENSG00000272512","ENSG00000272512","darkmagenta",0.377522329349425
"25","ENSG00000188290","HES4","darkseagreen4",0.708357812310796
"26","ENSG00000187608","ISG15","palevioletred2",0.815984056712057
"27","ENSG00000188157","AGRN","salmon",0.654615630972655
"28","ENSG00000242590","RP11-54O7.14","darkred",0.627673094538305
"29","ENSG00000217801","RP11-465B22.3","plum3",0.514603834624079
"30","ENSG00000131591","C1orf159","greenyellow",0.734878797627456
"31","ENSG00000186891","TNFRSF18","plum",0.547031931192931
"32","ENSG00000186827","TNFRSF4","orangered3",0.437997527357989
"33","ENSG00000078808","SDF4","pink",0.623496271035555
"34","ENSG00000176022","B3GALT6","darkviolet",0.50526849035573
"35","ENSG00000184163","FAM132A","thistle",0.769817026415007
