"","plum2","darkred","darkturquoise","lightsteelblue1","sienna3","antiquewhite4","darkslateblue","lightyellow","black","maroon","white","violet","darkorange2","yellowgreen","coral1","honeydew1","paleturquoise","darkseagreen4","midnightblue","cyan","magenta","salmon4","darkgreen","lightgreen","salmon","thistle1","bisque4","orangered4","thistle2","ivory","lightcyan1","brown4","purple","skyblue","mediumorchid","palevioletred3","darkmagenta"
"Astrocytes, highly probable (Cahoy, 2008)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.9179477804087e-20,1,1,1,1
"Astrocytes module in Cortex",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0073159184387259,1,1,1,1,1,1,1,1,7.56037559590224e-49,0.00533514731541813,1,1,1
"Microglia in Human brain Module (Geschwind, 2010)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.84941659773294e-09,1,1,1,1,1,1,1,1,1,1,1,8.29732895615141e-08,1,1,1.74688264705925e-53,1,1,0.00020599296745652,1,1,1
"Microglia (Type2) module in Cortex",1,0.000904419514640694,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.07229529297851e-14,1,1,3.22741473621107e-14,1,1,1
"Neuron in Human brain Module (Geschwind,2010)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8.84591608717196e-63,1,1,1,1,1,2.58863771636104e-13,1,1,1,1,1,1,1
"Neuron module in Cortex",1,1,8.47816038086318e-26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.73822010714423e-22,1,1,1,1,1,1.70491547442283e-11,1,1,1,1,1,1,1
"Neuron, pyramidal in network from Sugino/Winden",1,1,6.88549179313538e-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.24453096512076e-08,1,1,1,1,1,0.00112479153123045,1,1,1,1,1,1,1
"Microglia (Type 1) (Geschwind, 2010)",1,4.58430973879659e-72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.86891377165237e-28
"Neuron, definite (Cahoy, 2008)",1,1,1,1,1,3.57683305720298e-06,1,1,1,1,1.35397733536751e-21,1,1,1,1,1,0.000527132557982525,1,1,1,1,1,1,1,1,1,1,1,4.95258487197833e-11,1,1,1,1,1,1,1,1
"Oligodendrocytes in Human brain Module (Geschwind,2010)",1,1,1,1,1,1,1.04421937271908e-39,1,1,1,1,1,1,1,1,1,1,1,1,1,1.19692008059002e-113,1,1,1,1,1,1,1,1,1,1,2.05517796601313e-06,1,1,1,3.5953288723711e-15,1
"Oligodendrocytes in Cortex",1,1,1,1,1,1,3.17779111082851e-20,1,1,1,1,1,1,1,1,1,1,1,1,1,3.52007498022413e-56,1,1,1,1,1,1,1,1,1,1,7.85383688570609e-10,1,1,1,0.000421138759273286,1
"Oligodendrocytes, definite (Cahoy, 2008)",1,1,1,1,1,1,0.0179468939648187,1,1,1,1,1,1,1,1,1,1,1,1,1,3.394308442744e-36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Oligodendrocytes from conservative data set (Lein, 2007)",1,1,1,1,1,1,0.028275925916862,1,1,1,1,1,1,1,1,1,1,1,1,1,1.67152640814193e-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron, probably (Cahoy, 2008)",1,1,1,1,1,2.73503024269485e-14,1,1,1,1,3.21041737246243e-53,0.0198826115551765,1,1,1,1,8.15452697454017e-30,1,1,1,1,1,1,2.65839011737416e-09,1,1,1,1,4.06750797596071e-45,1,1,1,1,1,1,1,1
"Astrocytes-Cahoy",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.93025006071962e-05,1,1,1,1
"Neuron-Dopaminergic-Cahoy",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neurons-Cahoy",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Oligodendrocytes-Cahoy",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00387606833644297,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Ependymal-External",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.87109312201686e-59,6.32022400713779e-30,1,1,1,1,1,1,1,1,1,1,1
"Oligodendrocyte-External",1,1,1,1,1,1,1.09129011441514e-08,1,1,1,1,1,1,1,1,1,1,1,1,1,5.68198693808681e-46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Microglia-External",1,4.50703739706906e-54,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0205858318580138,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.38777115397508e-65
