"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","plum2",TRUE,0.00308,6134,297,137,0.461,0.022,"GO:1901360","BP",2,"organic cyclic compound metabolic process",1,"GCFC2,ZNF195,PHTF2,NOS2,JARID2,MBTD1,ASTE1,NSUN2,TRIT1,YTHDC2,NFE2L3,ZNF280C,TARBP1,CDH3,PMS1,TAF11,TRMT11,RAD18,HLTF,SLC23A2,OSGEP,CDC7,TAB1,GINS1,POLI,RBM3,UGGT2,LMF1,PYCRL,ZNF85,EZH2,TRDMT1,ALOX12,LUC7L3,PPWD1,TCERG1,KCNIP3,WDR75,TIA1,SFPQ,TFAP2E,MTR,SLC19A2,RCOR3,HELLS,RCL1,NR2C1,RWDD3,SPDEF,UPF3B,GTPBP3,MCCC2,PDE6B,PIWIL4,AGO4,WDR36,SETDB2,BAAT,THUMPD2,CYP2C8,DBR1,MSTN,VWA9,TDG,HNRNPA1L2,PARN,NUDT7,MTF2,POU2F1,PPOX,TRPC1,BDP1,ZNF300,ZNF182,PAN3,ZNF18,PCGF6,SUPV3L1,PFKFB1,ZNF222,ZNF382,ZNF75A,NLRP3,PUS10,DHX57,U2SURP,ANKRA2,ZNF226,POLR2J3,ZNF354A,ZIK1,QARS,ZNF596,ZNF449,SWSAP1,RBM4,ZNF266,C3ORF33,ATR,ZNF77,ATAD5,ZNF491,ZNF518A,GEN1,ZNF443,ZNF101,SS18L1,L3MBTL1,ZNF529,KDM4D,FANCM,SLC24A5,SKOR1,ADAT2,FHIT,ZKSCAN3,ZNF140,ZNF418,ZNF441,ZNF682,ZNF311,ZNF251,ZNF334,ZNF26,NTRK1,ZNF69,CEP290,ZFP2,SMN2,HMGN1,ZNF726,PPIL3,NSUN6,N4BP2L2,ZNF345,ZNF432,CTD-3105H18.14",2.09634866986716
"2","plum2",TRUE,0.00744,5931,297,132,0.444,0.022,"GO:0006725","BP",2,"cellular aromatic compound metabolic process",1,"GCFC2,ZNF195,PHTF2,NOS2,JARID2,MBTD1,ASTE1,NSUN2,TRIT1,YTHDC2,NFE2L3,ZNF280C,TARBP1,CDH3,PMS1,TAF11,TRMT11,RAD18,HLTF,SLC23A2,OSGEP,CDC7,TAB1,GINS1,POLI,RBM3,UGGT2,ZNF85,EZH2,TRDMT1,LUC7L3,PPWD1,TCERG1,KCNIP3,WDR75,TIA1,SFPQ,TFAP2E,MTR,SLC19A2,RCOR3,HELLS,RCL1,NR2C1,RWDD3,SPDEF,UPF3B,GTPBP3,MCCC2,PDE6B,PIWIL4,AGO4,WDR36,SETDB2,THUMPD2,DBR1,MSTN,VWA9,TDG,HNRNPA1L2,PARN,NUDT7,MTF2,POU2F1,PPOX,TRPC1,BDP1,ZNF300,ZNF182,PAN3,ZNF18,PCGF6,SUPV3L1,PFKFB1,ZNF222,ZNF382,ZNF75A,NLRP3,PUS10,DHX57,U2SURP,ANKRA2,ZNF226,POLR2J3,ZNF354A,ZIK1,QARS,ZNF596,ZNF449,SWSAP1,RBM4,ZNF266,C3ORF33,ATR,ZNF77,ATAD5,ZNF491,ZNF518A,GEN1,ZNF443,ZNF101,SS18L1,L3MBTL1,ZNF529,KDM4D,FANCM,SLC24A5,SKOR1,ADAT2,FHIT,ZKSCAN3,ZNF140,ZNF418,ZNF441,ZNF682,ZNF311,ZNF251,ZNF334,ZNF26,NTRK1,ZNF69,CEP290,ZFP2,SMN2,HMGN1,ZNF726,PPIL3,NSUN6,N4BP2L2,ZNF345,ZNF432,CTD-3105H18.14",2.13621682635607
"3","plum2",TRUE,0.00943,5897,297,131,0.441,0.022,"GO:0046483","BP",2,"heterocycle metabolic process",1,"GCFC2,ZNF195,PHTF2,NOS2,JARID2,MBTD1,ASTE1,NSUN2,TRIT1,YTHDC2,NFE2L3,ZNF280C,TARBP1,PMS1,TAF11,TRMT11,RAD18,HLTF,SLC23A2,OSGEP,CDC7,TAB1,GINS1,POLI,RBM3,UGGT2,PYCRL,ZNF85,EZH2,TRDMT1,ALOX12,LUC7L3,PPWD1,TCERG1,KCNIP3,WDR75,TIA1,SFPQ,TFAP2E,MTR,SLC19A2,RCOR3,HELLS,RCL1,NR2C1,RWDD3,SPDEF,UPF3B,GTPBP3,MCCC2,PDE6B,PIWIL4,AGO4,WDR36,SETDB2,THUMPD2,DBR1,MSTN,VWA9,TDG,HNRNPA1L2,PARN,NUDT7,MTF2,POU2F1,PPOX,BDP1,ZNF300,ZNF182,PAN3,ZNF18,PCGF6,SUPV3L1,PFKFB1,ZNF222,ZNF382,ZNF75A,NLRP3,PUS10,DHX57,U2SURP,ANKRA2,ZNF226,POLR2J3,ZNF354A,ZIK1,QARS,ZNF596,ZNF449,SWSAP1,RBM4,ZNF266,C3ORF33,ATR,ZNF77,ATAD5,ZNF491,ZNF518A,GEN1,ZNF443,ZNF101,SS18L1,L3MBTL1,ZNF529,KDM4D,FANCM,SKOR1,ADAT2,FHIT,ZKSCAN3,ZNF140,ZNF418,ZNF441,ZNF682,ZNF311,ZNF251,ZNF334,ZNF26,NTRK1,ZNF69,CEP290,ZFP2,SMN2,HMGN1,ZNF726,PPIL3,NSUN6,N4BP2L2,ZNF345,ZNF432,CTD-3105H18.14",2.14161737953607
"4","plum2",TRUE,0.0309,5731,297,126,0.424,0.022,"GO:0006139","BP",2,"nucleobase-containing compound metabolic process",2,"GCFC2,ZNF195,PHTF2,NOS2,JARID2,MBTD1,ASTE1,NSUN2,TRIT1,YTHDC2,NFE2L3,ZNF280C,TARBP1,PMS1,TAF11,TRMT11,RAD18,HLTF,SLC23A2,OSGEP,CDC7,TAB1,GINS1,POLI,RBM3,UGGT2,ZNF85,EZH2,TRDMT1,LUC7L3,PPWD1,TCERG1,KCNIP3,WDR75,TIA1,SFPQ,TFAP2E,RCOR3,HELLS,RCL1,NR2C1,RWDD3,SPDEF,UPF3B,GTPBP3,MCCC2,PDE6B,PIWIL4,AGO4,WDR36,SETDB2,THUMPD2,DBR1,MSTN,VWA9,TDG,HNRNPA1L2,PARN,NUDT7,MTF2,POU2F1,BDP1,ZNF300,ZNF182,PAN3,ZNF18,PCGF6,SUPV3L1,PFKFB1,ZNF222,ZNF382,ZNF75A,NLRP3,PUS10,DHX57,U2SURP,ANKRA2,ZNF226,POLR2J3,ZNF354A,ZIK1,QARS,ZNF596,ZNF449,SWSAP1,RBM4,ZNF266,C3ORF33,ATR,ZNF77,ATAD5,ZNF491,ZNF518A,GEN1,ZNF443,ZNF101,SS18L1,L3MBTL1,ZNF529,KDM4D,FANCM,SKOR1,ADAT2,FHIT,ZKSCAN3,ZNF140,ZNF418,ZNF441,ZNF682,ZNF311,ZNF251,ZNF334,ZNF26,NTRK1,ZNF69,CEP290,ZFP2,SMN2,HMGN1,ZNF726,PPIL3,NSUN6,N4BP2L2,ZNF345,ZNF432,CTD-3105H18.14",2.1681073240248
"5","plum2",TRUE,0.00319,5103,297,119,0.401,0.023,"GO:0090304","BP",2,"nucleic acid metabolic process",3,"GCFC2,ZNF195,PHTF2,JARID2,MBTD1,ASTE1,NSUN2,TRIT1,YTHDC2,NFE2L3,ZNF280C,TARBP1,PMS1,TAF11,TRMT11,RAD18,HLTF,OSGEP,CDC7,TAB1,GINS1,POLI,RBM3,ZNF85,EZH2,TRDMT1,LUC7L3,PPWD1,TCERG1,KCNIP3,WDR75,TIA1,SFPQ,TFAP2E,RCOR3,HELLS,RCL1,NR2C1,RWDD3,SPDEF,UPF3B,GTPBP3,PIWIL4,AGO4,WDR36,SETDB2,THUMPD2,DBR1,MSTN,VWA9,TDG,HNRNPA1L2,PARN,MTF2,POU2F1,BDP1,ZNF300,ZNF182,PAN3,ZNF18,PCGF6,SUPV3L1,ZNF222,ZNF382,ZNF75A,NLRP3,PUS10,DHX57,U2SURP,ANKRA2,ZNF226,POLR2J3,ZNF354A,ZIK1,QARS,ZNF596,ZNF449,SWSAP1,RBM4,ZNF266,C3ORF33,ATR,ZNF77,ATAD5,ZNF491,ZNF518A,GEN1,ZNF443,ZNF101,SS18L1,L3MBTL1,ZNF529,KDM4D,FANCM,SKOR1,ADAT2,FHIT,ZKSCAN3,ZNF140,ZNF418,ZNF441,ZNF682,ZNF311,ZNF251,ZNF334,ZNF26,NTRK1,ZNF69,CEP290,ZFP2,SMN2,HMGN1,ZNF726,PPIL3,NSUN6,N4BP2L2,ZNF345,ZNF432,CTD-3105H18.14",2.2717223785017
"6","plum2",TRUE,0.0104,4597,297,108,0.364,0.023,"GO:0016070","BP",2,"RNA metabolic process",1,"GCFC2,ZNF195,PHTF2,JARID2,MBTD1,NSUN2,TRIT1,YTHDC2,NFE2L3,ZNF280C,TARBP1,TAF11,TRMT11,HLTF,OSGEP,TAB1,RBM3,ZNF85,EZH2,TRDMT1,LUC7L3,PPWD1,TCERG1,KCNIP3,WDR75,TIA1,SFPQ,TFAP2E,RCOR3,HELLS,RCL1,NR2C1,RWDD3,SPDEF,UPF3B,GTPBP3,PIWIL4,AGO4,WDR36,SETDB2,THUMPD2,DBR1,MSTN,VWA9,TDG,HNRNPA1L2,PARN,MTF2,POU2F1,BDP1,ZNF300,ZNF182,PAN3,ZNF18,PCGF6,SUPV3L1,ZNF222,ZNF382,ZNF75A,NLRP3,PUS10,DHX57,U2SURP,ANKRA2,ZNF226,POLR2J3,ZNF354A,ZIK1,QARS,ZNF596,ZNF449,RBM4,ZNF266,C3ORF33,ZNF77,ZNF491,ZNF518A,ZNF443,ZNF101,SS18L1,L3MBTL1,ZNF529,KDM4D,SKOR1,ADAT2,FHIT,ZKSCAN3,ZNF140,ZNF418,ZNF441,ZNF682,ZNF311,ZNF251,ZNF334,ZNF26,NTRK1,ZNF69,CEP290,ZFP2,SMN2,HMGN1,ZNF726,PPIL3,NSUN6,N4BP2L2,ZNF345,ZNF432,CTD-3105H18.14",2.46190117957877
"7","plum2",TRUE,0.00348,130,297,12,0.04,0.092,"GO:0009451","BP",2,"RNA modification",2,"NSUN2,TRIT1,TARBP1,TRMT11,OSGEP,TRDMT1,GTPBP3,THUMPD2,PARN,PUS10,ADAT2,NSUN6",6.87025083866856
"8","plum2",TRUE,0.0123,122,297,11,0.037,0.09,"GO:0008033","BP",2,"tRNA processing",1,"NSUN2,TRIT1,TARBP1,TRMT11,OSGEP,TRDMT1,GTPBP3,THUMPD2,PUS10,ADAT2,NSUN6",7.02205685153657
"9","plum2",TRUE,4.6e-05,71,297,11,0.037,0.155,"GO:0006400","BP",2,"tRNA modification",2,"NSUN2,TRIT1,TARBP1,TRMT11,OSGEP,TRDMT1,GTPBP3,THUMPD2,PUS10,ADAT2,NSUN6",7.69894351122473
"10","plum2",TRUE,0.0014,31,297,7,0.024,0.226,"GO:0030488","BP",2,"tRNA methylation",3,"NSUN2,TARBP1,TRMT11,TRDMT1,GTPBP3,THUMPD2,NSUN6",8.7815554585464
