"","InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"1","salmon","105976_REACTOME_Eukaryotic_Translation_Elongation__Reactome_NCBI_Biosystems","PW_Lists",7.04574947379666e-129
"2","salmon","105968_REACTOME_Formation_of_a_pool_of_free_40S_subunits__Reactome_NCBI_Biosystems","PW_Lists",1.70876142262071e-126
"3","salmon","105977_REACTOME_Peptide_chain_elongation__Reactome_NCBI_Biosystems","PW_Lists",3.13977061824456e-125
"4","salmon","413404_KEGG_Ribosome,_eukaryotes__Kegg_NCBI_Biosystems","PW_Lists",1.47179390594977e-122
"5","salmon","160955_REACTOME_L13a-mediated_translational_silencing_of_Ceruloplasmin_expression__Reactome_NCBI_Biosystems","PW_Lists",4.6051025171208e-122
"6","salmon","441_KEGG_Ribosome__Kegg_NCBI_Biosystems","PW_Lists",1.16358937587557e-120
"7","salmon","83036_KEGG_Ribosome__Kegg_NCBI_Biosystems","PW_Lists",1.16358937587557e-120
"8","salmon","105978_REACTOME_Eukaryotic_Translation_Termination__Reactome_NCBI_Biosystems","PW_Lists",9.07956060934217e-120
"9","salmon","106077_REACTOME_Viral_mRNA_Translation__Reactome_NCBI_Biosystems","PW_Lists",9.07956060934217e-120
"10","salmon","105973_REACTOME_GTP_hydrolysis_and_joining_of_the_60S_ribosomal_subunit__Reactome_NCBI_Biosystems","PW_Lists",4.34848432788629e-119
"11","salmon","366242_REACTOME_Nonsense_Mediated_Decay_Independent_of_the_Exon_Junction_Complex__Reactome_NCBI_Biosystems","PW_Lists",2.73402427927585e-118
"12","salmon","105966_REACTOME_Eukaryotic_Translation_Initiation__Reactome_NCBI_Biosystems","PW_Lists",1.89640717555653e-117
"13","salmon","105967_REACTOME_Cap-dependent_Translation_Initiation__Reactome_NCBI_Biosystems","PW_Lists",1.89640717555653e-117
"14","salmon","198853_WikiPathways_Cytoplasmic_Ribosomal_Proteins__Wiki_Pathways_NCBI_Biosystems","PW_Lists",4.16127131918374e-117
"15","salmon","105965_REACTOME_Translation__Reactome_NCBI_Biosystems","PW_Lists",3.15163106212626e-116
"16","salmon","salmon_M12_Ribosome__HumanMeta","Brain",2.46207571117973e-114
"17","salmon","530746_REACTOME_SRP-dependent_cotranslational_protein_targeting_to_membrane__Reactome_NCBI_Biosystems","PW_Lists",2.39696512123045e-109
"18","salmon","106074_REACTOME_Influenza_Viral_RNA_Transcription_and_Replication__Reactome_NCBI_Biosystems","PW_Lists",1.25996228453045e-108
"19","salmon","366240_REACTOME_Nonsense-Mediated_Decay__Reactome_NCBI_Biosystems","PW_Lists",4.12635839639239e-107
"20","salmon","366241_REACTOME_Nonsense_Mediated_Decay_Enhanced_by_the_Exon_Junction_Complex__Reactome_NCBI_Biosystems","PW_Lists",4.12635839639239e-107
"21","salmon","106067_REACTOME_Influenza_Infection__Reactome_NCBI_Biosystems","PW_Lists",1.0240165615615e-93
"22","salmon","106068_REACTOME_Influenza_Life_Cycle__Reactome_NCBI_Biosystems","PW_Lists",4.13008813156429e-93
"23","salmon","106230_REACTOME_Metabolism_of_proteins__Reactome_NCBI_Biosystems","PW_Lists",2.49866616780655e-77
"24","cyan","pink_M10_Microglia(Type1)__HumanMeta","Brain",1.73096749300626e-57
