"","InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"1","darkred","105976_REACTOME_Eukaryotic_Translation_Elongation__Reactome_NCBI_Biosystems","PW_Lists",1.5483481909547e-136
"2","darkred","105968_REACTOME_Formation_of_a_pool_of_free_40S_subunits__Reactome_NCBI_Biosystems","PW_Lists",4.71086793734297e-134
"3","darkred","105977_REACTOME_Peptide_chain_elongation__Reactome_NCBI_Biosystems","PW_Lists",9.88836077799453e-133
"4","darkred","160955_REACTOME_L13a-mediated_translational_silencing_of_Ceruloplasmin_expression__Reactome_NCBI_Biosystems","PW_Lists",1.68356245143346e-129
"5","darkred","105978_REACTOME_Eukaryotic_Translation_Termination__Reactome_NCBI_Biosystems","PW_Lists",5.01310582069897e-127
"6","darkred","106077_REACTOME_Viral_mRNA_Translation__Reactome_NCBI_Biosystems","PW_Lists",5.01310582069897e-127
"7","darkred","105973_REACTOME_GTP_hydrolysis_and_joining_of_the_60S_ribosomal_subunit__Reactome_NCBI_Biosystems","PW_Lists",2.06997732885908e-126
"8","darkred","198853_WikiPathways_Cytoplasmic_Ribosomal_Proteins__Wiki_Pathways_NCBI_Biosystems","PW_Lists",3.96488826225217e-126
"9","darkred","413404_KEGG_Ribosome,_eukaryotes__Kegg_NCBI_Biosystems","PW_Lists",4.51045085230337e-126
"10","darkred","366242_REACTOME_Nonsense_Mediated_Decay_Independent_of_the_Exon_Junction_Complex__Reactome_NCBI_Biosystems","PW_Lists",1.73729330335636e-125
"11","darkred","441_KEGG_Ribosome__Kegg_NCBI_Biosystems","PW_Lists",3.83469149321734e-125
"12","darkred","83036_KEGG_Ribosome__Kegg_NCBI_Biosystems","PW_Lists",3.83469149321734e-125
"13","darkred","105966_REACTOME_Eukaryotic_Translation_Initiation__Reactome_NCBI_Biosystems","PW_Lists",9.30586534070577e-125
"14","darkred","105967_REACTOME_Cap-dependent_Translation_Initiation__Reactome_NCBI_Biosystems","PW_Lists",9.30586534070577e-125
"15","darkred","105965_REACTOME_Translation__Reactome_NCBI_Biosystems","PW_Lists",1.322306351212e-121
"16","darkred","106074_REACTOME_Influenza_Viral_RNA_Transcription_and_Replication__Reactome_NCBI_Biosystems","PW_Lists",1.76484808950448e-115
"17","darkred","366240_REACTOME_Nonsense-Mediated_Decay__Reactome_NCBI_Biosystems","PW_Lists",5.98715927055543e-114
"18","darkred","366241_REACTOME_Nonsense_Mediated_Decay_Enhanced_by_the_Exon_Junction_Complex__Reactome_NCBI_Biosystems","PW_Lists",5.98715927055543e-114
"19","darkred","530746_REACTOME_SRP-dependent_cotranslational_protein_targeting_to_membrane__Reactome_NCBI_Biosystems","PW_Lists",5.98715927055543e-114
"20","darkred","salmon_M12_Ribosome__HumanMeta","Brain",1.03647299155084e-107
"21","darkred","106067_REACTOME_Influenza_Infection__Reactome_NCBI_Biosystems","PW_Lists",3.1815523758148e-100
"22","darkred","106068_REACTOME_Influenza_Life_Cycle__Reactome_NCBI_Biosystems","PW_Lists",1.45400629965417e-99
"23","darkred","106230_REACTOME_Metabolism_of_proteins__Reactome_NCBI_Biosystems","PW_Lists",1.3055561675099e-83
"24","lightcyan","pink_M10_Microglia(Type1)__HumanMeta","Brain",3.13402222487079e-63
"25","lightcyan","Substantia Nigra, pars reticulata_localMarker(top200)_IN_Mesencephalon__HBA","HumanBrainRegions",2.24512113205547e-62
"26","lightgreen","Neuron_probable__Cahoy","Brain",1.58963637861259e-53
"27","darkred","105969_REACTOME_Formation_of_the_ternary_complex,_and_subsequently,_the_43S_complex__Reactome_NCBI_Biosystems","PW_Lists",4.18601840274628e-52
"28","darkred","105971_REACTOME_Translation_initiation_complex_formation__Reactome_NCBI_Biosystems","PW_Lists",9.4683461054738e-51
"29","darkred","530764_REACTOME_Disease__Reactome_NCBI_Biosystems","PW_Lists",1.71699889782526e-50
"30","darkred","105970_REACTOME_Activation_of_the_mRNA_upon_binding_of_the_cap-binding_complex_and_eIFs,_and_subsequent_binding_to_43S__Reactome_NCBI_Biosystems","PW_Lists",2.70943119766305e-50
"31","lightcyan","Substantia Nigra, pars reticulata_localMarker(FC>2)_IN_Mesencephalon__HBA","HumanBrainRegions",4.85024478624307e-49
"32","darkred","105972_REACTOME_Ribosomal_scanning_and_start_codon_recognition__Reactome_NCBI_Biosystems","PW_Lists",1.29999558641111e-48
"33","darkred","105937_REACTOME_Gene_Expression__Reactome_NCBI_Biosystems","PW_Lists",1.08800635901106e-46
"34","darkgrey","167190_KEGG_Protein_processing_in_endoplasmic_reticulum__Kegg_NCBI_Biosystems","PW_Lists",4.88381031747186e-39
"35","darkgrey","167325_KEGG_Protein_processing_in_endoplasmic_reticulum__Kegg_NCBI_Biosystems","PW_Lists",4.88381031747186e-39
"36","lightcyan","overexpressed_in_multipotent_primary_hematopoietic_SCs_(CD133+)__Cui","StemCells",4.23837204208026e-37
"37","lightcyan","Lateral group of Nuclei, Dorsal Division_localMarker(top200)_IN_Dorthal Thalamus__HBA","HumanBrainRegions",5.92611171183818e-34
"38","darkred","upWithABeta_MGactivation_GSE772__MicrogialMarkers","Brain",1.48958606169412e-32
"39","darkslateblue","blue_M16_Neuron__CTX","Brain",1.32266221790465e-31
"40","darkslateblue","turquoise_M14_Nucleus__MouseMeta","Brain",3.44444886509595e-30
"41","lightgreen","Neuron_definite__Cahoy","Brain",7.82175583186783e-27
"42","lightcyan","171867_KEGG_Staphylococcus_aureus_infection__Kegg_NCBI_Biosystems","PW_Lists",2.40821827947816e-25
"43","lightcyan","172846_KEGG_Staphylococcus_aureus_infection__Kegg_NCBI_Biosystems","PW_Lists",2.40821827947816e-25
"44","darkslateblue","Annotated_genes_bound_by_RNA_polymerase_II_(Table_S2)__Lee","StemCells",4.20033216217719e-24
"45","darkred","midnightblue_M2_Ribosome__CTX","Brain",1.43892227679681e-23
"46","darkgrey","161013_REACTOME_Asparagine_N-linked_glycosylation__Reactome_NCBI_Biosystems","PW_Lists",5.84387201409654e-23
"47","lightgreen","Polycomb_genes_(PGSTs)_repressed_by_SCs_(Table_S9)__Lee","StemCells",2.45272428733202e-22
"48","darkslateblue","yellow_M18__CTX","Brain",1.59833279828531e-21
"49","lightgreen","Annotated_genes_bound_by_Suz12_(Table_S8)__Lee","StemCells",1.85915762249473e-21
"50","darkslateblue","turquoise_M14_Nucleus__HumanMeta","Brain",4.43900525610296e-21
"51","bisque4","DownWithAlzheimers_Liang__ADvsCT_inCA1","Brain",1.87447818301389e-20
"52","lightcyan","frontal part, inferior bank of gyrus_localMarker(top200)_IN_Cingulate Gyrus__HBA","HumanBrainRegions",3.08805096207334e-19
"53","lightcyan1","overexpressed_in_multipotent_primary_hematopoietic_SCs_(CD133+)__Cui","StemCells",9.894948028217e-19
"54","lightcyan","Supraoptic Nucleus_localMarker(top200)_IN_Hypothalamus__HBA","HumanBrainRegions",2.45095967059049e-18
"55","darkgrey","106230_REACTOME_Metabolism_of_proteins__Reactome_NCBI_Biosystems","PW_Lists",3.84315888919104e-18
"56","lightcyan1","Supraoptic Nucleus_localMarker(FC>2)_IN_Hypothalamus__HBA","HumanBrainRegions",4.07746780782322e-18
"57","darkgrey","105906_REACTOME_Activation_of_Chaperones_by_IRE1alpha__Reactome_NCBI_Biosystems","PW_Lists",4.25961795784107e-18
"58","floralwhite","magenta_M8_Microglia(Type2)__HumanMeta","Brain",4.54574895964512e-18
"59","darkgrey","105902_REACTOME_Diabetes_pathways__Reactome_NCBI_Biosystems","PW_Lists",4.59991714549636e-18
"60","lightcyan","purple_M4_Microglia(Type1)__CTX","Brain",5.63446385558545e-18
"61","darkred","6012_postsynaptic_proteomics_pad_1097__Palazzolo_and_Wang","PW_Lists",1.15793559202549e-17
"62","darkred","RedBloodCell__Kabanova","Blood",1.21467014410474e-17
"63","floralwhite","tan_M12_Hypoxia__CTX","Brain",1.46357531283055e-17
"64","darkred","22556411_tanese_interactome_cytoplasm_329__PMID_22556411_Culver_2012","PW_Lists",2.10500956152243e-17
"65","darkgrey","530771_REACTOME_Activation_of_Chaperone_Genes_by_XBP1(S)__Reactome_NCBI_Biosystems","PW_Lists",6.66401363635708e-17
"66","darkslateblue","Oligodendrocyte_probable__Cahoy","Brain",8.26230214970884e-17
"67","darkgrey","161012_REACTOME_Post-translational_protein_modification__Reactome_NCBI_Biosystems","PW_Lists",1.23393685936558e-16
"68","lightcyan","Supraoptic Nucleus_localMarker(FC>2)_IN_Hypothalamus__HBA","HumanBrainRegions",1.69323137829018e-16
"69","lightcyan","213743_KEGG_Tuberculosis__Kegg_NCBI_Biosystems","PW_Lists",2.4270754627129e-16
"70","lightcyan","213780_KEGG_Tuberculosis__Kegg_NCBI_Biosystems","PW_Lists",2.4270754627129e-16
"71","darkred","6011_postsynaptic_density_pad_1054__Palazzolo_and_Wang","PW_Lists",2.51085515843232e-16
"72","lightgreen","22578497_synaptic_transcriptome_2338__PMID_22578497_Cajigas_2012","PW_Lists",3.2073812728465e-16
"73","lightgreen","6001_synapsedb_pad_3552__Palazzolo_and_Wang","PW_Lists",4.25615962841736e-16
"74","darkgrey","105904_REACTOME_Unfolded_Protein_Response__Reactome_NCBI_Biosystems","PW_Lists",4.89311328024977e-16
