"","ensgene","name","module","mm"
"1","ENSG00000227232","WASH7P","turquoise",0.703257531603149
"2","ENSG00000237683","AL627309.1","brown4",0.550680495651515
"3","ENSG00000268903","RP11-34P13.15","brown4",0.562361857660797
"4","ENSG00000269981","RP11-34P13.16","brown4",0.514338148494597
"5","ENSG00000239906","RP11-34P13.14","brown4",0.438277172893353
"6","ENSG00000241860","RP11-34P13.13","lightsteelblue1",0.479232506199807
"7","ENSG00000228463","AP006222.2","black",0.403676262605871
"8","ENSG00000241670","AP006222.1","black",0.430973532048098
"9","ENSG00000237094","RP4-669L17.10","brown4",0.585276176625066
"10","ENSG00000225972","MTND1P23","darkolivegreen",0.25176488117186
"11","ENSG00000225630","MTND2P28","darkolivegreen",0.229264503470511
"12","ENSG00000237973","hsa-mir-6723","pink",0.390371893692708
"13","ENSG00000229344","RP5-857K21.7","turquoise",0.3220064550685
"14","ENSG00000224956","RP11-206L10.1","brown4",0.646242704947068
"15","ENSG00000228327","RP11-206L10.2","mediumpurple3",0.69060262019381
"16","ENSG00000237491","RP11-206L10.9","lightsteelblue1",0.613899298506691
"17","ENSG00000230092","RP11-206L10.8","darkolivegreen",0.409145447869067
"18","ENSG00000225880","LINC00115","salmon4",0.806886685189624
"19","ENSG00000228794","RP11-206L10.11","brown4",0.748028470190419
"20","ENSG00000187634","SAMD11","lightgreen",0.72161875355559
"21","ENSG00000188976","NOC2L","grey60",0.881841607635634
"22","ENSG00000187961","KLHL17","turquoise",0.826525430529868
"23","ENSG00000187583","PLEKHN1","blue",0.798052904160385
"24","ENSG00000272512","ENSG00000272512","cyan",0.288266259650467
"25","ENSG00000188290","HES4","thistle2",0.69715772506548
"26","ENSG00000187608","ISG15","blue",0.526654344796818
"27","ENSG00000188157","AGRN","blue",0.892998479677183
"28","ENSG00000242590","RP11-54O7.14","blue",0.860420625460892
"29","ENSG00000217801","RP11-465B22.3","royalblue",0.645490089211129
"30","ENSG00000131591","C1orf159","turquoise",0.810030819545407
"31","ENSG00000198976","MIR429","pink",0.411616794842503
"32","ENSG00000272141","ENSG00000272141","turquoise",0.669172320869032
"33","ENSG00000186827","TNFRSF4","blue",0.711175925225114
"34","ENSG00000078808","SDF4","grey60",0.809595444371923
"35","ENSG00000176022","B3GALT6","brown",0.810469806475984
"36","ENSG00000184163","FAM132A","darkolivegreen",0.52269511280151
"37","ENSG00000160087","UBE2J2","grey60",0.895017707466254
"38","ENSG00000230415","RP5-902P8.10","orange",0.431066853865409
"39","ENSG00000162572","SCNN1D","orange",0.760815826455618
"40","ENSG00000131584","ACAP3","turquoise",0.868520295026691
"41","ENSG00000169972","PUSL1","grey60",0.844954466492664
"42","ENSG00000127054","CPSF3L","grey60",0.908788399477024
"43","ENSG00000240731","RP5-890O3.9","lightsteelblue1",0.730405681096755
"44","ENSG00000224051","GLTPD1","brown",0.831449388752159
"45","ENSG00000107404","DVL1","grey60",0.854277215036297
"46","ENSG00000162576","MXRA8","lightcyan1",0.832014187006531
"47","ENSG00000175756","AURKAIP1","grey60",0.888345976029656
"48","ENSG00000221978","CCNL2","lightsteelblue1",0.886490029526614
"49","ENSG00000224870","RP4-758J18.2","brown",0.669435818610038
"50","ENSG00000242485","MRPL20","bisque4",0.867432999767251
"51","ENSG00000264293","RN7SL657P","lightsteelblue1",0.49966492129603
"52","ENSG00000272455","ENSG00000272455","lightsteelblue1",0.540309086763663
"53","ENSG00000235098","ANKRD65","turquoise",0.584470811768804
"54","ENSG00000225905","RP4-758J18.7","thistle2",0.406638113368154
"55","ENSG00000225285","RP4-758J18.10","brown4",0.757639504322172
"56","ENSG00000179403","VWA1","blue",0.815737480131814
"57","ENSG00000215915","ATAD3C","brown4",0.58738415818747
"58","ENSG00000160072","ATAD3B","lightsteelblue1",0.794729828016156
"59","ENSG00000197785","ATAD3A","darkorange",0.840715215163643
"60","ENSG00000205090","TMEM240","cyan",0.590223274682906
"61","ENSG00000160075","SSU72","grey60",0.895703634181872
"62","ENSG00000215791","AL645728.2","darkolivegreen",0.647489507012585
