"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","turquoise",TRUE,0.0242,1694,675,95,0.141,0.056,"GO:0007049","BP",15,"cell cycle",1,"BAD,CDK11A,AKAP8L,DDX11,CUL7,CROCC,HMG20B,SIRT2,PPP2R5B,LLGL2,MOK,BAX,PPP1R13B,PCBP4,MAEA,AAAS,KLHL22,TRIOBP,REC8,CDC25B,CDK5RAP1,MAPK3,CENPT,TSC2,AKAP8,BABAM1,TAF6,URGCP,LZTS2,RECQL5,MADD,CUL9,ARID3A,WRAP73,ZBTB17,STK11,DNMT3A,CEP250,XRCC3,PIN1,CHTF18,TUBGCP6,PAK4,CEP85,LLGL1,MYBBP1A,ARHGEF11,MEN1,AKT1,WNT9A,DIS3L2,INCENP,TAOK2,CCNO,FLCN,GDPD5,NPM2,CTBP1,PCNT,LRP5,PRKCD,ZFYVE19,APBB1,TTYH1,E4F1,REEP4,CHD3,CNTROB,ZNF318,USP19,RAD9A,PHF8,SNX33,C11ORF80,HRAS,TOM1L2,ANAPC2,SH2B1,MIR937,SYNE4,GAS6,RAD51D,ARAP1,MAPK12,SLX4,INCA1,EME2,SFI1,EHMT2,SPIRE2,SYCE1L,SIPA1,ARL2,FANCG,LIN37",3.65532647251229
"2","turquoise",TRUE,0.0257,5957,675,267,0.396,0.045,"GO:0016043","BP",3,"cellular component organization",1,"BAD,DVL2,CDK11A,MED24,CLCN6,AKAP8L,DDX11,NR1H3,ATP6V0A1,PNKP,CUL7,CROCC,HDAC7,TNK2,ELMO2,POLD1,ABCA7,HMG20B,TLE2,CACNB1,SIRT2,PPP2R5B,SMG6,LLGL2,PTPN23,ARHGEF1,DGKD,BAX,ATXN7L3,ASAP3,PPP1R13B,KDM2B,PXN,MAEA,TYRO3,HDAC6,AAAS,RASSF7,ZDHHC8,KLHL22,CABIN1,TRIOBP,PICK1,MTMR3,L3MBTL2,ACIN1,REC8,NFATC4,MRGBP,CDC25B,CDK5RAP1,ACOT8,ABCD1,TAZ,FGD1,TRADD,MAPK3,CENPT,ACD,COG4,TSC2,STX4,ARHGEF18,STX10,DMPK,AKAP8,NUMBL,BABAM1,MEGF8,TNPO2,CRTC1,GRIK5,NRF1,TBC1D13,HPS1,LZTS2,RECQL5,PPP1R9B,UNC119,WHSC1,TCIRG1,TFEB,PTK7,CUL9,COL7A1,GORASP1,NDUFS7,STK25,VAX2,BCL9,WRAP73,HDAC1,ZBTB17,STK11,DNMT3A,SORBS3,MYRF,EML2,CEP250,KLC1,XRCC3,TIMM17B,TMEM175,PIN1,SIN3B,KDM4B,TUBGCP6,TEP1,PAK4,CEP85,LAMA5,ARHGEF16,EPS8L1,KCNC3,NPHP4,LLGL1,PRMT7,ARHGEF11,IGHMBP2,SUV420H2,MEN1,CCDC64,FHOD1,MYO7A,VAMP1,CDAN1,RHOT2,SGSM2,SLMO1,MINK1,CCDC40,TBCD,PFKL,AKT1,CAPN10,EVI5L,PRDM16,WDTC1,STRIP1,USP21,TARS2,SNAP47,DIS3L2,KIAA0226,EPHA1,FAM73B,LRSAM1,TMEM138,EML3,INCENP,TAOK2,ADAM8,CCNO,OBSCN,FLCN,MMS19,TYSND1,LDLRAP1,FANCC,ZFAND2B,GDPD5,NPM2,CTBP1,C21ORF2,PCNT,CRTC2,NBEAL2,MUM1,TAF6L,LRP5,TPCN2,PKDCC,BBS5,PYGO2,PRKCD,PLXNB1,SHROOM1,MICALL2,INPPL1,PMPCA,METTL17,APBB1,DCHS1,PLEKHA7,NCKAP5L,RAB4B,TTYH1,HDGFRP2,TMEM88,E4F1,ATG4B,REEP4,BMP1,VAMP5,TBC1D10B,RAC3,CHD3,CNTROB,STAT2,NDUFA3,ASXL1,ATPAF2,LAMB2,SSH3,PHF8,SNX33,C11ORF80,HRAS,CABP4,TOM1L2,ANAPC2,VPS37D,BOK,MUC20,EPS8L2,ALS2CL,SH2B1,PLEC,PARP10,PACS2,MIR937,SYNE4,TNRC18,COL18A1,GAS6,DGAT1,ANO9,RAD51D,PIP5K1C,ARAP1,KLHL17,SLX4,FBF1,MSL1,PLXNB2,COL27A1,STMN3,PHF2,EME2,FCHSD1,ZNF335,LDB1,SMG5,INF2,GDI1,RING1,NOTCH4,MRPL38,EHMT2,SPIRE2,SYCE1L,SIPA1,ARL2,NCKIPSD,GTF2H4,TSPAN4,CPNE1,C22ORF29,VPS16,FANCG,PI4KA,MICAL3,NFS1,MLLT6,PIP4K2B,PCGF2,SRCIN1",2.26874934594445
"3","turquoise",TRUE,0.000586,3207,675,167,0.247,0.052,"GO:0006996","BP",3,"organelle organization",2,"BAD,CDK11A,AKAP8L,DDX11,ATP6V0A1,PNKP,CUL7,CROCC,ELMO2,POLD1,SIRT2,SMG6,LLGL2,PTPN23,BAX,ASAP3,PPP1R13B,MAEA,HDAC6,AAAS,RASSF7,ZDHHC8,KLHL22,CABIN1,TRIOBP,PICK1,MTMR3,ACIN1,REC8,CDC25B,CDK5RAP1,ACOT8,ABCD1,TAZ,FGD1,MAPK3,CENPT,ACD,COG4,STX4,ARHGEF18,STX10,DMPK,AKAP8,BABAM1,GRIK5,NRF1,TBC1D13,HPS1,LZTS2,RECQL5,PPP1R9B,TCIRG1,TFEB,PTK7,CUL9,COL7A1,GORASP1,NDUFS7,STK25,WRAP73,ZBTB17,SORBS3,EML2,CEP250,KLC1,XRCC3,TIMM17B,TMEM175,PIN1,TUBGCP6,TEP1,PAK4,CEP85,LAMA5,NPHP4,LLGL1,ARHGEF11,IGHMBP2,FHOD1,MYO7A,VAMP1,CDAN1,RHOT2,SGSM2,SLMO1,MINK1,CCDC40,TBCD,AKT1,CAPN10,EVI5L,STRIP1,TARS2,SNAP47,DIS3L2,KIAA0226,EPHA1,FAM73B,LRSAM1,EML3,INCENP,TAOK2,OBSCN,FLCN,NPM2,C21ORF2,PCNT,LRP5,TPCN2,PYGO2,PRKCD,PLXNB1,SHROOM1,MICALL2,INPPL1,PMPCA,NCKAP5L,TTYH1,E4F1,ATG4B,REEP4,VAMP5,TBC1D10B,RAC3,CHD3,CNTROB,STAT2,NDUFA3,SSH3,SNX33,C11ORF80,HRAS,TOM1L2,ANAPC2,VPS37D,BOK,ALS2CL,SH2B1,PARP10,PACS2,SYNE4,TNRC18,RAD51D,PIP5K1C,ARAP1,KLHL17,SLX4,STMN3,EME2,FCHSD1,LDB1,SMG5,INF2,MRPL38,EHMT2,SPIRE2,SYCE1L,SIPA1,ARL2,NCKIPSD,GTF2H4,C22ORF29,VPS16,FANCG,MICAL3,PIP4K2B",2.9244389639695
"4","turquoise",TRUE,0.0339,2264,675,119,0.176,0.053,"GO:0051128","BP",3,"regulation of cellular component organization",2,"BAD,CDK11A,AKAP8L,DDX11,NR1H3,PNKP,CUL7,TNK2,ABCA7,SIRT2,PPP2R5B,SMG6,PTPN23,ARHGEF1,BAX,ASAP3,PPP1R13B,KDM2B,HDAC6,RASSF7,ZDHHC8,KLHL22,TRIOBP,PICK1,MTMR3,NFATC4,CDK5RAP1,FGD1,MAPK3,ACD,TSC2,STX4,ARHGEF18,DMPK,AKAP8,MEGF8,CRTC1,GRIK5,TBC1D13,PPP1R9B,UNC119,PTK7,CUL9,GORASP1,STK25,WRAP73,ZBTB17,STK11,SORBS3,EML2,CEP250,XRCC3,PIN1,KDM4B,CEP85,ARHGEF16,EPS8L1,NPHP4,ARHGEF11,FHOD1,SGSM2,SLMO1,TBCD,AKT1,EVI5L,STRIP1,KIAA0226,EPHA1,LRSAM1,TAOK2,FLCN,LDLRAP1,NPM2,CTBP1,C21ORF2,LRP5,PKDCC,PYGO2,PRKCD,PLXNB1,MICALL2,APBB1,RAB4B,HDGFRP2,TBC1D10B,RAC3,STAT2,SSH3,PHF8,SNX33,HRAS,TOM1L2,ANAPC2,BOK,EPS8L2,SH2B1,PARP10,GAS6,ARAP1,SLX4,PLXNB2,STMN3,PHF2,FCHSD1,ZNF335,LDB1,SMG5,INF2,GDI1,EHMT2,SPIRE2,SIPA1,ARL2,NCKIPSD,GTF2H4,VPS16,MLLT6,PIP4K2B,SRCIN1",3.70548918452955
"5","turquoise",TRUE,0.026,1016,675,64,0.095,0.063,"GO:0033043","BP",3,"regulation of organelle organization",3,"BAD,DDX11,PNKP,CUL7,SIRT2,SMG6,BAX,ASAP3,PPP1R13B,HDAC6,RASSF7,ZDHHC8,KLHL22,TRIOBP,PICK1,MTMR3,CDK5RAP1,MAPK3,ACD,GRIK5,TBC1D13,CUL9,WRAP73,ZBTB17,SORBS3,EML2,CEP250,XRCC3,PIN1,CEP85,FHOD1,SGSM2,SLMO1,TBCD,AKT1,EVI5L,KIAA0226,EPHA1,LRSAM1,FLCN,NPM2,LRP5,PRKCD,PLXNB1,MICALL2,TBC1D10B,STAT2,SSH3,HRAS,TOM1L2,BOK,SH2B1,PARP10,ARAP1,SLX4,STMN3,FCHSD1,SMG5,INF2,EHMT2,SPIRE2,ARL2,VPS16,PIP4K2B",4.57119308619249
"6","turquoise",TRUE,0.0136,302,675,28,0.041,0.093,"GO:0051056","BP",17,"regulation of small GTPase mediated signal transduction",1,"ARHGEF1,MYO9B,FGD1,TSC2,ARHGEF18,SYDE1,MADD,MCF2L,PLEKHG3,ARHGEF16,EPS8L1,ARHGEF11,RHOT2,ARHGAP39,OBSCN,FLCN,ARHGEF40,RAC3,HRAS,EPS8L2,ALS2CL,ARAP1,STMN3,DENND4B,RASGEF1A,GDI1,SIPA1,RGL2",6.00599496591746
"7","turquoise",TRUE,0.00367,545,675,43,0.064,0.079,"GO:0016569","BP",10,"covalent chromatin modification",1,"MED24,AKAP8L,HDAC7,HMG20B,SIRT2,ATXN7L3,KDM2B,HDAC6,CABIN1,L3MBTL2,MRGBP,MAPK3,AKAP8,BABAM1,WHSC1,HDAC1,DNMT3A,SIN3B,KDM4B,PRMT7,SUV420H2,MEN1,PRDM16,USP21,FLCN,NPM2,CTBP1,CRTC2,TAF6L,PYGO2,PRKCD,APBB1,CHD3,ASXL1,PHF8,MSL1,PHF2,ZNF335,LDB1,RING1,EHMT2,MLLT6,PCGF2",5.22620739705699
"8","turquoise",TRUE,0.00138,436,675,38,0.056,0.087,"GO:0016570","BP",10,"histone modification",2,"MED24,AKAP8L,HDAC7,HMG20B,SIRT2,ATXN7L3,KDM2B,HDAC6,MRGBP,MAPK3,AKAP8,WHSC1,HDAC1,SIN3B,KDM4B,PRMT7,SUV420H2,MEN1,PRDM16,USP21,FLCN,CTBP1,CRTC2,TAF6L,PYGO2,PRKCD,APBB1,CHD3,ASXL1,PHF8,MSL1,PHF2,ZNF335,LDB1,RING1,EHMT2,MLLT6,PCGF2",5.2496083272216
"9","turquoise",TRUE,0.0112,2826,675,145,0.215,0.051,"GO:0065009","BP",7,"regulation of molecular function",1,"BAD,DVL2,APBA3,DDX11,NLRP2,NR1H3,PNKP,TNK2,CACNB1,SIRT2,PPP2R5B,TCF3,LLGL2,VPS9D1,ARHGEF1,BAX,ASAP3,HDAC6,MYO9B,CABIN1,ANKRD54,DEPDC5,NFATC4,CDC25B,CDK5RAP1,FGD1,TRADD,MAPK3,ACD,TSC2,STX4,PPP1R37,ARHGEF18,DMPK,AES,SYDE1,CACTIN,CRTC1,EPHB6,TAF6,TBC1D13,HPS1,PPP1R9B,UNC119,MADD,COL7A1,RTKN,STK11,PLCG1,RBCK1,MCF2L,PLEKHG3,AVPR2,PIN1,CHTF18,ADCY4,SLC27A1,CEP85,MAP3K10,ARHGEF16,EPS8L1,ACAP3,LLGL1,PRMT7,ARHGEF11,AGAP3,MEN1,FRS3,PDX1,GAS8,SGSM2,MINK1,TBCD,AKT1,LMTK3,EVI5L,MAP3K6,WDTC1,WNT9A,KIAA0226,EPHA1,ARHGAP39,B3GAT3,TAOK2,ADAM8,OBSCN,FLCN,LDLRAP1,RNF207,NPM2,RGL4,RGS12,RALGDS,CRTC2,PPP1R16A,PRPSAP1,TAF6L,LRP5,PYGO2,PRKCD,PLXNB1,ARHGEF40,ST5,TBC1D10B,MAP3K11,PPP1R14B,CCS,HRAS,ANAPC2,BOK,MUC20,EPS8L2,RABEP2,ALS2CL,PARP10,LYNX1,MIR937,GAS6,ANO9,SIGIRR,MAPK11,ARAP1,MAPK12,NOXA1,SLX4,INCA1,PPP1R26,PLXNB2,STMN3,SSPO,SFI1,LDB1,DENND4B,RASGEF1A,GDI1,RING1,TRIM13,RGL3,DENND6B,SIPA1,ARL2,CPNE1,RGL2,IKBKG,SRCIN1",3.34058179159684
"10","turquoise",TRUE,0.0122,1824,675,102,0.151,0.056,"GO:0044093","BP",7,"positive regulation of molecular function",2,"BAD,DVL2,DDX11,NLRP2,NR1H3,PNKP,SIRT2,PPP2R5B,TCF3,LLGL2,VPS9D1,ARHGEF1,BAX,ASAP3,MYO9B,DEPDC5,CDC25B,FGD1,TRADD,MAPK3,ACD,TSC2,STX4,ARHGEF18,SYDE1,CRTC1,EPHB6,TBC1D13,HPS1,UNC119,MADD,STK11,PLCG1,RBCK1,MCF2L,PLEKHG3,AVPR2,PIN1,CHTF18,ADCY4,SLC27A1,MAP3K10,ARHGEF16,EPS8L1,ACAP3,LLGL1,ARHGEF11,AGAP3,MEN1,FRS3,PDX1,SGSM2,TBCD,AKT1,EVI5L,MAP3K6,EPHA1,ARHGAP39,B3GAT3,TAOK2,ADAM8,OBSCN,FLCN,RNF207,NPM2,RGL4,RGS12,RALGDS,CRTC2,LRP5,PYGO2,PRKCD,PLXNB1,ARHGEF40,ST5,TBC1D10B,MAP3K11,CCS,HRAS,ANAPC2,BOK,MUC20,EPS8L2,RABEP2,ALS2CL,MIR937,GAS6,MAPK11,ARAP1,MAPK12,NOXA1,SLX4,DENND4B,RASGEF1A,GDI1,TRIM13,RGL3,DENND6B,SIPA1,RGL2,IKBKG,SRCIN1",3.89515252378644
