"","blue","greenyellow","skyblue3","palevioletred2","darkgrey","magenta4","tan","black","yellow4","thistle","salmon","grey60","skyblue1","brown4","darkorange","lightcoral","red","lightsteelblue1","thistle3","orangered4","salmon2","thistle2","lightpink3","darkmagenta","darkolivegreen","salmon4","navajowhite1","darkturquoise","darkgreen","orangered3","saddlebrown","thistle1","firebrick4","yellow","mediumpurple2","antiquewhite4","lightsteelblue","green","lightcyan1","darkorange2","bisque4","brown2","skyblue","blue2","darkseagreen4","orange","lightgreen","darkolivegreen4","skyblue2","darkslateblue","brown","paleturquoise","maroon","sienna3","purple","indianred4","lightyellow","navajowhite2","royalblue","plum3","violet","cyan","lightcyan","plum1","coral1","steelblue","mediumpurple3","magenta","plum","honeydew1","mediumorchid","coral2","plum2","palevioletred3","darkred","ivory","lavenderblush3","darkviolet","white","lavenderblush2"
"Astrocytes, highly probable (Cahoy, 2008)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Astrocytes module in Cortex",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Microglia in Human brain Module (Geschwind, 2010)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.3621289701074e-18,1,1,1,1,1,1,1,1,1,1,7.02776314381973e-05,0.00848610989688302,1,1,1,1,1,1,1,1,1,1,1,1,1
"Microglia (Type2) module in Cortex",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00213014669109614,1,1,1,1,9.98930593384267e-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron in Human brain Module (Geschwind,2010)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.01831637644185e-09,1,1,1,1,1,4.86319599235783e-05,1,1,1,1,1,1,1,1,2.92891795911985e-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.78505872113707e-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron module in Cortex",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00190691766789496,1,1,1,1,1,1,1.00023139075382e-05,1,0.000953218404151982,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000301784906957927,1,1,1,1,1,1,1,1,0.000373120901044039,1,1,0.00889213175945287,1,0.00514713307881647,1,1,1,1,1
"Neuron, pyramidal in network from Sugino/Winden",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.18116742435754e-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9.34748044754365e-06,1,1,1,1,1,1,1,1,0.0254751781607132,1,1,1,1,0.00123041487768159,1,1,1,1,1
"Microglia (Type 1) (Geschwind, 2010)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.48890636778171e-43,1,1,1,1,1,1,1,1,1,1,0.000949399016575462,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron, definite (Cahoy, 2008)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Oligodendrocytes in Human brain Module (Geschwind,2010)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
