"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","blue",TRUE,8.3e-05,10975,240,181,0.754,0.016,"GO:0008152","BP",1,"metabolic process",1,"RBM5,RHBDF1,PIGQ,MMP25,MLXIPL,AKAP8L,PNKP,TNK2,GPC1,TMEM161A,ZNF76,OTUD5,CPSF1,ACADVL,VPS9D1,XAB2,FKBP6,MIR761,SLC35C2,MOK,SRRT,CNOT3,EBF4,MAEA,MZF1,POLRMT,TRMT2A,TOP3B,GGA1,CYP2D6,LMF2,CHKB,ARSA,TRMU,TELO2,RABGGTA,CDK5RAP1,TRADD,TSC2,NARFL,SNRNP70,PPP1R37,PIAS4,TYK2,PTPRS,PRPF31,CRTC1,SUGP1,BRAT1,CDK5RAP3,FOXRED1,CHKA,OGFOD2,MOGS,MECR,HDHD3,ZNF205,ZMIZ2,POLM,WDR83,ADCK4,AARS2,SYMPK,ZNF133,XRCC3,IRF3,IDUA,WFIKKN1,CHTF18,HOXD9,CBFA2T3,SAFB2,HSD17B3,CC2D1A,INPP5K,UNK,IGHMBP2,MUTYH,SUV420H2,MEN1,CARS2,DDX56,SMPD4,GCHFR,ULK3,MED9,RNF165,SLC26A1,ZNF7,MRRF,GTF3C5,C9ORF142,TUT1,ME3,TRIM11,CXXC1,MOV10,GHRL,FUK,TNFRSF14,UBXN11,CPSF4,MUM1,U2AF1L4,LEMD2,SPSB3,TAF6L,AKR7A3,MRPL55,MTMR14,DAGLB,INTS1,FASTK,SNAPC4,TSC22D4,COQ4,DUS2L,E4F1,ATG4B,HEXDC,DUS1L,CHD3,ZNF212,ZNF282,GAA,HDAC3,RAD9A,NADSYN1,ADRBK1,ADCK5,HAP1,CCS,ANAPC2,CLK2,ACSF3,C8G,POLE,DMAP1,P4HTM,CLK3,ARID3B,GEMIN4,KIAA1875,D2HGDH,EHMT1,ZNF707,PLCXD1,RBM10,MTA1,DDX41,JAG2,BRF1,SIGIRR,RAB11B,CDK10,C17ORF70,SETD4,PRR5,SIRT7,EXD3,SEMA4D,NOXA1,NELFB,POM121,WDR45,RAB40C,SPG7,AKAP17A,ZNF335,FAM109A,RING1,AGER,ZBTB48,CYP2D7P1,QTRT1,MXD3,ALKBH6,COX19,BGLAP,NAIP,CDK3",1.10347152361181
"2","blue",TRUE,0.0152,10168,240,164,0.683,0.016,"GO:0044238","BP",1,"primary metabolic process",2,"RBM5,RHBDF1,PIGQ,MMP25,MLXIPL,AKAP8L,PNKP,TNK2,GPC1,TMEM161A,ZNF76,OTUD5,CPSF1,ACADVL,VPS9D1,XAB2,FKBP6,MIR761,SLC35C2,MOK,SRRT,CNOT3,EBF4,MAEA,MZF1,POLRMT,TRMT2A,TOP3B,GGA1,CYP2D6,LMF2,CHKB,ARSA,TRMU,TELO2,RABGGTA,CDK5RAP1,TRADD,TSC2,SNRNP70,PIAS4,TYK2,PTPRS,PRPF31,CRTC1,SUGP1,BRAT1,CDK5RAP3,CHKA,MOGS,MECR,ZNF205,ZMIZ2,POLM,WDR83,ADCK4,AARS2,SYMPK,ZNF133,XRCC3,IRF3,IDUA,WFIKKN1,CHTF18,HOXD9,CBFA2T3,SAFB2,HSD17B3,CC2D1A,INPP5K,UNK,IGHMBP2,MUTYH,SUV420H2,MEN1,CARS2,DDX56,SMPD4,ULK3,MED9,RNF165,SLC26A1,ZNF7,MRRF,GTF3C5,C9ORF142,TUT1,TRIM11,CXXC1,MOV10,GHRL,FUK,TNFRSF14,UBXN11,CPSF4,MUM1,U2AF1L4,LEMD2,SPSB3,TAF6L,MRPL55,MTMR14,DAGLB,INTS1,FASTK,SNAPC4,TSC22D4,DUS2L,E4F1,ATG4B,HEXDC,DUS1L,CHD3,ZNF212,ZNF282,GAA,HDAC3,RAD9A,NADSYN1,ADRBK1,ADCK5,HAP1,ANAPC2,CLK2,ACSF3,C8G,POLE,DMAP1,CLK3,ARID3B,GEMIN4,KIAA1875,D2HGDH,EHMT1,ZNF707,PLCXD1,RBM10,MTA1,DDX41,JAG2,BRF1,SIGIRR,CDK10,C17ORF70,SETD4,PRR5,SIRT7,EXD3,SEMA4D,NELFB,POM121,WDR45,RAB40C,SPG7,AKAP17A,ZNF335,RING1,AGER,ZBTB48,QTRT1,MXD3,BGLAP,NAIP,CDK3",1.36698257719581
"3","blue",TRUE,0.00921,10599,240,170,0.708,0.016,"GO:0071704","BP",1,"organic substance metabolic process",2,"RBM5,RHBDF1,PIGQ,MMP25,MLXIPL,AKAP8L,PNKP,TNK2,GPC1,TMEM161A,ZNF76,OTUD5,CPSF1,ACADVL,VPS9D1,XAB2,FKBP6,MIR761,SLC35C2,MOK,SRRT,CNOT3,EBF4,MAEA,MZF1,POLRMT,TRMT2A,TOP3B,GGA1,CYP2D6,LMF2,CHKB,ARSA,TRMU,TELO2,RABGGTA,CDK5RAP1,TRADD,TSC2,NARFL,SNRNP70,PIAS4,TYK2,PTPRS,PRPF31,CRTC1,SUGP1,BRAT1,CDK5RAP3,CHKA,MOGS,MECR,ZNF205,ZMIZ2,POLM,WDR83,ADCK4,AARS2,SYMPK,ZNF133,XRCC3,IRF3,IDUA,WFIKKN1,CHTF18,HOXD9,CBFA2T3,SAFB2,HSD17B3,CC2D1A,INPP5K,UNK,IGHMBP2,MUTYH,SUV420H2,MEN1,CARS2,DDX56,SMPD4,ULK3,MED9,RNF165,SLC26A1,ZNF7,MRRF,GTF3C5,C9ORF142,TUT1,ME3,TRIM11,CXXC1,MOV10,GHRL,FUK,TNFRSF14,UBXN11,CPSF4,MUM1,U2AF1L4,LEMD2,SPSB3,TAF6L,AKR7A3,MRPL55,MTMR14,DAGLB,INTS1,FASTK,SNAPC4,TSC22D4,COQ4,DUS2L,E4F1,ATG4B,HEXDC,DUS1L,CHD3,ZNF212,ZNF282,GAA,HDAC3,RAD9A,NADSYN1,ADRBK1,ADCK5,HAP1,ANAPC2,CLK2,ACSF3,C8G,POLE,DMAP1,CLK3,ARID3B,GEMIN4,KIAA1875,D2HGDH,EHMT1,ZNF707,PLCXD1,RBM10,MTA1,DDX41,JAG2,BRF1,SIGIRR,RAB11B,CDK10,C17ORF70,SETD4,PRR5,SIRT7,EXD3,SEMA4D,NELFB,POM121,WDR45,RAB40C,SPG7,AKAP17A,ZNF335,FAM109A,RING1,AGER,ZBTB48,QTRT1,MXD3,BGLAP,NAIP,CDK3",1.26232799050953
"4","blue",TRUE,0.00316,9000,240,152,0.633,0.017,"GO:0043170","BP",1,"macromolecule metabolic process",3,"RBM5,RHBDF1,PIGQ,MMP25,MLXIPL,AKAP8L,PNKP,TNK2,GPC1,TMEM161A,ZNF76,OTUD5,CPSF1,XAB2,FKBP6,MIR761,SLC35C2,MOK,SRRT,CNOT3,EBF4,MAEA,MZF1,POLRMT,TRMT2A,TOP3B,GGA1,LMF2,ARSA,TRMU,TELO2,RABGGTA,CDK5RAP1,TRADD,TSC2,NARFL,SNRNP70,PIAS4,TYK2,PTPRS,PRPF31,CRTC1,SUGP1,BRAT1,CDK5RAP3,MOGS,ZNF205,ZMIZ2,POLM,WDR83,ADCK4,AARS2,SYMPK,ZNF133,XRCC3,IRF3,IDUA,WFIKKN1,CHTF18,HOXD9,CBFA2T3,SAFB2,CC2D1A,INPP5K,UNK,IGHMBP2,MUTYH,SUV420H2,MEN1,CARS2,DDX56,ULK3,MED9,RNF165,ZNF7,MRRF,GTF3C5,C9ORF142,TUT1,TRIM11,CXXC1,MOV10,GHRL,TNFRSF14,UBXN11,CPSF4,MUM1,U2AF1L4,LEMD2,SPSB3,TAF6L,MRPL55,MTMR14,INTS1,FASTK,SNAPC4,TSC22D4,DUS2L,E4F1,ATG4B,DUS1L,CHD3,ZNF212,ZNF282,GAA,HDAC3,RAD9A,ADRBK1,ADCK5,HAP1,ANAPC2,CLK2,C8G,POLE,DMAP1,CLK3,ARID3B,GEMIN4,KIAA1875,D2HGDH,EHMT1,ZNF707,RBM10,MTA1,DDX41,JAG2,BRF1,SIGIRR,RAB11B,CDK10,C17ORF70,SETD4,PRR5,SIRT7,EXD3,SEMA4D,NELFB,POM121,WDR45,RAB40C,SPG7,AKAP17A,ZNF335,FAM109A,RING1,AGER,ZBTB48,QTRT1,MXD3,BGLAP,NAIP,CDK3",1.48452897992254
"5","blue",TRUE,0.0331,5257,240,98,0.408,0.019,"GO:0010467","BP",1,"gene expression",4,"RBM5,RHBDF1,MLXIPL,AKAP8L,ZNF76,CPSF1,XAB2,FKBP6,MIR761,SLC35C2,SRRT,CNOT3,EBF4,MZF1,POLRMT,TRMT2A,LMF2,TRMU,CDK5RAP1,TRADD,NARFL,SNRNP70,PIAS4,PRPF31,CRTC1,SUGP1,CDK5RAP3,ZNF205,ZMIZ2,WDR83,AARS2,SYMPK,ZNF133,IRF3,HOXD9,CBFA2T3,SAFB2,CC2D1A,INPP5K,UNK,IGHMBP2,SUV420H2,MEN1,CARS2,DDX56,MED9,RNF165,ZNF7,MRRF,GTF3C5,TUT1,TRIM11,CXXC1,MOV10,CPSF4,U2AF1L4,LEMD2,TAF6L,MRPL55,INTS1,FASTK,SNAPC4,TSC22D4,DUS2L,E4F1,ATG4B,DUS1L,CHD3,ZNF212,ZNF282,HDAC3,HAP1,CLK2,C8G,DMAP1,CLK3,ARID3B,GEMIN4,KIAA1875,EHMT1,ZNF707,RBM10,MTA1,DDX41,BRF1,SIGIRR,SIRT7,SEMA4D,NELFB,POM121,AKAP17A,ZNF335,RING1,AGER,ZBTB48,QTRT1,MXD3,BGLAP",2.23716411165379
"6","blue",TRUE,0.0017,909,240,31,0.129,0.034,"GO:0006396","BP",1,"RNA processing",5,"RBM5,AKAP8L,CPSF1,XAB2,SRRT,TRMT2A,TRMU,CDK5RAP1,SNRNP70,PRPF31,SUGP1,WDR83,AARS2,SYMPK,SAFB2,DDX56,TUT1,CPSF4,U2AF1L4,INTS1,FASTK,DUS2L,DUS1L,CLK2,CLK3,GEMIN4,KIAA1875,RBM10,DDX41,AKAP17A,QTRT1",4.43281480150599
"7","blue",TRUE,0.00311,404,240,19,0.079,0.047,"GO:0008380","BP",1,"RNA splicing",6,"RBM5,AKAP8L,CPSF1,XAB2,SRRT,SNRNP70,PRPF31,SUGP1,WDR83,CPSF4,U2AF1L4,FASTK,CLK2,CLK3,GEMIN4,KIAA1875,RBM10,DDX41,AKAP17A",5.11921555966708
"8","blue",TRUE,0.0303,473,240,19,0.079,0.04,"GO:0006397","BP",1,"mRNA processing",6,"RBM5,AKAP8L,CPSF1,XAB2,SRRT,SNRNP70,PRPF31,SUGP1,WDR83,SYMPK,SAFB2,TUT1,CPSF4,U2AF1L4,GEMIN4,KIAA1875,RBM10,DDX41,AKAP17A",5.10706474188456
"9","blue",TRUE,0.000149,10105,240,170,0.708,0.017,"GO:0044237","BP",1,"cellular metabolic process",2,"RBM5,RHBDF1,PIGQ,MLXIPL,AKAP8L,PNKP,TNK2,GPC1,TMEM161A,ZNF76,OTUD5,CPSF1,ACADVL,VPS9D1,XAB2,FKBP6,MIR761,SLC35C2,MOK,SRRT,CNOT3,EBF4,MAEA,MZF1,POLRMT,TRMT2A,TOP3B,GGA1,CYP2D6,CHKB,ARSA,TRMU,TELO2,RABGGTA,CDK5RAP1,TRADD,TSC2,NARFL,SNRNP70,PPP1R37,PIAS4,TYK2,PTPRS,PRPF31,CRTC1,SUGP1,BRAT1,CDK5RAP3,CHKA,MOGS,MECR,ZNF205,ZMIZ2,POLM,WDR83,ADCK4,AARS2,SYMPK,ZNF133,XRCC3,IRF3,IDUA,WFIKKN1,CHTF18,HOXD9,CBFA2T3,SAFB2,HSD17B3,CC2D1A,INPP5K,UNK,IGHMBP2,MUTYH,SUV420H2,MEN1,CARS2,DDX56,SMPD4,GCHFR,ULK3,MED9,RNF165,SLC26A1,ZNF7,MRRF,GTF3C5,C9ORF142,TUT1,ME3,TRIM11,CXXC1,MOV10,GHRL,FUK,TNFRSF14,UBXN11,CPSF4,MUM1,U2AF1L4,LEMD2,SPSB3,TAF6L,AKR7A3,MRPL55,MTMR14,DAGLB,INTS1,FASTK,SNAPC4,TSC22D4,COQ4,DUS2L,E4F1,ATG4B,DUS1L,CHD3,ZNF212,ZNF282,GAA,HDAC3,RAD9A,NADSYN1,ADRBK1,ADCK5,HAP1,CCS,ANAPC2,CLK2,ACSF3,POLE,DMAP1,CLK3,ARID3B,GEMIN4,KIAA1875,D2HGDH,EHMT1,ZNF707,RBM10,MTA1,DDX41,JAG2,BRF1,SIGIRR,RAB11B,CDK10,C17ORF70,SETD4,PRR5,SIRT7,EXD3,SEMA4D,NOXA1,NELFB,POM121,WDR45,RAB40C,AKAP17A,ZNF335,FAM109A,RING1,AGER,ZBTB48,CYP2D7P1,QTRT1,MXD3,COX19,BGLAP,NAIP,CDK3",1.33189125738454
"10","blue",TRUE,0.000364,8276,240,146,0.608,0.018,"GO:0044260","BP",1,"cellular macromolecule metabolic process",3,"RBM5,RHBDF1,PIGQ,MLXIPL,AKAP8L,PNKP,TNK2,GPC1,TMEM161A,ZNF76,OTUD5,CPSF1,XAB2,FKBP6,MIR761,SLC35C2,MOK,SRRT,CNOT3,EBF4,MAEA,MZF1,POLRMT,TRMT2A,TOP3B,GGA1,ARSA,TRMU,TELO2,RABGGTA,CDK5RAP1,TRADD,TSC2,SNRNP70,PIAS4,TYK2,PTPRS,PRPF31,CRTC1,SUGP1,BRAT1,CDK5RAP3,MOGS,ZNF205,ZMIZ2,POLM,WDR83,ADCK4,AARS2,SYMPK,ZNF133,XRCC3,IRF3,IDUA,WFIKKN1,CHTF18,HOXD9,CBFA2T3,SAFB2,CC2D1A,INPP5K,UNK,IGHMBP2,MUTYH,SUV420H2,MEN1,CARS2,DDX56,ULK3,MED9,RNF165,ZNF7,MRRF,GTF3C5,C9ORF142,TUT1,TRIM11,CXXC1,MOV10,GHRL,TNFRSF14,UBXN11,CPSF4,MUM1,U2AF1L4,LEMD2,SPSB3,TAF6L,MRPL55,MTMR14,INTS1,FASTK,SNAPC4,TSC22D4,DUS2L,E4F1,ATG4B,DUS1L,CHD3,ZNF212,ZNF282,GAA,HDAC3,RAD9A,ADRBK1,ADCK5,HAP1,ANAPC2,CLK2,POLE,DMAP1,CLK3,ARID3B,GEMIN4,KIAA1875,D2HGDH,EHMT1,ZNF707,RBM10,MTA1,DDX41,JAG2,BRF1,SIGIRR,RAB11B,CDK10,C17ORF70,SETD4,PRR5,SIRT7,SEMA4D,NELFB,POM121,WDR45,RAB40C,AKAP17A,ZNF335,FAM109A,RING1,AGER,ZBTB48,QTRT1,MXD3,BGLAP,NAIP,CDK3",1.62152325167179
