"","InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"1","lightcyan","blue_M2_Oligodendrocytes__HumanMeta","Brain",4.03411371106166e-136
"2","darkgreen","105976_REACTOME_Eukaryotic_Translation_Elongation__Reactome_NCBI_Biosystems","PW_Lists",3.29504361793903e-134
"3","darkgreen","105977_REACTOME_Peptide_chain_elongation__Reactome_NCBI_Biosystems","PW_Lists",1.89812070516266e-130
"4","darkgreen","413404_KEGG_Ribosome,_eukaryotes__Kegg_NCBI_Biosystems","PW_Lists",1.42940905375676e-128
"5","darkgreen","105978_REACTOME_Eukaryotic_Translation_Termination__Reactome_NCBI_Biosystems","PW_Lists",1.50047770782917e-127
"6","darkgreen","106077_REACTOME_Viral_mRNA_Translation__Reactome_NCBI_Biosystems","PW_Lists",1.50047770782917e-127
"7","darkgreen","441_KEGG_Ribosome__Kegg_NCBI_Biosystems","PW_Lists",1.50047770782917e-127
"8","darkgreen","83036_KEGG_Ribosome__Kegg_NCBI_Biosystems","PW_Lists",1.50047770782917e-127
"9","darkgreen","198853_WikiPathways_Cytoplasmic_Ribosomal_Proteins__Wiki_Pathways_NCBI_Biosystems","PW_Lists",1.2175649268147e-125
"10","darkgreen","366242_REACTOME_Nonsense_Mediated_Decay_Independent_of_the_Exon_Junction_Complex__Reactome_NCBI_Biosystems","PW_Lists",4.8230213135461e-123
"11","darkgreen","105968_REACTOME_Formation_of_a_pool_of_free_40S_subunits__Reactome_NCBI_Biosystems","PW_Lists",1.53246677264462e-118
"12","darkgreen","106074_REACTOME_Influenza_Viral_RNA_Transcription_and_Replication__Reactome_NCBI_Biosystems","PW_Lists",2.68804628610394e-115
"13","lightcyan","Red Nucleus_localMarker(top200)_IN_Mesencephalon__HBA","HumanBrainRegions",3.94428164064577e-114
"14","darkgreen","160955_REACTOME_L13a-mediated_translational_silencing_of_Ceruloplasmin_expression__Reactome_NCBI_Biosystems","PW_Lists",2.15906335305468e-112
"15","darkgreen","105973_REACTOME_GTP_hydrolysis_and_joining_of_the_60S_ribosomal_subunit__Reactome_NCBI_Biosystems","PW_Lists",7.60792658245923e-112
"16","darkgreen","366240_REACTOME_Nonsense-Mediated_Decay__Reactome_NCBI_Biosystems","PW_Lists",2.61858406292576e-111
"17","darkgreen","366241_REACTOME_Nonsense_Mediated_Decay_Enhanced_by_the_Exon_Junction_Complex__Reactome_NCBI_Biosystems","PW_Lists",2.61858406292576e-111
"18","darkgreen","530746_REACTOME_SRP-dependent_cotranslational_protein_targeting_to_membrane__Reactome_NCBI_Biosystems","PW_Lists",2.61858406292576e-111
"19","darkgreen","105966_REACTOME_Eukaryotic_Translation_Initiation__Reactome_NCBI_Biosystems","PW_Lists",2.79330491416985e-108
"20","darkgreen","105967_REACTOME_Cap-dependent_Translation_Initiation__Reactome_NCBI_Biosystems","PW_Lists",2.79330491416985e-108
"21","darkgreen","105965_REACTOME_Translation__Reactome_NCBI_Biosystems","PW_Lists",3.8392579718121e-102
"22","darkgreen","106068_REACTOME_Influenza_Life_Cycle__Reactome_NCBI_Biosystems","PW_Lists",3.05419577611177e-99
"23","darkgreen","salmon_M12_Ribosome__HumanMeta","Brain",6.41164242735863e-99
"24","darkgreen","106067_REACTOME_Influenza_Infection__Reactome_NCBI_Biosystems","PW_Lists",7.48767650231173e-98
"25","lightcyan","Red Nucleus_localMarker(FC>2)_IN_Mesencephalon__HBA","HumanBrainRegions",1.24502410261644e-97
"26","darkmagenta","Neuron_probable__Cahoy","Brain",1.13987736814168e-94
"27","paleturquoise","pink_M10_Microglia(Type1)__HumanMeta","Brain",1.15738156720321e-77
"28","purple","brown_M3_Astrocytes__HumanMeta","Brain",9.09667427756132e-77
"29","lightcyan","turquoise_M9_Oligodendrocyte__CTX","Brain",2.75408882700018e-73
"30","lightyellow","magenta_M8_Microglia(Type2)__HumanMeta","Brain",3.02854456263875e-72
"31","lightcyan","Ventral Thalamus_globalMarker(top200)__HBA","HumanBrainRegions",1.38743948845964e-69
"32","purple","Astrocyte_probable__Cahoy","Brain",6.96127614005687e-69
"33","darkgreen","106230_REACTOME_Metabolism_of_proteins__Reactome_NCBI_Biosystems","PW_Lists",9.04685389851502e-68
"34","lightcyan","nucleus subceruleus_localMarker(top200)_IN_Pontine Tegmentum__HBA","HumanBrainRegions",4.62132730428934e-67
"35","lightcyan","White Matter_globalMarker(top200)__HBA","HumanBrainRegions",4.81281281189092e-66
"36","lightcyan","Globus Pallidus_globalMarker(top200)__HBA","HumanBrainRegions",3.52825088195833e-62
"37","darkorange","brown_M3_Astrocytes__HumanMeta","Brain",5.04620559719427e-56
"38","lightcyan","Putamen_localMarker(top200)_IN_Striatum__HBA","HumanBrainRegions",5.95314934424703e-55
"39","purple","Astrocyte_definite__Cahoy","Brain",1.56923599474455e-54
"40","purple","brown_M15_Astrocyte__CTX","Brain",3.65215730421183e-53
"41","lightcyan","gigantocellular group_localMarker(top200)_IN_Myelencephalon__HBA","HumanBrainRegions",3.14294456260518e-52
"42","salmon","303_KEGG_Oxidative_phosphorylation__Kegg_NCBI_Biosystems","PW_Lists",3.80843669535731e-48
