"","skyblue","paleturquoise","steelblue","skyblue3","pink","royalblue","brown4","darkmagenta","darkgrey","darkslateblue","darkred","ivory","lightcyan1","salmon","darkorange","lightgreen","lightcyan","darkorange2","blue","orangered4","saddlebrown","purple","darkolivegreen","sienna3","bisque4","darkgreen","black","floralwhite","lightsteelblue1","plum1","magenta","lightyellow","plum2","mediumpurple3"
"Astrocytes, highly probable (Cahoy, 2008)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.2989374176162e-14,1,1,1,1,1,1,1.56923599474455e-54,1,1,1,1,1,1,1,1,1,1,1,1
"Astrocytes module in Cortex",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.07356864313121e-25,1,1,0.000168572591851638,1,1,1,3.65215730421183e-53,1,1,1,1,1,1,1,1,1,1,1,1
"Microglia in Human brain Module (Geschwind, 2010)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.63488834903705e-12,1,1,1,1,1,1,1,3.02854456263875e-72,1,1
"Microglia (Type2) module in Cortex",1,2.14707809452049e-06,1,1,1,1,9.01771975084612e-08,1,1,1,1,1,1,1,1,1,1,2.44868149623599e-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1.3201575279882e-15,1,1
"Neuron in Human brain Module (Geschwind,2010)",4.93566935799132e-21,1,1,1,1,1,1,3.0739595454995e-08,1,1,1,1,1,0.046400501530343,1,1,1,1,1,1,1,1,1,1,1,1,9.81700141599865e-18,1,1,1,1,1,1,1
"Neuron module in Cortex",6.63872257912451e-27,1,1,1,1,1,1,0.00168066332894199,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.58049817808828e-23,1,1,1,0.002928211227842,1,1,1
"Neuron, pyramidal in network from Sugino/Winden",6.40996646733782e-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000813491720655659,1,1,1,0.00749319139397653,1,1,1
"Microglia (Type 1) (Geschwind, 2010)",1,1.15738156720321e-77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.00790229253665e-12
"Neuron, definite (Cahoy, 2008)",1,1,1,1,1,1,1,7.22337925587184e-25,1,3.43543680604394e-05,1,1,1,1,1,1,1,1,3.95308649156157e-07,0.00307035951385799,1,1,1,1,5.91351221773984e-14,1,1,1,1,1,1,1,1,1
"Oligodendrocytes in Human brain Module (Geschwind,2010)",1,1,1,1,1,1,1,1,8.30923368826754e-19,1,1,1,1,1,1,1,4.03411371106166e-136,1,1,1,1,1,1,1,1,1,1,3.36973220201639e-10,1,1,1,1,1,1
