"","ensgene","name","module","mm"
"1","ENSG00000227232","WASH7P","skyblue",0.59337651386156
"2","ENSG00000237683","AL627309.1","paleturquoise",0.679029378172711
"3","ENSG00000268903","RP11-34P13.15","paleturquoise",0.579984044925371
"4","ENSG00000269981","RP11-34P13.16","paleturquoise",0.629284412136356
"5","ENSG00000228463","AP006222.2","steelblue",0.416300168746424
"6","ENSG00000241670","AP006222.1","skyblue3",0.437514335331798
"7","ENSG00000225972","MTND1P23","grey",0
"8","ENSG00000225630","MTND2P28","grey",0
"9","ENSG00000237973","hsa-mir-6723","grey",0
"10","ENSG00000229344","RP5-857K21.7","grey",0
"11","ENSG00000224956","RP11-206L10.1","pink",0.720751630181605
"12","ENSG00000228327","RP11-206L10.2","royalblue",0.76451688601092
"13","ENSG00000237491","RP11-206L10.9","royalblue",0.717611023654095
"14","ENSG00000225880","LINC00115","brown4",0.6266688363983
"15","ENSG00000228794","RP11-206L10.11","darkmagenta",0.891047585912917
"16","ENSG00000223764","RP11-54O7.3","darkgrey",0.442161599101664
"17","ENSG00000187634","SAMD11","darkslateblue",0.531443999200061
"18","ENSG00000188976","NOC2L","darkred",0.935755749939259
"19","ENSG00000187961","KLHL17","darkred",0.726620071721299
"20","ENSG00000272512","ENSG00000272512","brown4",0.414502454811704
"21","ENSG00000188290","HES4","brown4",0.624180121449902
"22","ENSG00000187608","ISG15","brown4",0.723157621860864
"23","ENSG00000188157","AGRN","darkred",0.631140464516861
"24","ENSG00000242590","RP11-54O7.14","steelblue",0.600010552611682
"25","ENSG00000217801","RP11-465B22.3","steelblue",0.731381687453829
"26","ENSG00000273443","ENSG00000273443","steelblue",0.638089329112373
"27","ENSG00000131591","C1orf159","steelblue",0.890511205847996
"28","ENSG00000186827","TNFRSF4","ivory",0.731474960015852
"29","ENSG00000078808","SDF4","lightcyan1",0.912395770473551
"30","ENSG00000176022","B3GALT6","salmon",0.852934592480097
"31","ENSG00000184163","FAM132A","darkred",0.487991741166612
"32","ENSG00000260179","RP5-902P8.12","pink",0.477634975339645
"33","ENSG00000160087","UBE2J2","lightcyan1",0.917008321630224
"34","ENSG00000230415","RP5-902P8.10","pink",0.696562041506907
"35","ENSG00000162572","SCNN1D","steelblue",0.927475599144429
"36","ENSG00000131584","ACAP3","steelblue",0.895441786476337
"37","ENSG00000169972","PUSL1","lightcyan1",0.762842118118767
"38","ENSG00000127054","CPSF3L","pink",0.913141548877984
"39","ENSG00000240731","RP5-890O3.9","pink",0.845541193864627
"40","ENSG00000224051","GLTPD1","salmon",0.802435248909677
"41","ENSG00000107404","DVL1","darkred",0.839455185920928
"42","ENSG00000162576","MXRA8","darkorange",0.566237094653494
"43","ENSG00000175756","AURKAIP1","salmon",0.906816484724329
"44","ENSG00000221978","CCNL2","pink",0.927107067382568
"45","ENSG00000224870","RP4-758J18.2","darkgrey",0.525715665659145
"46","ENSG00000242485","MRPL20","salmon",0.929332299767523
"47","ENSG00000264293","RN7SL657P","lightgreen",0.594316875352034
"48","ENSG00000272455","ENSG00000272455","pink",0.665343329801361
"49","ENSG00000235098","ANKRD65","skyblue3",0.600180784689446
"50","ENSG00000225905","RP4-758J18.7","lightcyan",0.440040768721844
