"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","skyblue",TRUE,0.0171,2437,632,121,0.191,0.05,"GO:0008104","BP",5,"protein localization",1,"CCDC132,VPS41,PAFAH1B1,RUFY3,MIPEP,PEX3,SPATA7,AP5M1,ATXN3,ERLEC1,VPS35,AP3M2,BCAP29,KIFAP3,PIK3C3,DDX1,GSK3B,CYLD,ATRX,SCAMP1,SNX10,DNM1L,PPM1A,ZDHHC15,NDFIP2,C16ORF62,GDAP1,RAB2A,WASL,CEP41,RAB11FIP2,PLEKHA1,IFT20,LAMTOR3,LIN7A,VPS29,GNPTAB,C2CD5,TMEM30A,HMGCR,ARL6,SNX4,ATP6V1A,CHMP3,RAB3GAP1,SUMO1,FAM20B,MFN2,TSNAX,VAMP4,ANKRD13C,VPS26A,CCDC91,CSE1L,RAB22A,RAP2A,MTX2,RAB2B,KIF3A,NDFIP1,COG6,NAPG,CLOCK,GCC2,NUPL2,EPT1,KIF20B,ZNF365,AP1AR,BBS7,PIGK,ATP1B1,ENSA,ANK2,SFRP2,CDCA5,SNX12,TERF1,AKAP6,ANKRD50,RABGAP1L,UHMK1,ATG10,GPD1L,ATP6V1C1,RAB39B,VPS37A,GNAQ,TIAM1,ZFYVE9,MIS18A,CHCHD4,EIF5A2,LZTFL1,SENP2,SLU7,PHAX,CEP57,YWHAB,KIF5C,STXBP6,NLGN1,ZMAT3,TOMM20,CNTNAP2,GLMN,RAB6A,AP3S1,RABIF,IMMP2L,ZDHHC17,CHM,WNK3,KPNA5,DACT3,SVIP,TLK1,TRAF3IP1,MZT1,TRIM16,ATP6V1E2",3.72228118328803
"2","skyblue",TRUE,0.0184,1994,632,103,0.163,0.052,"GO:0045184","BP",5,"establishment of protein localization",2,"CCDC132,VPS41,PAFAH1B1,RUFY3,MIPEP,PEX3,AP5M1,ERLEC1,VPS35,AP3M2,BCAP29,PIK3C3,GSK3B,CYLD,SCAMP1,SNX10,DNM1L,PPM1A,ZDHHC15,NDFIP2,C16ORF62,GDAP1,RAB2A,CEP41,RAB11FIP2,PLEKHA1,IFT20,LIN7A,VPS29,GNPTAB,C2CD5,TMEM30A,HMGCR,ARL6,SNX4,ATP6V1A,CHMP3,RAB3GAP1,FAM20B,MFN2,TSNAX,VAMP4,VPS26A,CCDC91,CSE1L,RAB22A,RAP2A,MTX2,RAB2B,KIF3A,NDFIP1,COG6,NAPG,CLOCK,GCC2,NUPL2,EPT1,KIF20B,AP1AR,BBS7,ATP1B1,ENSA,ANK2,SFRP2,SNX12,TERF1,AKAP6,ANKRD50,RABGAP1L,UHMK1,ATG10,ATP6V1C1,RAB39B,VPS37A,GNAQ,TIAM1,ZFYVE9,MIS18A,CHCHD4,EIF5A2,SENP2,SLU7,PHAX,CEP57,YWHAB,NLGN1,ZMAT3,TOMM20,GLMN,RAB6A,AP3S1,RABIF,IMMP2L,ZDHHC17,CHM,WNK3,KPNA5,DACT3,SVIP,TLK1,TRAF3IP1,TRIM16,ATP6V1E2",3.99764153711224
"3","skyblue",TRUE,0.0126,1831,632,97,0.153,0.053,"GO:0015031","BP",5,"protein transport",2,"CCDC132,VPS41,PAFAH1B1,RUFY3,MIPEP,PEX3,AP5M1,ERLEC1,VPS35,AP3M2,BCAP29,PIK3C3,GSK3B,CYLD,SCAMP1,SNX10,DNM1L,PPM1A,NDFIP2,C16ORF62,GDAP1,RAB2A,CEP41,RAB11FIP2,IFT20,LIN7A,VPS29,GNPTAB,C2CD5,TMEM30A,HMGCR,ARL6,SNX4,ATP6V1A,CHMP3,FAM20B,MFN2,TSNAX,VAMP4,VPS26A,CCDC91,CSE1L,RAB22A,MTX2,RAB2B,KIF3A,NDFIP1,COG6,NAPG,CLOCK,GCC2,NUPL2,EPT1,KIF20B,AP1AR,BBS7,ATP1B1,ENSA,ANK2,SFRP2,SNX12,AKAP6,ANKRD50,RABGAP1L,UHMK1,ATG10,ATP6V1C1,RAB39B,VPS37A,GNAQ,TIAM1,ZFYVE9,MIS18A,CHCHD4,EIF5A2,SENP2,SLU7,PHAX,CEP57,YWHAB,NLGN1,ZMAT3,TOMM20,GLMN,RAB6A,AP3S1,RABIF,IMMP2L,CHM,WNK3,KPNA5,DACT3,SVIP,TLK1,TRAF3IP1,TRIM16,ATP6V1E2",4.07675543160947
"4","skyblue",TRUE,0.00152,4034,632,188,0.297,0.047,"GO:0043412","BP",10,"macromolecule modification",1,"MSL3,CDKL3,PAFAH1B1,FAM76A,RB1CC1,RC3H2,CDK17,MAP2K4,ATXN3,THUMPD1,PIGB,MAPK6,MGAT4A,HLTF,USP33,UBE2K,PIK3C3,PPP2R5C,GSK3B,TDRD3,CYLD,ATRX,HACE1,NLK,KLHL42,PTPN4,IGBP1,G2E3,FKBP3,PPM1A,RPS6KA5,BRMS1L,METTL4,XIAP,ZDHHC15,NDFIP2,NBN,UBE2W,CEP41,SPIN1,TRDMT1,ATE1,NSMCE4A,CCNY,PRKAR1A,LAMTOR3,KLHL2,FBXO3,CREBL2,GNPTAB,FRK,NCOA7,FBXO9,HMGCR,COL4A3BP,TRIM23,RAB3GAP1,ATF2,SUMO1,DNAJC6,UCHL5,AKT3,UCHL3,PCMT1,MASTL,KBTBD7,TRMT1L,KLHL7,RNF11,WWP1,METTL8,VAPB,FASTKD3,RAP2A,UBA2,YEATS4,RNF6,FAM63B,MBD4,PARP2,ASH2L,NDFIP1,UBE2G1,CCNB1,CLOCK,SRPK2,PKIB,EGLN1,CAB39,NUPL2,TANK,RNF38,ALKBH8,FASTKD1,AEBP2,MTMR6,NAA30,NCOA2,RPRD1A,GALNT1,RAB40B,APP,PRKACB,PIGK,ENSA,ACP1,CALM2,UBR3,ARL6IP5,SFRP2,ATG12,CASK,FBXO25,FAM188A,CHEK1,CSNK1G3,AKAP6,UHMK1,ATG10,TADA1,GPD1L,MED21,MPPE1,GNAQ,TIAM1,PPP2R2B,CUL4B,MIS18A,ALG8,ZYG11B,PRKAA2,CAMK2N1,B3GALT2,HENMT1,STT3B,EIF5A2,SENP2,PIGX,METAP1,RNF180,UBLCP1,KBTBD6,TRUB1,BAG5,CUL5,YWHAB,LDLRAD4,UBE2V2,CCDC126,B3GALNT1,METTL15,USP47,SETMAR,SOCS5,PTEN,MOB1B,GLMN,RSRC1,VCPIP1,PDIK1L,CHRNA7,RAB6A,TBL1XR1,NSUN3,TDRKH,UBE2E2,TTC3,BRCC3,ZDHHC17,RNF220,NHLRC1,CHM,WDSUB1,HDAC2,WNK3,VKORC1L1,TRIM33,ZNF675,MAN1A2,SVIP,TLK1,PRMT6,DZIP3,PJA2,PCMTD2,TRAF3IP1,BMPR2,TRIM16",2.74050741124959
"5","skyblue",TRUE,0.018,3784,632,173,0.274,0.046,"GO:0036211","BP",10,"protein modification process",2,"MSL3,CDKL3,PAFAH1B1,FAM76A,RB1CC1,RC3H2,CDK17,MAP2K4,ATXN3,PIGB,MAPK6,MGAT4A,HLTF,USP33,UBE2K,PIK3C3,PPP2R5C,GSK3B,CYLD,ATRX,HACE1,NLK,KLHL42,PTPN4,IGBP1,G2E3,FKBP3,PPM1A,RPS6KA5,BRMS1L,XIAP,ZDHHC15,NDFIP2,NBN,UBE2W,CEP41,ATE1,NSMCE4A,CCNY,PRKAR1A,LAMTOR3,KLHL2,FBXO3,CREBL2,GNPTAB,FRK,NCOA7,FBXO9,HMGCR,COL4A3BP,TRIM23,RAB3GAP1,ATF2,SUMO1,DNAJC6,UCHL5,AKT3,UCHL3,PCMT1,MASTL,KBTBD7,KLHL7,RNF11,WWP1,METTL8,VAPB,FASTKD3,RAP2A,UBA2,YEATS4,RNF6,FAM63B,PARP2,ASH2L,NDFIP1,UBE2G1,CCNB1,CLOCK,SRPK2,PKIB,EGLN1,CAB39,NUPL2,TANK,RNF38,FASTKD1,MTMR6,NAA30,NCOA2,RPRD1A,GALNT1,RAB40B,APP,PRKACB,PIGK,ENSA,ACP1,CALM2,UBR3,ARL6IP5,SFRP2,ATG12,CASK,FBXO25,FAM188A,CHEK1,CSNK1G3,AKAP6,UHMK1,ATG10,TADA1,GPD1L,MED21,MPPE1,GNAQ,TIAM1,PPP2R2B,CUL4B,ALG8,ZYG11B,PRKAA2,CAMK2N1,B3GALT2,STT3B,EIF5A2,SENP2,PIGX,METAP1,RNF180,UBLCP1,KBTBD6,BAG5,CUL5,YWHAB,LDLRAD4,UBE2V2,CCDC126,B3GALNT1,USP47,SETMAR,SOCS5,PTEN,MOB1B,GLMN,RSRC1,VCPIP1,PDIK1L,CHRNA7,RAB6A,TBL1XR1,UBE2E2,TTC3,BRCC3,ZDHHC17,RNF220,NHLRC1,CHM,WDSUB1,HDAC2,WNK3,VKORC1L1,TRIM33,ZNF675,MAN1A2,SVIP,TLK1,PRMT6,DZIP3,PJA2,PCMTD2,TRAF3IP1,BMPR2,TRIM16",2.78191017934823
"6","skyblue",TRUE,0.018,3784,632,173,0.274,0.046,"GO:0006464","BP",10,"cellular protein modification process",1,"MSL3,CDKL3,PAFAH1B1,FAM76A,RB1CC1,RC3H2,CDK17,MAP2K4,ATXN3,PIGB,MAPK6,MGAT4A,HLTF,USP33,UBE2K,PIK3C3,PPP2R5C,GSK3B,CYLD,ATRX,HACE1,NLK,KLHL42,PTPN4,IGBP1,G2E3,FKBP3,PPM1A,RPS6KA5,BRMS1L,XIAP,ZDHHC15,NDFIP2,NBN,UBE2W,CEP41,ATE1,NSMCE4A,CCNY,PRKAR1A,LAMTOR3,KLHL2,FBXO3,CREBL2,GNPTAB,FRK,NCOA7,FBXO9,HMGCR,COL4A3BP,TRIM23,RAB3GAP1,ATF2,SUMO1,DNAJC6,UCHL5,AKT3,UCHL3,PCMT1,MASTL,KBTBD7,KLHL7,RNF11,WWP1,METTL8,VAPB,FASTKD3,RAP2A,UBA2,YEATS4,RNF6,FAM63B,PARP2,ASH2L,NDFIP1,UBE2G1,CCNB1,CLOCK,SRPK2,PKIB,EGLN1,CAB39,NUPL2,TANK,RNF38,FASTKD1,MTMR6,NAA30,NCOA2,RPRD1A,GALNT1,RAB40B,APP,PRKACB,PIGK,ENSA,ACP1,CALM2,UBR3,ARL6IP5,SFRP2,ATG12,CASK,FBXO25,FAM188A,CHEK1,CSNK1G3,AKAP6,UHMK1,ATG10,TADA1,GPD1L,MED21,MPPE1,GNAQ,TIAM1,PPP2R2B,CUL4B,ALG8,ZYG11B,PRKAA2,CAMK2N1,B3GALT2,STT3B,EIF5A2,SENP2,PIGX,METAP1,RNF180,UBLCP1,KBTBD6,BAG5,CUL5,YWHAB,LDLRAD4,UBE2V2,CCDC126,B3GALNT1,USP47,SETMAR,SOCS5,PTEN,MOB1B,GLMN,RSRC1,VCPIP1,PDIK1L,CHRNA7,RAB6A,TBL1XR1,UBE2E2,TTC3,BRCC3,ZDHHC17,RNF220,NHLRC1,CHM,WDSUB1,HDAC2,WNK3,VKORC1L1,TRIM33,ZNF675,MAN1A2,SVIP,TLK1,PRMT6,DZIP3,PJA2,PCMTD2,TRAF3IP1,BMPR2,TRIM16",2.78202826401507
"7","skyblue",TRUE,0.00715,1021,632,63,0.1,0.062,"GO:0070647","BP",10,"protein modification by small protein conjugation or removal",2,"FAM76A,RC3H2,ATXN3,HLTF,USP33,UBE2K,CYLD,HACE1,KLHL42,G2E3,XIAP,NDFIP2,UBE2W,NSMCE4A,KLHL2,FBXO3,FBXO9,TRIM23,SUMO1,UCHL5,UCHL3,MASTL,KBTBD7,KLHL7,RNF11,WWP1,UBA2,RNF6,FAM63B,NDFIP1,UBE2G1,CCNB1,NUPL2,TANK,RNF38,RAB40B,UBR3,FBXO25,FAM188A,ATG10,MED21,CUL4B,ZYG11B,SENP2,RNF180,KBTBD6,BAG5,CUL5,UBE2V2,USP47,SOCS5,PTEN,GLMN,VCPIP1,UBE2E2,TTC3,BRCC3,RNF220,NHLRC1,WDSUB1,TRIM33,DZIP3,PJA2",4.32998055109387
"8","skyblue",TRUE,0.0284,1746,632,92,0.146,0.053,"GO:0033554","BP",3,"cellular response to stress",1,"PAFAH1B1,SLC30A9,RB1CC1,TDP1,MAP2K4,ATXN3,ERLEC1,HLTF,USP33,UBE2K,PIK3C3,DDX1,GSK3B,PDS5B,ATRX,IGBP1,TXNL1,MSH2,XIAP,NBN,UBE2W,NSMCE4A,PLEKHA1,RFC5,NCOA7,HMGCR,COL4A3BP,MSH3,RAD1,ATF2,SUMO1,MFN2,UCHL5,MASTL,VAPB,RAP2A,INSIG2,TMX4,MBD4,PARP2,ASH2L,CCNB1,CLOCK,EGLN1,CAB39,RNASEH2B,NUPL2,TANK,ALKBH8,INTS7,ARL6IP5,SFRP2,CDCA5,CHEK1,ATG10,RAD17,TIAM1,CUL4B,PRKAA2,STT3B,TOPBP1,SENP2,SLU7,BAG5,KIAA0430,FEN1,UBE2V2,APLF,USP47,SETMAR,RHNO1,PTEN,ZMAT3,LIG4,C17ORF104,UBE2E2,IMMP2L,RBM11,BRCC3,UBQLN2,HDAC2,VKORC1L1,ZNF675,SVIP,TLK1,CNOT7,OPA1,PRMT6,DCLRE1A,BMPR2,DCTN1,ENSG00000272047",3.50855589998265
"9","skyblue",TRUE,0.00453,792,632,53,0.084,0.067,"GO:0006974","BP",3,"cellular response to DNA damage stimulus",2,"SLC30A9,TDP1,ATXN3,HLTF,DDX1,PDS5B,ATRX,MSH2,XIAP,NBN,UBE2W,NSMCE4A,RFC5,MSH3,RAD1,ATF2,SUMO1,UCHL5,MASTL,MBD4,PARP2,ASH2L,CCNB1,CLOCK,RNASEH2B,TANK,ALKBH8,INTS7,SFRP2,CDCA5,CHEK1,RAD17,CUL4B,TOPBP1,SENP2,KIAA0430,FEN1,UBE2V2,APLF,USP47,SETMAR,RHNO1,ZMAT3,LIG4,C17ORF104,UBE2E2,IMMP2L,BRCC3,TLK1,CNOT7,PRMT6,DCLRE1A,ENSG00000272047",4.3541458180247
"10","skyblue",TRUE,0.0045,3207,632,154,0.244,0.048,"GO:0006996","BP",13,"organelle organization",1,"VPS41,PAFAH1B1,RUFY3,NDUFS1,RB1CC1,MIPEP,PEX3,PUM2,ATXN3,VPS35,USP33,PIK3C3,DDX1,GSK3B,PDS5B,CYLD,ATRX,HACE1,DDHD2,SNX10,KLHL42,DNM1L,MSH2,CEP76,XIAP,ZDHHC15,CLUAP1,NBN,GDAP1,RAB2A,MCM4,WASL,COA1,CCSER2,PRKAR1A,IFT20,RFC5,GNPTAB,C2CD5,MRPS27,COL4A3BP,MSH3,RAD1,SNX4,ATP6V1A,RTN4,CHMP3,RAB3GAP1,ATF2,SUMO1,FAM20B,MFN2,TBCE,AKT3,VAMP4,CAMSAP2,MASTL,NDUFAF4,VAPB,RAB22A,ATP8A1,RAP2A,MKKS,DSTN,RHOT1,YEATS4,NDUFA5,MTX2,KNSTRN,MRPS25,KIF3A,NDUFA2,MAP1B,MRPL35,RTN3,CCNB1,SRPK2,PKIB,GCC2,CKAP2,NUPL2,EPT1,ACTR2,LRPPRC,ATAD1,KIF20B,AP1AR,RAP1GDS1,CCNG2,ANP32A,ENSA,KIAA1715,ANK2,ATG12,CDCA5,SH3KBP1,SNX12,TERF1,CHEK1,RABGAP1L,CCSAP,CXADR,ATP6V1C1,VPS37A,NDUFAF6,MPV17L,CUL4B,MIS18A,RACGAP1,CHCHD4,MAP9,SLC25A46,DYNLT3,SUGT1,DNAAF2,CEP57,BAG5,HDGFRP3,KIAA0430,YWHAB,KIF5C,FEN1,STXBP6,NLGN1,SETMAR,PTEN,TOMM20,LEMD3,LIG4,VCPIP1,NAP1L5,DNAJC28,C17ORF104,TDRKH,TRAPPC6B,IMMP2L,BRCC3,BRWD1,NAP1L3,NAP1L1,UBQLN2,HDAC2,DNM3,PRIM1,FAM179B,CNOT7,OPA1,DCLRE1A,TRAF3IP1,DCTN1,MZT1,UBXN2B,ATP6V1E2,ENSG00000272047",2.9244389639695
