"","ensgene","name","module","mm"
"1","ENSG00000227232","WASH7P","lavenderblush3",0.497097787330094
"2","ENSG00000237683","AL627309.1","darkslateblue",0.365777985413474
"3","ENSG00000268903","RP11-34P13.15","darkslateblue",0.296802316053784
"4","ENSG00000269981","RP11-34P13.16","darkslateblue",0.336391452610128
"5","ENSG00000239906","RP11-34P13.14","darkslateblue",0.462949666384973
"6","ENSG00000241860","RP11-34P13.13","sienna3",0.428468667668528
"7","ENSG00000228463","AP006222.2","bisque4",0.359942306146596
"8","ENSG00000241670","AP006222.1","lavenderblush3",0.435304567646404
"9","ENSG00000237094","RP4-669L17.10","darkslateblue",0.696050693661909
"10","ENSG00000225972","MTND1P23","darkseagreen4",0.277051830322429
"11","ENSG00000225630","MTND2P28","darkseagreen4",0.280719761569504
"12","ENSG00000237973","hsa-mir-6723","darkseagreen4",0.287096381346304
"13","ENSG00000229344","RP5-857K21.7","darkseagreen4",0.250848670932223
"14","ENSG00000224956","RP11-206L10.1","darkslateblue",0.63006059926288
"15","ENSG00000228327","RP11-206L10.2","sienna3",0.712263465635756
"16","ENSG00000237491","RP11-206L10.9","turquoise",0.563579202825456
"17","ENSG00000230092","RP11-206L10.8","darkslateblue",0.594867194547844
"18","ENSG00000177757","FAM87B","greenyellow",0.542188120590045
"19","ENSG00000240453","RP11-206L10.10","darkolivegreen",0.295763380808478
"20","ENSG00000225880","LINC00115","skyblue1",0.606058830543282
"21","ENSG00000228794","RP11-206L10.11","yellow4",0.513320133251006
"22","ENSG00000223764","RP11-54O7.3","darkslateblue",0.481781800725878
"23","ENSG00000187634","SAMD11","thistle2",0.342932441998631
"24","ENSG00000188976","NOC2L","lightsteelblue1",0.599711453540495
"25","ENSG00000187961","KLHL17","darkorange",0.711564271609032
"26","ENSG00000187583","PLEKHN1","red",0.596346066899018
"27","ENSG00000187642","C1orf170","darkslateblue",0.346927532580361
"28","ENSG00000272512","ENSG00000272512","royalblue",0.497353411753552
"29","ENSG00000188290","HES4","brown4",0.691232444136173
"30","ENSG00000187608","ISG15","lightpink4",0.68751025437992
"31","ENSG00000188157","AGRN","honeydew1",0.585259251624245
"32","ENSG00000242590","RP11-54O7.14","honeydew1",0.554193443273684
"33","ENSG00000217801","RP11-465B22.3","darkslateblue",0.454594142101622
"34","ENSG00000237330","RNF223","steelblue",0.587473705558024
"35","ENSG00000131591","C1orf159","royalblue",0.775540313389003
"36","ENSG00000272141","ENSG00000272141","darkgreen",0.489416252632186
"37","ENSG00000186891","TNFRSF18","lightcyan1",0.718463932900431
