"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","lavenderblush3",TRUE,0.0229,28,5,2,0.4,0.071,"GO:0031304","CC",1,"intrinsic component of mitochondrial inner membrane",1,"CHCHD3,TIMM23B",7.9187887569733
"2","lavenderblush3",TRUE,0.0229,28,5,2,0.4,0.071,"GO:0031305","CC",1,"integral component of mitochondrial inner membrane",1,"CHCHD3,TIMM23B",7.95961075149355
"3","turquoise",TRUE,0.0136,76,1196,17,0.014,0.224,"GO:0032508","BP",12,"DNA duplex unwinding",1,"MRE11A,TOP2B,ATRX,NBN,SETX,RAD50,HELB,CHD1L,CUL4A,HMG20A,GTF2H2,CHD1,SUPV3L1,CUL4B,ERCC3,WRN,PURA",7.50858978273351
"4","turquoise",TRUE,0.0275,169,1196,27,0.023,0.16,"GO:0051236","BP",31,"establishment of RNA localization",1,"AKAP8L,NUP160,TPR,ZC3H11A,NUP133,NUP50,FMR1,DDX25,QKI,NUP155,SRSF4,SRSF11,NUP153,NUP85,THOC2,NUP214,XPO7,NUPL1,HNRNPA1L2,RANBP2,NUP205,NXF1,TSC1,UPF3A,TNKS,ATR,SRSF10",6.52776052972179
"5","turquoise",TRUE,0.0118,200,1196,31,0.026,0.155,"GO:0015931","BP",11,"nucleobase-containing compound transport",1,"AKAP8L,NUP160,TPR,ZC3H11A,NUP133,NUP50,FMR1,DDX25,QKI,NUP155,SLC25A36,SRSF4,SLC35D1,SRSF11,SLC35A3,NUP153,NUP85,THOC2,NUP214,XPO7,RIPK1,NUPL1,HNRNPA1L2,RANBP2,NUP205,NXF1,TSC1,UPF3A,TNKS,SLC35E3,SRSF10",6.2463480702836
"6","turquoise",TRUE,0.00426,6104,1196,465,0.389,0.076,"GO:0071840","BP",15,"cellular component organization or biogenesis",1,"LAS1L,ALS2,KDM1A,IFRD1,PAFAH1B1,MYLIP,NOX1,CDK11A,CELSR3,ZNF207,AKAP8L,PIK3C2A,RABGAP1,CEP68,CCDC88C,MRE11A,NRXN3,RB1CC1,VRK2,BCLAF1,NUP160,ARID4A,UBA6,RNF19A,RFC1,WDR37,TPR,GOPC,RSF1,ARID4B,SYNE2,USP36,DCBLD2,CASP8,LIMCH1,TAF2,TAF11,PKN2,SLK,MIR936,CDK13,ATXN3,THUMPD1,ATG2B,MEF2A,KIF2A,PSME4,NUP133,ING3,CHFR,FRY,CLASP1,MARK3,TOP2B,PAK3,PIK3C3,PCM1,CDC14A,LRRC16A,SMARCA2,CHRNA3,COBLL1,DOPEY1,KAT6A,TNPO1,DIS3,CYLD,FAT1,YTHDC1,NCOA1,ATRX,EPS15,KLHL42,DNM1L,CCNK,ITGA6,SUPT16H,TRPM7,SNAP23,NUP50,PSMD5,IFT74,CDC7,HPS4,TRMU,NIN,DDHD1,RPS6KA5,UQCC,NDUFAF5,CDK5RAP1,CELF4,ADNP2,SMCHD1,CEP192,MIB1,RIOK3,XIAP,FMR1,EEA1,PHF16,TAF7L,ARHGEF7,CLN5,SETD6,SLC7A6,EEF2K,CCP110,TJP1,NBN,GDAP1,KCTD9,ARHGEF18,AKAP8,AURKC,PDCD5,ITGB8,MPP6,GLI3,MRPL32,SETX,MAPK8,TNKS2,SLC6A4,CORO1C,SLC11A2,GNPTAB,SUDS3,RSPH4A,ICK,ZNF451,SENP6,RAD50,NUP155,SMC4,SLC25A36,KANSL3,PIKFYVE,EPB41L5,WDR75,SF3B1,KDM3A,SOS1,ATF2,MIR555,SFPQ,DOCK7,TROVE2,RLF,VAMP4,STAG1,LRMP,RAB3GAP2,HEATR1,KDM3B,UTP20,TARDBP,ZMYM2,OCRL,ATPAF1,RAP2C,ARFGEF2,DDX27,RREB1,NUP153,CNOT1,NUP85,MED1,TBC1D20,TUBGCP3,ATG14,NUP214,HELB,AKAP9,PEX1,STRIP2,ORMDL1,EPB41L4A,CDC16,MLLT4,ZSWIM6,SYNE1,ZFYVE20,CHD1L,ZNF304,CCT6B,PER2,PTPRA,NASP,ANKRD32,KRAS,LRRCC1,E2F5,VHL,NAPG,LRP4,TMEM165,AGTPBP1,ORC3,MAP3K7,PHF21A,DYNC1LI2,CEP350,RC3H1,USP37,GCC2,SCYL2,KIAA1033,RCBTB1,COG3,SKIL,KCTD3,KIAA0368,CDK5RAP2,STX17,DENND4C,RIPK1,RAB30,SEMA6D,ADAMTS14,USP8,CCNG2,SEC24B,ETV6,FGD4,SCAF11,GAS2L3,NUPL1,ITGB7,CUL4A,ESR2,HMG20A,BBS4,IQGAP1,SSH2,NPC1,MINK1,RNF165,MBD1,SMAD4,PADI1,ITGB3BP,MTF2,TOR1AIP1,PIP5K1A,TP53BP2,GATAD2B,EML4,WDPCP,SNRNP200,PKP4,CPNE9,TMF1,MIR922,CAMK2D,SETD7,RASA1,GTF2H2,TPBG,PHIP,SHPRH,EGFR,TAF1,DIAPH2,HMBOX1,DOCK5,WHSC1L1,HAUS6,MRRF,POLR3A,RPP30,APIP,DSN1,CTAGE5,TEX12,DLG5,MAGI1,NEK7,VTI1A,ADAM17,DST,PSTPIP2,UHMK1,PAN3,UTRN,PTPRK,ANAPC1,RANBP2,TRIP12,CHD1,PRKCA,ABCA5,MIA3,RABGEF1,GABPA,FLCN,GOLGA7B,OXA1L,LRGUK,NUP205,TMEM237,PPARGC1B,USP16,SUPV3L1,NODAL,SAMD8,ATAD2,FCHO2,PAXIP1,APPL1,WDR19,RER1,CUL4B,AUTS2,HIST1H4H,MITD1,ELK4,RAPGEF6,SON,TRAPPC10,TAOK1,LARP4,SYCE2,MYSM1,SMC6,ERCC3,PAQR3,CLASP2,COX18,ATXN7,RYK,SPDYA,LZTFL1,ZNF148,ZMYM6,SNIP1,SFMBT1,NIPBL,SLC25A46,CASP3,RICTOR,ANKRA2,GRIK2,TP53INP1,KIAA0196,PSIP1,ABCA1,KIF27,MIR7-1,BRWD3,WRN,TSC1,RAPSN,TC2N,C1QL3,CACNB2,CEP57,COG1,AP1G1,STX3,EPB42,SRR,CD300A,BMI1,KCTD6,TCTN2,MAT2A,COL4A3,SIN3A,ROBO1,ALCAM,KRT4,SLC26A5,MTM1,MFN1,CHD7,ZNF274,BPTF,BCL2,JMJD1C,EIF2AK3,GOLGB1,TNKS,CCDC41,NET1,LEMD3,PRPF8,ATP2A2,DHX36,FBXW8,ATR,VCPIP1,TRAF6,NPPA,SMAD2,PPP2R2D,CHD9,TBL1XR1,ALS2CL,GEN1,SUZ12,PER1,FGD6,FAM73A,IST1,CACNB4,MAP7D2,SS18L1,ATL3,PURA,PRPF39,CDNF,PARK2,BRWD1,ANKFY1,KCNIP4,PTCH1,TMEM17,PTRH1,TSPYL4,FANCM,COL4A5,DCUN1D3,SRSF10,MSL1,LRRK2,ARID2,NLGN3,PTPN1,SIAH1,PRPF40A,PIWIL2,SVIL,MYO5A,COL4A6,CDC42SE1,HIST4H4,MBP,NOL8,HMGN5,MIER1,MDM4,DLL1,LDB1,OPA1,SMC5,DMD,TRAF3IP1,TMEM231,LINGO4,DDX47,CSNK1E,HAUS3,TRIM16,RPS28,COX19,PRKDC,GATC,NDUFA7,C7ORF55-LUC7L2,C6ORF165,TBC1D3H,TBC1D3,TUBGCP5,TBC1D3C",2.24797428336949
"7","turquoise",TRUE,0.00241,47,1196,14,0.012,0.298,"GO:0030397","BP",15,"membrane disassembly",1,"PAFAH1B1,AKAP8L,NUP160,TPR,NUP133,NUP50,NUP155,NUP153,NUP85,NUP214,NUPL1,RANBP2,PRKCA,NUP205",8.04188826235156
"8","turquoise",TRUE,0.00609,5957,1196,454,0.38,0.076,"GO:0016043","BP",15,"cellular component organization",1,"LAS1L,ALS2,KDM1A,IFRD1,PAFAH1B1,MYLIP,NOX1,CDK11A,CELSR3,ZNF207,AKAP8L,PIK3C2A,RABGAP1,CEP68,CCDC88C,MRE11A,NRXN3,RB1CC1,VRK2,BCLAF1,NUP160,ARID4A,UBA6,RNF19A,RFC1,TPR,GOPC,RSF1,ARID4B,SYNE2,USP36,DCBLD2,CASP8,LIMCH1,TAF2,TAF11,PKN2,SLK,MIR936,CDK13,ATXN3,ATG2B,MEF2A,KIF2A,PSME4,NUP133,ING3,CHFR,FRY,CLASP1,MARK3,TOP2B,PAK3,PIK3C3,PCM1,CDC14A,LRRC16A,SMARCA2,CHRNA3,COBLL1,DOPEY1,KAT6A,TNPO1,CYLD,FAT1,YTHDC1,NCOA1,ATRX,EPS15,KLHL42,DNM1L,CCNK,ITGA6,SUPT16H,TRPM7,SNAP23,NUP50,PSMD5,IFT74,CDC7,HPS4,TRMU,NIN,DDHD1,RPS6KA5,UQCC,NDUFAF5,CDK5RAP1,CELF4,ADNP2,SMCHD1,CEP192,MIB1,XIAP,FMR1,EEA1,PHF16,TAF7L,ARHGEF7,CLN5,SETD6,SLC7A6,EEF2K,CCP110,TJP1,NBN,GDAP1,KCTD9,ARHGEF18,AKAP8,AURKC,PDCD5,ITGB8,MPP6,GLI3,MRPL32,SETX,MAPK8,TNKS2,SLC6A4,CORO1C,SLC11A2,GNPTAB,SUDS3,RSPH4A,ICK,ZNF451,SENP6,RAD50,NUP155,SMC4,SLC25A36,KANSL3,PIKFYVE,EPB41L5,WDR75,SF3B1,KDM3A,SOS1,ATF2,MIR555,SFPQ,DOCK7,TROVE2,RLF,VAMP4,STAG1,LRMP,RAB3GAP2,KDM3B,TARDBP,ZMYM2,OCRL,ATPAF1,RAP2C,ARFGEF2,RREB1,NUP153,CNOT1,NUP85,MED1,TBC1D20,TUBGCP3,ATG14,NUP214,HELB,AKAP9,PEX1,STRIP2,EPB41L4A,CDC16,MLLT4,ZSWIM6,SYNE1,ZFYVE20,CHD1L,ZNF304,CCT6B,PER2,PTPRA,NASP,ANKRD32,KRAS,LRRCC1,E2F5,VHL,NAPG,LRP4,TMEM165,AGTPBP1,ORC3,MAP3K7,PHF21A,DYNC1LI2,CEP350,RC3H1,USP37,GCC2,SCYL2,KIAA1033,RCBTB1,COG3,SKIL,KCTD3,KIAA0368,CDK5RAP2,STX17,DENND4C,RIPK1,RAB30,SEMA6D,ADAMTS14,USP8,CCNG2,SEC24B,ETV6,FGD4,SCAF11,GAS2L3,NUPL1,ITGB7,CUL4A,ESR2,HMG20A,BBS4,IQGAP1,SSH2,NPC1,MINK1,RNF165,MBD1,SMAD4,PADI1,ITGB3BP,MTF2,TOR1AIP1,PIP5K1A,TP53BP2,GATAD2B,EML4,WDPCP,SNRNP200,PKP4,CPNE9,TMF1,MIR922,CAMK2D,SETD7,RASA1,GTF2H2,TPBG,PHIP,SHPRH,EGFR,TAF1,DIAPH2,HMBOX1,DOCK5,WHSC1L1,HAUS6,MRRF,POLR3A,APIP,DSN1,CTAGE5,TEX12,DLG5,MAGI1,NEK7,VTI1A,ADAM17,DST,PSTPIP2,UHMK1,PAN3,UTRN,PTPRK,ANAPC1,RANBP2,TRIP12,CHD1,PRKCA,ABCA5,MIA3,RABGEF1,GABPA,FLCN,GOLGA7B,OXA1L,LRGUK,NUP205,TMEM237,PPARGC1B,USP16,SUPV3L1,NODAL,ATAD2,FCHO2,PAXIP1,APPL1,WDR19,RER1,CUL4B,AUTS2,HIST1H4H,MITD1,ELK4,RAPGEF6,SON,TRAPPC10,TAOK1,LARP4,SYCE2,MYSM1,SMC6,ERCC3,PAQR3,CLASP2,COX18,ATXN7,RYK,SPDYA,LZTFL1,ZNF148,ZMYM6,SNIP1,SFMBT1,NIPBL,SLC25A46,CASP3,RICTOR,ANKRA2,GRIK2,TP53INP1,KIAA0196,PSIP1,ABCA1,KIF27,MIR7-1,BRWD3,WRN,TSC1,RAPSN,TC2N,C1QL3,CACNB2,CEP57,COG1,AP1G1,STX3,EPB42,SRR,CD300A,BMI1,KCTD6,TCTN2,MAT2A,COL4A3,SIN3A,ROBO1,ALCAM,KRT4,SLC26A5,MTM1,MFN1,CHD7,ZNF274,BPTF,BCL2,JMJD1C,EIF2AK3,GOLGB1,TNKS,CCDC41,NET1,LEMD3,PRPF8,ATP2A2,DHX36,FBXW8,ATR,VCPIP1,TRAF6,NPPA,SMAD2,PPP2R2D,CHD9,TBL1XR1,ALS2CL,GEN1,SUZ12,PER1,FGD6,FAM73A,IST1,CACNB4,MAP7D2,SS18L1,ATL3,PURA,PRPF39,CDNF,PARK2,BRWD1,ANKFY1,KCNIP4,PTCH1,TMEM17,PTRH1,TSPYL4,FANCM,COL4A5,DCUN1D3,SRSF10,MSL1,LRRK2,ARID2,NLGN3,PTPN1,SIAH1,PRPF40A,PIWIL2,SVIL,MYO5A,COL4A6,CDC42SE1,HIST4H4,MBP,NOL8,HMGN5,MIER1,MDM4,DLL1,LDB1,OPA1,SMC5,DMD,TRAF3IP1,TMEM231,LINGO4,CSNK1E,HAUS3,TRIM16,RPS28,COX19,PRKDC,GATC,NDUFA7,C7ORF55-LUC7L2,C6ORF165,TBC1D3H,TBC1D3,TUBGCP5,TBC1D3C",2.26874934594445
"9","turquoise",TRUE,0.00483,3207,1196,266,0.222,0.083,"GO:0006996","BP",15,"organelle organization",2,"ALS2,PAFAH1B1,MYLIP,CDK11A,ZNF207,AKAP8L,RABGAP1,CEP68,MRE11A,RB1CC1,NUP160,RNF19A,RFC1,TPR,RSF1,SYNE2,USP36,CASP8,LIMCH1,SLK,CDK13,ATXN3,ATG2B,MEF2A,KIF2A,PSME4,NUP133,CHFR,FRY,CLASP1,MARK3,TOP2B,PAK3,PIK3C3,PCM1,CDC14A,LRRC16A,COBLL1,DOPEY1,KAT6A,CYLD,FAT1,ATRX,EPS15,KLHL42,DNM1L,CCNK,TRPM7,SNAP23,NUP50,IFT74,HPS4,TRMU,NIN,DDHD1,UQCC,NDUFAF5,CDK5RAP1,SMCHD1,CEP192,XIAP,EEA1,ARHGEF7,CLN5,CCP110,NBN,GDAP1,ARHGEF18,AKAP8,AURKC,PDCD5,MRPL32,SETX,MAPK8,TNKS2,CORO1C,GNPTAB,RSPH4A,ICK,SENP6,RAD50,NUP155,SMC4,SLC25A36,PIKFYVE,EPB41L5,WDR75,KDM3A,ATF2,MIR555,SFPQ,DOCK7,RLF,VAMP4,STAG1,LRMP,RAB3GAP2,TARDBP,ZMYM2,ATPAF1,ARFGEF2,NUP153,CNOT1,NUP85,TBC1D20,TUBGCP3,ATG14,NUP214,HELB,AKAP9,PEX1,STRIP2,EPB41L4A,CDC16,SYNE1,ZFYVE20,CHD1L,NASP,ANKRD32,KRAS,LRRCC1,TMEM165,AGTPBP1,DYNC1LI2,CEP350,RC3H1,USP37,GCC2,KIAA1033,COG3,CDK5RAP2,STX17,RAB30,USP8,CCNG2,SEC24B,FGD4,GAS2L3,NUPL1,CUL4A,HMG20A,BBS4,SSH2,MINK1,SMAD4,ITGB3BP,TOR1AIP1,PIP5K1A,TP53BP2,EML4,WDPCP,TMF1,MIR922,RASA1,GTF2H2,PHIP,SHPRH,DIAPH2,HMBOX1,HAUS6,MRRF,POLR3A,DSN1,TEX12,NEK7,VTI1A,DST,PSTPIP2,PAN3,ANAPC1,RANBP2,CHD1,PRKCA,MIA3,GABPA,FLCN,OXA1L,LRGUK,NUP205,PPARGC1B,USP16,SUPV3L1,WDR19,CUL4B,HIST1H4H,MITD1,SON,TRAPPC10,TAOK1,LARP4,SYCE2,SMC6,ERCC3,CLASP2,COX18,ATXN7,SPDYA,ZMYM6,SNIP1,NIPBL,SLC25A46,RICTOR,TP53INP1,KIAA0196,ABCA1,BRWD3,WRN,TSC1,TC2N,CEP57,COG1,AP1G1,STX3,EPB42,KRT4,MTM1,MFN1,BCL2,EIF2AK3,GOLGB1,TNKS,LEMD3,ATP2A2,DHX36,FBXW8,ATR,VCPIP1,PPP2R2D,ALS2CL,GEN1,FGD6,FAM73A,IST1,MAP7D2,ATL3,PURA,PARK2,BRWD1,ANKFY1,TMEM17,PTRH1,TSPYL4,FANCM,LRRK2,PTPN1,PRPF40A,PIWIL2,SVIL,MYO5A,HIST4H4,LDB1,OPA1,SMC5,DMD,TRAF3IP1,HAUS3,RPS28,COX19,PRKDC,GATC,NDUFA7,C6ORF165,TBC1D3H,TBC1D3,TUBGCP5,TBC1D3C",2.9244389639695
"10","turquoise",TRUE,0.0492,632,1196,68,0.057,0.108,"GO:0051276","BP",15,"chromosome organization",3,"PAFAH1B1,ZNF207,AKAP8L,MRE11A,NUP160,RFC1,TPR,RSF1,KIF2A,PSME4,NUP133,CLASP1,TOP2B,CDC14A,KAT6A,ATRX,SMCHD1,NBN,AKAP8,AURKC,SETX,TNKS2,SENP6,RAD50,NUP155,SMC4,MIR555,SFPQ,RLF,STAG1,NUP85,HELB,CHD1L,NASP,ANKRD32,CUL4A,HMG20A,ITGB3BP,GTF2H2,SHPRH,HMBOX1,DSN1,TEX12,NEK7,RANBP2,CHD1,SUPV3L1,CUL4B,HIST1H4H,TAOK1,SYCE2,SMC6,ERCC3,CLASP2,NIPBL,WRN,CEP57,TNKS,LEMD3,DHX36,ATR,GEN1,PURA,TSPYL4,HIST4H4,LDB1,SMC5,PRKDC",4.12171672835951
