"","ensgene","name","module","mm"
"1","ENSG00000227232","WASH7P","saddlebrown",0.482586327087008
"2","ENSG00000237683","AL627309.1","red",0.308324490225645
"3","ENSG00000268903","RP11-34P13.15","saddlebrown",0.275139828725907
"4","ENSG00000269981","RP11-34P13.16","red",0.268239024800918
"5","ENSG00000239906","RP11-34P13.14","red",0.480093271950405
"6","ENSG00000241860","RP11-34P13.13","orangered4",0.49004643248846
"7","ENSG00000228463","AP006222.2","pink",0.406442128421288
"8","ENSG00000241670","AP006222.1","salmon",0.427704631780944
"9","ENSG00000237094","RP4-669L17.10","red",0.757687080372962
"10","ENSG00000225972","MTND1P23","steelblue",0.289807713136585
"11","ENSG00000225630","MTND2P28","darkgrey",0.310177572566045
"12","ENSG00000237973","hsa-mir-6723","steelblue",0.3967562795411
"13","ENSG00000229344","RP5-857K21.7","darkolivegreen",0.315234300116133
"14","ENSG00000224956","RP11-206L10.1","red",0.671447340683082
"15","ENSG00000228327","RP11-206L10.2","orangered4",0.796411866064739
"16","ENSG00000237491","RP11-206L10.9","pink",0.674466604628191
"17","ENSG00000230092","RP11-206L10.8","red",0.625625044257785
"18","ENSG00000177757","FAM87B","orangered4",0.487243912282746
"19","ENSG00000225880","LINC00115","darkseagreen4",0.778541527171628
"20","ENSG00000228794","RP11-206L10.11","plum2",0.580492741762304
"21","ENSG00000223764","RP11-54O7.3","yellow4",0.527270756734522
"22","ENSG00000188976","NOC2L","lightcyan1",0.652024599832648
"23","ENSG00000187961","KLHL17","salmon",0.787251221596056
"24","ENSG00000187583","PLEKHN1","skyblue",0.813243911961857
"25","ENSG00000187642","C1orf170","skyblue",0.468053256712929
"26","ENSG00000272512","ENSG00000272512","orange",0.521532987551775
"27","ENSG00000188290","HES4","saddlebrown",0.447830040177577
"28","ENSG00000187608","ISG15","darkslateblue",0.565084967756645
"29","ENSG00000188157","AGRN","orangered3",0.536722942465219
"30","ENSG00000242590","RP11-54O7.14","orangered3",0.541340927595231
"31","ENSG00000217801","RP11-465B22.3","saddlebrown",0.429682012562703
"32","ENSG00000237330","RNF223","lightgreen",0.636368368818339
"33","ENSG00000131591","C1orf159","saddlebrown",0.884462804637057
"34","ENSG00000272141","ENSG00000272141","darkgrey",0.741725896287694
"35","ENSG00000186891","TNFRSF18","grey60",0.664296343590065
"36","ENSG00000186827","TNFRSF4","purple",0.62112363224429
"37","ENSG00000078808","SDF4","darkolivegreen",0.635788673562746
"38","ENSG00000176022","B3GALT6","lightcyan1",0.690742525596928
"39","ENSG00000184163","FAM132A","lightcoral",0.780419598409026
"40","ENSG00000260179","RP5-902P8.12","darkgrey",0.567881130679722
"41","ENSG00000160087","UBE2J2","darkolivegreen",0.663408992345267
"42","ENSG00000230415","RP5-902P8.10","lightsteelblue1",0.708284503213741
"43","ENSG00000162572","SCNN1D","lightsteelblue1",0.744249013681136
"44","ENSG00000131584","ACAP3","skyblue",0.86928220971969
"45","ENSG00000169972","PUSL1","darkolivegreen",0.664199867764751
"46","ENSG00000127054","CPSF3L","salmon",0.774588333291431
"47","ENSG00000240731","RP5-890O3.9","orange",0.706732604557978
"48","ENSG00000224051","GLTPD1","steelblue",0.737550880927311
"49","ENSG00000107404","DVL1","violet",0.630907638769863
"50","ENSG00000162576","MXRA8","purple",0.892484101311674
"51","ENSG00000175756","AURKAIP1","paleturquoise",0.799845452087474
"52","ENSG00000221978","CCNL2","saddlebrown",0.853228161120081
"53","ENSG00000224870","RP4-758J18.2","lightcyan1",0.311018559200228
"54","ENSG00000242485","MRPL20","palevioletred3",0.671863879734875
"55","ENSG00000264293","RN7SL657P","violet",0.590927258128264
"56","ENSG00000272455","ENSG00000272455","darkgrey",0.506086042036348
"57","ENSG00000235098","ANKRD65","lightcoral",0.407958463492224
"58","ENSG00000225905","RP4-758J18.7","skyblue",0.512613808347002
"59","ENSG00000205116","TMEM88B","darkolivegreen",0.319990429362824
"60","ENSG00000225285","RP4-758J18.10","maroon",0.489518437653404
"61","ENSG00000179403","VWA1","maroon",0.670465613767317
"62","ENSG00000215915","ATAD3C","saddlebrown",0.491248266083256
"63","ENSG00000160072","ATAD3B","saddlebrown",0.777047075425859
"64","ENSG00000197785","ATAD3A","lightcyan1",0.838166998810111
"65","ENSG00000205090","TMEM240","blue",0.769750001676686
"66","ENSG00000160075","SSU72","paleturquoise",0.593727173120526
"67","ENSG00000215791","AL645728.2","darkgrey",0.698664580948061
"68","ENSG00000215014","AL645728.1","red",0.243234591189555
"69","ENSG00000228594","C1orf233","grey60",0.670041532390891
"70","ENSG00000272106","ENSG00000272106","darkgrey",0.699530731643712
"71","ENSG00000197530","MIB2","salmon",0.635270629567052
"72","ENSG00000189409","MMP23B","darkslateblue",0.720236075991288
"73","ENSG00000248333","CDK11B","saddlebrown",0.503948824052194
"74","ENSG00000272004","ENSG00000272004","salmon",0.324545295819187
"75","ENSG00000189339","SLC35E2B","salmon",0.577464345394401
"76","ENSG00000269227","RP11-345P4.6","orangered4",0.511697049825495
"77","ENSG00000008128","CDK11A","saddlebrown",0.636098930274212
"78","ENSG00000268575","RP1-283E3.8","saddlebrown",0.649589482007417
"79","ENSG00000227775","RP1-283E3.4","pink",0.549628606901688
"80","ENSG00000215790","SLC35E2","orangered4",0.667085192353197
"81","ENSG00000008130","NADK","firebrick4",0.726533525214667
"82","ENSG00000078369","GNB1","bisque4",0.450320934653135
"83","ENSG00000231050","RP1-140A9.1","lightcyan",0.312672101040314
"84","ENSG00000169885","CALML6","saddlebrown",0.680556260773779
"85","ENSG00000178821","TMEM52","darkturquoise",0.423280011634535
"86","ENSG00000187730","GABRD","darkslateblue",0.488720280306772
"87","ENSG00000067606","PRKCZ","darkturquoise",0.719690250488353
"88","ENSG00000271806","ENSG00000271806","darkturquoise",0.628591443336079
"89","ENSG00000182873","RP11-181G12.2","skyblue",0.666228222275529
"90","ENSG00000162585","C1orf86","darkolivegreen",0.765849331153511
"91","ENSG00000269554","AL590822.2","darkgrey",0.777463785340635
"92","ENSG00000157933","SKI","midnightblue",0.702813715113189
"93","ENSG00000116151","MORN1","lightsteelblue1",0.680750879287777
"94","ENSG00000272420","ENSG00000272420","pink",0.477491678364163
"95","ENSG00000271847","ENSG00000271847","orangered3",0.503231088168724
