"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","saddlebrown",TRUE,0.0121,187,198,11,0.056,0.059,"GO:0006399","BP",1,"tRNA metabolic process",1,"CPSF1,TRMU,CDK5RAP1,DUS3L,GTF3C5,CPSF4,DUS1L,TSEN54,BRF1,ADAT2,QTRT1",6.4099774940654
"2","saddlebrown",TRUE,0.0144,122,198,9,0.045,0.074,"GO:0008033","BP",1,"tRNA processing",1,"CPSF1,TRMU,CDK5RAP1,DUS3L,CPSF4,DUS1L,TSEN54,ADAT2,QTRT1",7.02205685153657
"3","saddlebrown",TRUE,0.023,146,96,8,0.083,0.055,"REAC:72306","rea",2,"tRNA processing",1,"CPSF1,TRMU,NUP85,CPSF4,TSEN54,ADAT2,POM121,QTRT1",NA
"4","orangered4",TRUE,0.0264,869,65,16,0.246,0.018,"REAC:212436","rea",1,"Generic Transcription Pathway",1,"MRE11A,ZNF839,PLAGL1,APAF1,MDC1,ZNF514,MAML1,ZNF621,ZNF417,ZNF445,ZNF749,ZNF548,ZNF573,ZNF611,ZNF705E,ZNF727",NA
"5","pink",TRUE,0.0329,4214,144,55,0.382,0.013,"GO:0043169","MF",1,"cation binding",1,"ZCWPW1,ZNF302,OSGEP,CAPN3,PDE6C,EFHC1,DIDO1,DHX58,HPX,OGFOD2,ING4,FAHD2A,KCNIP2,PCDHB14,RNF170,OCM,ZNF141,ENOSF1,SIRT3,MARCH1,ZNF182,ZNF235,NEK8,ZNF577,ZNF589,CA3,NUDT13,MSS51,TRIM66,ZNF606,ZNF439,ENDOV,RBM4B,ZNF169,ZFP3,ZNF662,GTF2H2C,PNMA3,CYP2R1,NUDT17,AGAP4,ENO4,XPNPEP3,ZNF107,ZNF605,ZNF33B,ZNF682,ZNF517,ZNF789,ZNF814,ZNF726,ZNF736,NAIP,ZNF345,ZNF850",2.56866368979596
"6","pink",TRUE,0.0165,4121,144,55,0.382,0.013,"GO:0046872","MF",1,"metal ion binding",2,"ZCWPW1,ZNF302,OSGEP,CAPN3,PDE6C,EFHC1,DIDO1,DHX58,HPX,OGFOD2,ING4,FAHD2A,KCNIP2,PCDHB14,RNF170,OCM,ZNF141,ENOSF1,SIRT3,MARCH1,ZNF182,ZNF235,NEK8,ZNF577,ZNF589,CA3,NUDT13,MSS51,TRIM66,ZNF606,ZNF439,ENDOV,RBM4B,ZNF169,ZFP3,ZNF662,GTF2H2C,PNMA3,CYP2R1,NUDT17,AGAP4,ENO4,XPNPEP3,ZNF107,ZNF605,ZNF33B,ZNF682,ZNF517,ZNF789,ZNF814,ZNF726,ZNF736,NAIP,ZNF345,ZNF850",2.59652962640209
"7","salmon",TRUE,0.014,515,191,18,0.094,0.035,"GO:0006281","BP",1,"DNA repair",1,"PNKP,ERCC2,POLM,IGHMBP2,MUTYH,MEN1,FBXO18,CBX8,INTS3,COPS7B,C9ORF142,MUM1,POLR2H,INO80E,MUS81,GTF2H4,ZSWIM7,FANCG",4.80320981018718
"8","steelblue",TRUE,0.0434,15,205,4,0.02,0.267,"GO:0038201","CC",1,"TOR complex",1,"RPTOR,PINK1,MLST8,AKT1S1",8.36507585960172
"9","darkgrey",TRUE,0.000983,133,30,6,0.2,0.045,"KEGG:00190","keg",4,"Oxidative phosphorylation",1,"ATP6V0A2,MT-CO2,MT-CYB,MT-ND2,MT-CO1,MT-ND1",NA
"10","darkgrey",TRUE,0.0177,142,30,5,0.167,0.035,"KEGG:05012","keg",2,"Parkinson's disease",1,"MT-CO2,MT-CYB,MT-ND2,MT-CO1,MT-ND1",NA
"11","darkgrey",TRUE,0.0325,168,47,6,0.128,0.036,"REAC:1428517","rea",3,"The citric acid (TCA) cycle and respiratory electron transport",1,"UCP3,MT-CO2,MT-CYB,MT-ND2,MT-CO1,MT-ND1",NA
"12","darkgrey",TRUE,0.00593,124,47,6,0.128,0.048,"REAC:163200","rea",3,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",2,"UCP3,MT-CO2,MT-CYB,MT-ND2,MT-CO1,MT-ND1",NA
"13","darkgrey",TRUE,0.0275,101,47,5,0.106,0.05,"REAC:611105","rea",3,"Respiratory electron transport",3,"MT-CO2,MT-CYB,MT-ND2,MT-CO1,MT-ND1",NA
"14","darkgrey",TRUE,0.000362,42,47,5,0.106,0.119,"REAC:6785470","rea",1,"tRNA processing in the mitochondrion",1,"MT-CO2,MT-CYB,MT-ND2,MT-CO1,MT-ND1",NA
"15","darkseagreen4",TRUE,0.0299,34,74,4,0.054,0.118,"GO:0002251","BP",15,"organ or tissue specific immune response",1,"HIST1H2BJ,HIST1H2BC,HIST2H2BE,HIST1H2BG",8.2151599836256
"16","darkseagreen4",TRUE,0.0233,32,74,4,0.054,0.125,"GO:0002385","BP",15,"mucosal immune response",2,"HIST1H2BJ,HIST1H2BC,HIST2H2BE,HIST1H2BG",8.29971737165366
"17","darkseagreen4",TRUE,0.00589,23,74,4,0.054,0.174,"GO:0002227","BP",15,"innate immune response in mucosa",1,"HIST1H2BJ,HIST1H2BC,HIST2H2BE,HIST1H2BG",8.64802406592188
"18","darkseagreen4",TRUE,0.0445,78,74,5,0.068,0.064,"GO:0050830","BP",20,"defense response to Gram-positive bacterium",1,"HIST1H2BJ,ADM,HIST1H2BC,HIST2H2BE,HIST1H2BG",7.4566300438028
