"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","red",TRUE,0.044,30,92,4,0.043,0.133,"KEGG:04710","keg",1,"Circadian rhythm",1,"CRY2,PRKAB2,PER2,PER1",NA
"2","brown",TRUE,0.0403,6208,534,223,0.418,0.036,"GO:0009058","BP",3,"biosynthetic process",1,"ZNF200,COX15,ZNF582,CPS1,CTPS2,MTA3,CDK13,TP53BP1,PIGB,ST6GALNAC2,EED,ZNF638,TOP2B,PIK3C3,CBFA2T2,ZNF506,MAP3K4,NLK,ALG6,DNMT3B,ZBTB25,CBX5,ADNP,TCFL5,ACTR5,CSTF2,ZNF175,HOXA6,ZKSCAN1,GLI3,COA1,NMRK1,RFC5,TRIM38,FIG4,HARS2,BRD8,PRLR,RAD50,OGG1,ABCC5,ACADL,TIA1,TCEANC2,SLC35D1,ZNF684,YLPM1,PROX2,COQ6,ZFP30,ZNF549,ZSCAN18,LHX4,RWDD3,TTC21B,ZNF45,SIRT5,ZNF391,KLHL31,ZNF133,ZBTB1,ZNF780B,POT1,RIPK3,ZNF337,ZNF236,PIAS3,ZSCAN5A,UNK,PCBD2,ANKRD32,AGO4,ELP2,ORC3,RNASEL,VPS36,SETDB2,ZSCAN9,TAF8,ZNF280D,ZNF287,CBX8,RNF165,ZFP14,PIGM,GABPB2,SMYD2,MEIS1,ZNF514,PPIP5K2,ZMYM4,KRBOX4,ZNF41,ERLIN2,ZNF462,ALAD,ATM,RAD9B,TMEM18,FER,ZNF599,ZNF18,AK9,DPY19L4,N6AMT1,KAT6B,AUTS2,ZNF221,ZNF235,ZNF66,DBF4B,ZNF75A,VANGL2,HESX1,YEATS2,GDF9,NOXRED1,ATF7IP2,ACSF2,ZNF91,ZNF701,ZNF283,COG7,ZNF507,ZNF439,ZNF318,BPTF,ZNF540,AFF1,ZNF738,ZNF449,SCAI,RBM4B,MGA,ZNF519,ZDHHC21,ZNF404,ZNF135,ZNF518A,CSRNP3,ZNF713,ZNF852,ZSCAN4,ZNF594,ZFP3,HKR1,SATB1,ZNF721,ZNF320,ZNF530,ZFP90,ZNF445,SP1,MYBL1,CYP2R1,KDM4D,ZNF732,ZNF397,EFCAB6,ZNF546,FANCM,ZFP69,ZNF793,ZNF573,FHIT,ZNF681,MPHOSPH8,ZNF107,ZNF471,ZNF836,ZNF775,TRAPPC2,ZNF782,ZFP62,ZNF418,ZSCAN16,ZFP28,ZNF585A,ZNF138,ZNF470,ZMYM1,ZNF257,ZNF785,ZNF720,ZNF665,PHF2,ZNF81,ZNF780A,ZNF461,ZNF181,ZNF44,ZNF677,ZNF823,ZNF311,ZNF347,ZNF667,ZBTB14,ZNF248,ZNF607,ZNF813,ZNF808,CEP290,ZFP2,ZNF525,PBX2,DPF3,POU5F1B,GTF2H4,MEF2B,ZNF891,ZNF727,ZNF630,ZNF717,ZBED5,ZNF737,N4BP2L2,ZNF585B,ZNF674,ZNF225,POLG2,ZNF234,ZNF850,TADA2A",2.18753292921599
"3","brown",TRUE,0.0144,6124,534,223,0.418,0.036,"GO:1901576","BP",3,"organic substance biosynthetic process",2,"ZNF200,COX15,ZNF582,CPS1,CTPS2,MTA3,CDK13,TP53BP1,PIGB,ST6GALNAC2,EED,ZNF638,TOP2B,PIK3C3,CBFA2T2,ZNF506,MAP3K4,NLK,ALG6,DNMT3B,ZBTB25,CBX5,ADNP,TCFL5,ACTR5,CSTF2,ZNF175,HOXA6,ZKSCAN1,GLI3,COA1,NMRK1,RFC5,TRIM38,FIG4,HARS2,BRD8,PRLR,RAD50,OGG1,ABCC5,ACADL,TIA1,TCEANC2,SLC35D1,ZNF684,YLPM1,PROX2,COQ6,ZFP30,ZNF549,ZSCAN18,LHX4,RWDD3,TTC21B,ZNF45,SIRT5,ZNF391,KLHL31,ZNF133,ZBTB1,ZNF780B,POT1,RIPK3,ZNF337,ZNF236,PIAS3,ZSCAN5A,UNK,PCBD2,ANKRD32,AGO4,ELP2,ORC3,RNASEL,VPS36,SETDB2,ZSCAN9,TAF8,ZNF280D,ZNF287,CBX8,RNF165,ZFP14,PIGM,GABPB2,SMYD2,MEIS1,ZNF514,PPIP5K2,ZMYM4,KRBOX4,ZNF41,ERLIN2,ZNF462,ALAD,ATM,RAD9B,TMEM18,FER,ZNF599,ZNF18,AK9,DPY19L4,N6AMT1,KAT6B,AUTS2,ZNF221,ZNF235,ZNF66,DBF4B,ZNF75A,VANGL2,HESX1,YEATS2,GDF9,NOXRED1,ATF7IP2,ACSF2,ZNF91,ZNF701,ZNF283,COG7,ZNF507,ZNF439,ZNF318,BPTF,ZNF540,AFF1,ZNF738,ZNF449,SCAI,RBM4B,MGA,ZNF519,ZDHHC21,ZNF404,ZNF135,ZNF518A,CSRNP3,ZNF713,ZNF852,ZSCAN4,ZNF594,ZFP3,HKR1,SATB1,ZNF721,ZNF320,ZNF530,ZFP90,ZNF445,SP1,MYBL1,CYP2R1,KDM4D,ZNF732,ZNF397,EFCAB6,ZNF546,FANCM,ZFP69,ZNF793,ZNF573,FHIT,ZNF681,MPHOSPH8,ZNF107,ZNF471,ZNF836,ZNF775,TRAPPC2,ZNF782,ZFP62,ZNF418,ZSCAN16,ZFP28,ZNF585A,ZNF138,ZNF470,ZMYM1,ZNF257,ZNF785,ZNF720,ZNF665,PHF2,ZNF81,ZNF780A,ZNF461,ZNF181,ZNF44,ZNF677,ZNF823,ZNF311,ZNF347,ZNF667,ZBTB14,ZNF248,ZNF607,ZNF813,ZNF808,CEP290,ZFP2,ZNF525,PBX2,DPF3,POU5F1B,GTF2H4,MEF2B,ZNF891,ZNF727,ZNF630,ZNF717,ZBED5,ZNF737,N4BP2L2,ZNF585B,ZNF674,ZNF225,POLG2,ZNF234,ZNF850,TADA2A",2.20197361337078
"4","brown",TRUE,1.36e-06,5066,534,209,0.391,0.041,"GO:0009059","BP",3,"macromolecule biosynthetic process",3,"ZNF200,ZNF582,MTA3,CDK13,TP53BP1,PIGB,ST6GALNAC2,EED,ZNF638,TOP2B,PIK3C3,CBFA2T2,ZNF506,MAP3K4,NLK,ALG6,DNMT3B,ZBTB25,CBX5,ADNP,TCFL5,ACTR5,CSTF2,ZNF175,HOXA6,ZKSCAN1,GLI3,COA1,RFC5,TRIM38,HARS2,BRD8,RAD50,OGG1,ABCC5,TIA1,TCEANC2,SLC35D1,ZNF684,YLPM1,PROX2,ZFP30,ZNF549,ZSCAN18,LHX4,RWDD3,TTC21B,ZNF45,SIRT5,ZNF391,KLHL31,ZNF133,ZBTB1,ZNF780B,POT1,RIPK3,ZNF337,ZNF236,PIAS3,ZSCAN5A,UNK,PCBD2,ANKRD32,AGO4,ELP2,ORC3,RNASEL,VPS36,SETDB2,ZSCAN9,TAF8,ZNF280D,ZNF287,CBX8,RNF165,ZFP14,PIGM,GABPB2,SMYD2,MEIS1,ZNF514,ZMYM4,KRBOX4,ZNF41,ERLIN2,ZNF462,ATM,RAD9B,TMEM18,FER,ZNF599,ZNF18,DPY19L4,N6AMT1,KAT6B,AUTS2,ZNF221,ZNF235,ZNF66,DBF4B,ZNF75A,VANGL2,HESX1,YEATS2,GDF9,ATF7IP2,ZNF91,ZNF701,ZNF283,COG7,ZNF507,ZNF439,ZNF318,BPTF,ZNF540,AFF1,ZNF738,ZNF449,SCAI,RBM4B,MGA,ZNF519,ZDHHC21,ZNF404,ZNF135,ZNF518A,CSRNP3,ZNF713,ZNF852,ZSCAN4,ZNF594,ZFP3,HKR1,SATB1,ZNF721,ZNF320,ZNF530,ZFP90,ZNF445,SP1,MYBL1,KDM4D,ZNF732,ZNF397,EFCAB6,ZNF546,FANCM,ZFP69,ZNF793,ZNF573,FHIT,ZNF681,MPHOSPH8,ZNF107,ZNF471,ZNF836,ZNF775,TRAPPC2,ZNF782,ZFP62,ZNF418,ZSCAN16,ZFP28,ZNF585A,ZNF138,ZNF470,ZMYM1,ZNF257,ZNF785,ZNF720,ZNF665,PHF2,ZNF81,ZNF780A,ZNF461,ZNF181,ZNF44,ZNF677,ZNF823,ZNF311,ZNF347,ZNF667,ZBTB14,ZNF248,ZNF607,ZNF813,ZNF808,CEP290,ZFP2,ZNF525,PBX2,DPF3,POU5F1B,GTF2H4,MEF2B,ZNF891,ZNF727,ZNF630,ZNF717,ZBED5,ZNF737,N4BP2L2,ZNF585B,ZNF674,ZNF225,POLG2,ZNF234,ZNF850,TADA2A",2.38224768092529
"5","brown",TRUE,4.99e-07,4301,534,186,0.348,0.043,"GO:0009889","BP",3,"regulation of biosynthetic process",2,"ZNF200,ZNF582,MTA3,CDK13,TP53BP1,EED,ZNF638,CBFA2T2,ZNF506,MAP3K4,NLK,DNMT3B,ZBTB25,CBX5,ADNP,TCFL5,ACTR5,ZNF175,HOXA6,ZKSCAN1,GLI3,RFC5,TRIM38,BRD8,OGG1,ACADL,TIA1,ZNF684,YLPM1,PROX2,ZFP30,ZNF549,ZSCAN18,LHX4,RWDD3,TTC21B,ZNF45,SIRT5,ZNF391,KLHL31,ZNF133,ZBTB1,ZNF780B,POT1,RIPK3,ZNF337,ZNF236,PIAS3,ZSCAN5A,UNK,PCBD2,AGO4,ELP2,RNASEL,VPS36,SETDB2,ZSCAN9,TAF8,ZNF280D,ZNF287,CBX8,RNF165,ZFP14,GABPB2,SMYD2,MEIS1,ZNF514,ZMYM4,KRBOX4,ZNF41,ERLIN2,ZNF462,ATM,FER,ZNF599,ZNF18,KAT6B,AUTS2,ZNF221,ZNF235,ZNF66,DBF4B,ZNF75A,HESX1,YEATS2,GDF9,ATF7IP2,ZNF91,ZNF701,ZNF283,ZNF507,ZNF439,ZNF318,BPTF,ZNF540,AFF1,ZNF738,ZNF449,SCAI,RBM4B,MGA,ZNF519,ZNF404,ZNF135,ZNF518A,CSRNP3,ZNF713,ZNF852,ZSCAN4,ZNF594,ZFP3,HKR1,SATB1,ZNF721,ZNF320,ZNF530,ZFP90,ZNF445,SP1,MYBL1,KDM4D,ZNF732,ZNF397,EFCAB6,ZNF546,ZFP69,ZNF793,ZNF573,FHIT,ZNF681,MPHOSPH8,ZNF107,ZNF471,ZNF836,ZNF775,TRAPPC2,ZNF782,ZFP62,ZNF418,ZSCAN16,ZFP28,ZNF585A,ZNF138,ZNF470,ZMYM1,ZNF257,ZNF785,ZNF720,ZNF665,PHF2,ZNF81,ZNF780A,ZNF461,ZNF181,ZNF44,ZNF677,ZNF823,ZNF311,ZNF347,ZNF667,ZBTB14,ZNF248,ZNF607,ZNF813,ZNF808,CEP290,ZFP2,ZNF525,PBX2,DPF3,POU5F1B,GTF2H4,MEF2B,ZNF891,ZNF727,ZNF630,ZNF717,ZBED5,ZNF737,N4BP2L2,ZNF585B,ZNF674,ZNF225,ZNF234,ZNF850,TADA2A",2.92607428731023
"6","brown",TRUE,0.0147,6026,534,220,0.412,0.037,"GO:0044249","BP",3,"cellular biosynthetic process",2,"ZNF200,COX15,ZNF582,CPS1,CTPS2,MTA3,CDK13,TP53BP1,PIGB,ST6GALNAC2,EED,ZNF638,TOP2B,PIK3C3,CBFA2T2,ZNF506,MAP3K4,NLK,ALG6,DNMT3B,ZBTB25,CBX5,ADNP,TCFL5,ACTR5,CSTF2,ZNF175,HOXA6,ZKSCAN1,GLI3,COA1,NMRK1,RFC5,TRIM38,FIG4,HARS2,BRD8,RAD50,OGG1,ACADL,TIA1,TCEANC2,SLC35D1,ZNF684,YLPM1,PROX2,COQ6,ZFP30,ZNF549,ZSCAN18,LHX4,RWDD3,TTC21B,ZNF45,SIRT5,ZNF391,KLHL31,ZNF133,ZBTB1,ZNF780B,POT1,RIPK3,ZNF337,ZNF236,PIAS3,ZSCAN5A,UNK,PCBD2,ANKRD32,AGO4,ELP2,ORC3,RNASEL,VPS36,SETDB2,ZSCAN9,TAF8,ZNF280D,ZNF287,CBX8,RNF165,ZFP14,PIGM,GABPB2,SMYD2,MEIS1,ZNF514,ZMYM4,KRBOX4,ZNF41,ERLIN2,ZNF462,ALAD,ATM,RAD9B,TMEM18,FER,ZNF599,ZNF18,AK9,DPY19L4,N6AMT1,KAT6B,AUTS2,ZNF221,ZNF235,ZNF66,DBF4B,ZNF75A,VANGL2,HESX1,YEATS2,GDF9,NOXRED1,ATF7IP2,ACSF2,ZNF91,ZNF701,ZNF283,COG7,ZNF507,ZNF439,ZNF318,BPTF,ZNF540,AFF1,ZNF738,ZNF449,SCAI,RBM4B,MGA,ZNF519,ZDHHC21,ZNF404,ZNF135,ZNF518A,CSRNP3,ZNF713,ZNF852,ZSCAN4,ZNF594,ZFP3,HKR1,SATB1,ZNF721,ZNF320,ZNF530,ZFP90,ZNF445,SP1,MYBL1,CYP2R1,KDM4D,ZNF732,ZNF397,EFCAB6,ZNF546,FANCM,ZFP69,ZNF793,ZNF573,FHIT,ZNF681,MPHOSPH8,ZNF107,ZNF471,ZNF836,ZNF775,TRAPPC2,ZNF782,ZFP62,ZNF418,ZSCAN16,ZFP28,ZNF585A,ZNF138,ZNF470,ZMYM1,ZNF257,ZNF785,ZNF720,ZNF665,PHF2,ZNF81,ZNF780A,ZNF461,ZNF181,ZNF44,ZNF677,ZNF823,ZNF311,ZNF347,ZNF667,ZBTB14,ZNF248,ZNF607,ZNF813,ZNF808,CEP290,ZFP2,ZNF525,PBX2,DPF3,POU5F1B,GTF2H4,MEF2B,ZNF891,ZNF727,ZNF630,ZNF717,ZBED5,ZNF737,N4BP2L2,ZNF585B,ZNF674,ZNF225,POLG2,ZNF234,ZNF850,TADA2A",2.22959116057188
"7","brown",TRUE,4.25e-05,6866,534,258,0.483,0.038,"GO:0006807","BP",3,"nitrogen compound metabolic process",1,"ZNF200,COX15,ZNF582,CPS1,ASTE1,CTPS2,USP28,MTA3,PMS1,ADAT1,CDK13,TP53BP1,ST6GALNAC2,EED,ZNF638,GPATCH1,TOP2B,N4BP2,CBFA2T2,ZNF506,DLG3,MAP3K4,NLK,DNMT3B,RBM41,ZBTB25,CBX5,ACIN1,ADNP,TCFL5,ACTR5,DHX35,CSTF2,ZNF175,HOXA6,ZKSCAN1,GLI3,COA1,NMRK1,TRDMT1,RFC5,TRIM38,HARS2,NUDT12,BRD8,CLK4,RAD50,OGG1,HEMK1,ABCC5,ACADL,FANCL,TIA1,TCEANC2,SLC35D1,ZNF684,YLPM1,PROX2,MLH3,ZFP30,ZNF549,ZSCAN18,LHX4,RWDD3,PMS2,TTC21B,ZNF45,SIRT5,ZNF391,APOBEC2,KLHL31,ZNF133,ZBTB1,ZNF780B,POT1,OSGEPL1,RIPK3,ZNF337,ZNF236,PIAS3,ZSCAN5A,UNK,PCBD2,PDE6B,ANKRD32,AGO4,ELP2,BIVM,ORC3,RNASEL,VPS36,SETDB2,ZSCAN9,BPHL,TAF8,ZNF280D,NUDT7,ZNF287,ARSG,CBX8,RNF165,ZFP14,GABPB2,SMYD2,MEIS1,ZNF514,DIS3L2,TRMT10A,RASA1,PCYOX1L,SHPRH,ZMYM4,KRBOX4,ZNF41,ERLIN2,ZNF462,ALAD,ATM,PIH1D2,RAD9B,TMEM18,FER,DCLRE1C,ZNF599,ZNF18,AK9,N6AMT1,KAT6B,AUTS2,AHCYL2,ZNF221,ZNF235,ZNF66,DBF4B,ZNF75A,HENMT1,DHX57,HESX1,YEATS2,EXO5,GDF9,NOXRED1,ATF7IP2,DIS3L,ZNF91,ZNF701,ZNF283,ZNF507,ZRSR2,ZNF439,ZNF318,BPTF,ZNF540,AFF1,ZNF738,ZNF449,SCAI,RBM4B,MGA,ZNF519,ERCC4,ZNF404,ZNF135,ZNF518A,CSRNP3,ZNF713,ZNF852,ZSCAN4,ZNF594,ZFP3,HKR1,ERCC6L2,YBEY,SATB1,ZNF721,ZNF320,ZNF530,SATL1,ZFP90,ZNF445,SP1,MYBL1,KDM4D,ZNF732,ZNF397,EFCAB6,ZNF546,FANCM,ZFP69,ZNF793,ZNF573,FHIT,ZNF681,MPHOSPH8,ZNF107,ZNF471,ZNF836,ZNF775,TRAPPC2,ZNF782,ZFP62,ERI2,ZNF418,ZSCAN16,ZFP28,ZNF585A,ZNF138,ZNF470,ZMYM1,ZNF257,ZNF785,ZNF720,ZNF665,PHF2,ZNF81,ZNF780A,ZNF461,ZNF181,ZNF44,ZNF677,ZNF823,ZNF311,ZNF347,ZNF667,ZBTB14,ZNF248,ZNF607,ZNF813,ZNF808,FAN1,CEP290,ZFP2,ZNF525,RBM20,PBX2,DHX16,DPF3,POU5F1B,GTF2H4,DNASE1,GALT,MEF2B,ZNF891,ZNF727,ZSWIM7,ZNF630,ZNF717,ZBED5,ZNF737,N4BP2L2,ZNF585B,KIAA1456,ZNF674,ZNF225,POLG2,ZNF234,ZNF850,TADA2A",1.93420756307389
"8","brown",TRUE,5.21e-07,6428,534,253,0.474,0.039,"GO:0034641","BP",3,"cellular nitrogen compound metabolic process",1,"ZNF200,COX15,ZNF582,CPS1,ASTE1,CTPS2,USP28,MTA3,PMS1,ADAT1,CDK13,TP53BP1,ST6GALNAC2,EED,ZNF638,GPATCH1,TOP2B,N4BP2,CBFA2T2,ZNF506,DLG3,MAP3K4,NLK,DNMT3B,RBM41,ZBTB25,CBX5,ACIN1,ADNP,TCFL5,ACTR5,DHX35,CSTF2,ZNF175,HOXA6,ZKSCAN1,GLI3,COA1,NMRK1,TRDMT1,RFC5,TRIM38,HARS2,NUDT12,BRD8,CLK4,RAD50,OGG1,HEMK1,ACADL,FANCL,TIA1,TCEANC2,SLC35D1,ZNF684,YLPM1,PROX2,MLH3,ZFP30,ZNF549,ZSCAN18,LHX4,RWDD3,PMS2,TTC21B,ZNF45,SIRT5,ZNF391,APOBEC2,KLHL31,ZNF133,ZBTB1,ZNF780B,POT1,OSGEPL1,RIPK3,ZNF337,ZNF236,PIAS3,ZSCAN5A,UNK,PCBD2,PDE6B,ANKRD32,AGO4,ELP2,BIVM,ORC3,RNASEL,VPS36,SETDB2,ZSCAN9,TAF8,ZNF280D,NUDT7,ZNF287,CBX8,RNF165,ZFP14,GABPB2,SMYD2,MEIS1,ZNF514,DIS3L2,TRMT10A,RASA1,SHPRH,ZMYM4,KRBOX4,ZNF41,ERLIN2,ZNF462,ALAD,ATM,PIH1D2,RAD9B,TMEM18,FER,DCLRE1C,ZNF599,ZNF18,AK9,N6AMT1,KAT6B,AUTS2,AHCYL2,ZNF221,ZNF235,ZNF66,DBF4B,ZNF75A,HENMT1,DHX57,HESX1,YEATS2,EXO5,GDF9,ATF7IP2,DIS3L,ZNF91,ZNF701,ZNF283,ZNF507,ZRSR2,ZNF439,ZNF318,BPTF,ZNF540,AFF1,ZNF738,ZNF449,SCAI,RBM4B,MGA,ZNF519,ERCC4,ZNF404,ZNF135,ZNF518A,CSRNP3,ZNF713,ZNF852,ZSCAN4,ZNF594,ZFP3,HKR1,ERCC6L2,YBEY,SATB1,ZNF721,ZNF320,ZNF530,SATL1,ZFP90,ZNF445,SP1,MYBL1,KDM4D,ZNF732,ZNF397,EFCAB6,ZNF546,FANCM,ZFP69,ZNF793,ZNF573,FHIT,ZNF681,MPHOSPH8,ZNF107,ZNF471,ZNF836,ZNF775,TRAPPC2,ZNF782,ZFP62,ERI2,ZNF418,ZSCAN16,ZFP28,ZNF585A,ZNF138,ZNF470,ZMYM1,ZNF257,ZNF785,ZNF720,ZNF665,PHF2,ZNF81,ZNF780A,ZNF461,ZNF181,ZNF44,ZNF677,ZNF823,ZNF311,ZNF347,ZNF667,ZBTB14,ZNF248,ZNF607,ZNF813,ZNF808,FAN1,CEP290,ZFP2,ZNF525,RBM20,PBX2,DHX16,DPF3,POU5F1B,GTF2H4,DNASE1,GALT,MEF2B,ZNF891,ZNF727,ZSWIM7,ZNF630,ZNF717,ZBED5,ZNF737,N4BP2L2,ZNF585B,KIAA1456,ZNF674,ZNF225,POLG2,ZNF234,ZNF850,TADA2A",2.0095653577481
"9","brown",TRUE,8.13e-06,4882,534,200,0.375,0.041,"GO:0044271","BP",3,"cellular nitrogen compound biosynthetic process",2,"ZNF200,COX15,ZNF582,CPS1,CTPS2,MTA3,CDK13,TP53BP1,ST6GALNAC2,EED,ZNF638,CBFA2T2,ZNF506,MAP3K4,NLK,DNMT3B,ZBTB25,CBX5,ADNP,TCFL5,ACTR5,CSTF2,ZNF175,HOXA6,ZKSCAN1,GLI3,COA1,NMRK1,RFC5,TRIM38,HARS2,BRD8,RAD50,OGG1,TIA1,TCEANC2,SLC35D1,ZNF684,YLPM1,PROX2,ZFP30,ZNF549,ZSCAN18,LHX4,RWDD3,TTC21B,ZNF45,SIRT5,ZNF391,KLHL31,ZNF133,ZBTB1,ZNF780B,POT1,RIPK3,ZNF337,ZNF236,PIAS3,ZSCAN5A,UNK,PCBD2,AGO4,ELP2,RNASEL,VPS36,SETDB2,ZSCAN9,TAF8,ZNF280D,ZNF287,CBX8,RNF165,ZFP14,GABPB2,SMYD2,MEIS1,ZNF514,ZMYM4,KRBOX4,ZNF41,ERLIN2,ZNF462,ALAD,ATM,TMEM18,FER,ZNF599,ZNF18,AK9,N6AMT1,KAT6B,AUTS2,ZNF221,ZNF235,ZNF66,ZNF75A,HESX1,YEATS2,GDF9,ATF7IP2,ZNF91,ZNF701,ZNF283,ZNF507,ZNF439,ZNF318,BPTF,ZNF540,AFF1,ZNF738,ZNF449,SCAI,RBM4B,MGA,ZNF519,ZNF404,ZNF135,ZNF518A,CSRNP3,ZNF713,ZNF852,ZSCAN4,ZNF594,ZFP3,HKR1,SATB1,ZNF721,ZNF320,ZNF530,ZFP90,ZNF445,SP1,MYBL1,KDM4D,ZNF732,ZNF397,EFCAB6,ZNF546,ZFP69,ZNF793,ZNF573,FHIT,ZNF681,MPHOSPH8,ZNF107,ZNF471,ZNF836,ZNF775,TRAPPC2,ZNF782,ZFP62,ZNF418,ZSCAN16,ZFP28,ZNF585A,ZNF138,ZNF470,ZMYM1,ZNF257,ZNF785,ZNF720,ZNF665,PHF2,ZNF81,ZNF780A,ZNF461,ZNF181,ZNF44,ZNF677,ZNF823,ZNF311,ZNF347,ZNF667,ZBTB14,ZNF248,ZNF607,ZNF813,ZNF808,CEP290,ZFP2,ZNF525,PBX2,DPF3,POU5F1B,GTF2H4,MEF2B,ZNF891,ZNF727,ZNF630,ZNF717,ZBED5,ZNF737,N4BP2L2,ZNF585B,ZNF674,ZNF225,POLG2,ZNF234,ZNF850,TADA2A",2.44489830460872
"10","brown",TRUE,0.00782,8276,534,288,0.539,0.035,"GO:0044260","BP",3,"cellular macromolecule metabolic process",1,"ZNF200,ZNF582,CPS1,SNX1,ASTE1,USP28,MTA3,PMS1,ADAT1,CDK13,TP53BP1,PIGB,ST6GALNAC2,EED,ZNF638,RASAL2,GPATCH1,TOP2B,USP33,PIK3C3,CBFA2T2,ZNF506,ULK2,MAP3K4,NLK,ALG6,PTPN4,DNMT3B,RBM41,ZBTB25,CBX5,ACIN1,ADNP,TCFL5,ACTR5,DHX35,CSTF2,ZNF175,HOXA6,CASP2,ZKSCAN1,FBXO24,GLI3,COA1,C5,TRDMT1,RFC5,TRIM38,HARS2,BRD8,CLK4,PRLR,RAD50,OGG1,NEK11,HEMK1,FANCL,SOS1,TIA1,TCEANC2,SLC35D1,ZNF684,KLHL12,CNTRL,YLPM1,PROX2,NEK9,MLH3,ZFP30,ZNF549,ZSCAN18,LHX4,RWDD3,PMS2,METTL8,TTC21B,ZNF45,SIRT5,ZNF391,APOBEC2,KLHL31,ZNF133,ZBTB1,ZNF780B,POT1,OSGEPL1,FAM63B,RIPK3,ZNF337,ZNF236,NAPSA,PIAS3,ZSCAN5A,UNK,PCBD2,ANKRD32,AGO4,ELP2,BIVM,ORC3,RNASEL,VPS36,SETDB2,ZSCAN9,TAF8,SLC37A4,ZNF280D,ZNF287,ARSG,RAB40B,FN3KRP,CBX8,RNF165,ZFP14,PIGM,LYPLAL1,GABPB2,SMYD2,MEIS1,ZNF514,KANSL1L,DIS3L2,TRMT10A,RASA1,PCYOX1L,SHPRH,ZMYM4,KRBOX4,ZNF41,ERLIN2,ZNF462,FAM188A,CAMK2G,ATM,PIH1D2,RAD9B,TMEM18,FER,DCLRE1C,ANAPC1,ZNF599,ZNF18,TTN,DPY19L4,N6AMT1,CDK20,KAT6B,PTPDC1,AUTS2,ZNF221,ZNF235,ZNF66,ASB16,DBF4B,ZNF75A,HENMT1,VANGL2,DHX57,HESX1,YEATS2,EXO5,GDF9,DIRAS2,AGBL2,ATF7IP2,DIS3L,ZNF91,TRIM68,ZNF701,ZNF283,COG7,ZNF507,CSNK1G1,ZRSR2,RNF34,ZNF439,ZNF318,BPTF,ZNF540,AFF1,ZNF738,ZNF449,SCAI,RBM4B,MGA,FBXW8,ZNF519,ERCC4,ZDHHC21,ZNF404,ZNF135,ZNF518A,CSRNP3,ZNF713,ZNF852,ZSCAN4,ZNF594,ZFP3,HKR1,ERCC6L2,YBEY,SATB1,ZNF721,ZNF320,ZNF530,ZFP90,ZNF445,SP1,MYBL1,KDM4D,ZNF732,ZNF397,EFCAB6,ZNF546,FANCM,ZFP69,ZNF793,ZNF573,FHIT,ZNF681,MPHOSPH8,ZNF107,ZNF471,ZNF836,ZNF775,TRAPPC2,ZNF782,ZFP62,ERI2,ZNF418,ZSCAN16,ZFP28,ZNF585A,ZNF138,ZNF470,ZMYM1,ZNF257,ZNF785,ZNF720,IPP,ZNF665,PHF2,ZNF81,ZNF780A,ZNF461,ZNF181,ZNF44,ZNF677,ZNF823,ZNF311,ZNF347,ZNF667,ZBTB14,ZNF248,ZNF607,ZNF813,ZNF808,FAN1,CEP290,DZIP3,ZFP2,ZNF525,RBM20,PCMTD2,PBX2,DHX16,DPF3,POU5F1B,GTF2H4,DNASE1,MEF2B,ZNF891,ZNF727,ZSWIM7,ZNF630,ZNF717,ZBED5,ZNF737,N4BP2L2,ZNF585B,KIAA1456,ZNF674,ZNF225,POLG2,ZNF234,STRADA,ZNF850,TADA2A",1.62152325167179
