"","InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"1","tan","105976_REACTOME_Eukaryotic_Translation_Elongation__Reactome_NCBI_Biosystems","PW_Lists",2.22244749734627e-66
"2","tan","413404_KEGG_Ribosome,_eukaryotes__Kegg_NCBI_Biosystems","PW_Lists",2.30642635108848e-65
"3","tan","441_KEGG_Ribosome__Kegg_NCBI_Biosystems","PW_Lists",1.09268468172244e-64
"4","tan","83036_KEGG_Ribosome__Kegg_NCBI_Biosystems","PW_Lists",1.09268468172244e-64
"5","tan","105968_REACTOME_Formation_of_a_pool_of_free_40S_subunits__Reactome_NCBI_Biosystems","PW_Lists",1.80412177511702e-64
"6","tan","105977_REACTOME_Peptide_chain_elongation__Reactome_NCBI_Biosystems","PW_Lists",4.946581846194e-64
"7","tan","105978_REACTOME_Eukaryotic_Translation_Termination__Reactome_NCBI_Biosystems","PW_Lists",4.946581846194e-64
"8","tan","106077_REACTOME_Viral_mRNA_Translation__Reactome_NCBI_Biosystems","PW_Lists",4.946581846194e-64
"9","tan","198853_WikiPathways_Cytoplasmic_Ribosomal_Proteins__Wiki_Pathways_NCBI_Biosystems","PW_Lists",2.14612191337712e-63
"10","tan","366242_REACTOME_Nonsense_Mediated_Decay_Independent_of_the_Exon_Junction_Complex__Reactome_NCBI_Biosystems","PW_Lists",9.78405586155548e-63
"11","tan","160955_REACTOME_L13a-mediated_translational_silencing_of_Ceruloplasmin_expression__Reactome_NCBI_Biosystems","PW_Lists",1.39404685941183e-62
"12","tan","105973_REACTOME_GTP_hydrolysis_and_joining_of_the_60S_ribosomal_subunit__Reactome_NCBI_Biosystems","PW_Lists",1.58445955748754e-60
"13","tan","105966_REACTOME_Eukaryotic_Translation_Initiation__Reactome_NCBI_Biosystems","PW_Lists",5.61432159383153e-59
"14","tan","105967_REACTOME_Cap-dependent_Translation_Initiation__Reactome_NCBI_Biosystems","PW_Lists",5.61432159383153e-59
"15","tan","106068_REACTOME_Influenza_Life_Cycle__Reactome_NCBI_Biosystems","PW_Lists",7.72213728828287e-59
"16","tan","106067_REACTOME_Influenza_Infection__Reactome_NCBI_Biosystems","PW_Lists",7.73488956897547e-59
"17","tan","106074_REACTOME_Influenza_Viral_RNA_Transcription_and_Replication__Reactome_NCBI_Biosystems","PW_Lists",1.31871067682176e-58
"18","tan","366240_REACTOME_Nonsense-Mediated_Decay__Reactome_NCBI_Biosystems","PW_Lists",1.75200473883276e-55
"19","tan","366241_REACTOME_Nonsense_Mediated_Decay_Enhanced_by_the_Exon_Junction_Complex__Reactome_NCBI_Biosystems","PW_Lists",1.75200473883276e-55
"20","tan","530746_REACTOME_SRP-dependent_cotranslational_protein_targeting_to_membrane__Reactome_NCBI_Biosystems","PW_Lists",5.45477202506697e-54
"21","tan","105965_REACTOME_Translation__Reactome_NCBI_Biosystems","PW_Lists",3.32642354490162e-52
"22","tan","salmon_M12_Ribosome__HumanMeta","Brain",2.09180753711506e-46
"23","black","530733_REACTOME_Cell_Cycle__Reactome_NCBI_Biosystems","PW_Lists",1.00522588703462e-45
"24","tan","105937_REACTOME_Gene_Expression__Reactome_NCBI_Biosystems","PW_Lists",1.43638581403941e-43
"25","black","105765_REACTOME_Cell_Cycle,_Mitotic__Reactome_NCBI_Biosystems","PW_Lists",2.90022873320519e-43
"26","brown","Neuron_probable__Cahoy","Brain",2.06515518415498e-39
"27","grey60","6201_mito_db_pad_2664__Palazzolo_and_Wang","PW_Lists",3.07708662797839e-38
"28","black","105897_REACTOME_DNA_Replication__Reactome_NCBI_Biosystems","PW_Lists",5.1549137494148e-35
"29","grey60","Annotated_genes_bound_by_RNA_polymerase_II_(Table_S2)__Lee","StemCells",3.81451619187576e-33
"30","brown","6001_synapsedb_pad_3552__Palazzolo_and_Wang","PW_Lists",1.00792703017804e-31
"31","black","160943_REACTOME_Mitotic_M-MG1_phases__Reactome_NCBI_Biosystems","PW_Lists",2.265332008707e-30
"32","grey60","DownWithAlzheimers_Liang__ADvsCT_inCA1","Brain",2.29273082350848e-28
"33","tan","106230_REACTOME_Metabolism_of_proteins__Reactome_NCBI_Biosystems","PW_Lists",2.45610690348506e-28
"34","tan","530764_REACTOME_Disease__Reactome_NCBI_Biosystems","PW_Lists",3.45615508821927e-28
"35","salmon","132956_KEGG_Metabolic_pathways__Kegg_NCBI_Biosystems","PW_Lists",6.56519876903562e-26
"36","salmon","477135_REACTOME_Metabolism__Reactome_NCBI_Biosystems","PW_Lists",2.29369490969272e-25
"37","tan","Annotated_genes_bound_by_RNA_polymerase_II_(Table_S2)__Lee","StemCells",2.92914024700526e-24
