"","ensgene","name","module","mm"
"1","ENSG00000227232","WASH7P","yellow",0.565777264646052
"2","ENSG00000237683","AL627309.1","yellow",0.380937994578845
"3","ENSG00000268903","RP11-34P13.15","yellow",0.399995160088792
"4","ENSG00000269981","RP11-34P13.16","tan",0.323131814950865
"5","ENSG00000239906","RP11-34P13.14","midnightblue",0.377392749138148
"6","ENSG00000228463","AP006222.2","yellow",0.59025912941277
"7","ENSG00000241670","AP006222.1","red",0.603771368045372
"8","ENSG00000237094","RP4-669L17.10","midnightblue",0.762377436042842
"9","ENSG00000225972","MTND1P23","grey",0
"10","ENSG00000225630","MTND2P28","blue",0.17212455879329
"11","ENSG00000237973","hsa-mir-6723","blue",0.371209691517829
"12","ENSG00000229344","RP5-857K21.7","salmon",0.305055133526678
"13","ENSG00000224956","RP11-206L10.1","midnightblue",0.653299726788479
"14","ENSG00000228327","RP11-206L10.2","midnightblue",0.710182187986948
"15","ENSG00000237491","RP11-206L10.9","turquoise",0.742875085418035
"16","ENSG00000230092","RP11-206L10.8","darkred",0.593544551110798
"17","ENSG00000177757","FAM87B","grey",0
"18","ENSG00000225880","LINC00115","purple",0.816966310276044
"19","ENSG00000228794","RP11-206L10.11","brown",0.880422485309678
"20","ENSG00000223764","RP11-54O7.3","red",0.752257438276586
"21","ENSG00000187634","SAMD11","red",0.707592102406851
"22","ENSG00000188976","NOC2L","tan",0.820608850755855
"23","ENSG00000187961","KLHL17","turquoise",0.801651786472403
"24","ENSG00000187583","PLEKHN1","lightgreen",0.759800096660853
"25","ENSG00000272512","ENSG00000272512","brown",0.59935714098721
"26","ENSG00000188290","HES4","brown",0.767078904421736
"27","ENSG00000187608","ISG15","cyan",0.20744952287564
"28","ENSG00000188157","AGRN","lightyellow",0.370773126975152
"29","ENSG00000242590","RP11-54O7.14","lightyellow",0.271193378002592
"30","ENSG00000217801","RP11-465B22.3","turquoise",0.809822439762788
"31","ENSG00000131591","C1orf159","turquoise",0.525987786156437
"32","ENSG00000223823","RP11-465B22.5","purple",0.724494237924058
"33","ENSG00000198976","MIR429","salmon",0.61497672956752
"34","ENSG00000272141","ENSG00000272141","salmon",0.901795542740819
"35","ENSG00000186891","TNFRSF18","lightgreen",0.848153795272486
"36","ENSG00000186827","TNFRSF4","turquoise",0.755482871944635
"37","ENSG00000078808","SDF4","blue",0.800973114728928
"38","ENSG00000176022","B3GALT6","tan",0.789494072379844
"39","ENSG00000184163","FAM132A","blue",0.927075227691286
"40","ENSG00000260179","RP5-902P8.12","midnightblue",0.356172306126988
"41","ENSG00000160087","UBE2J2","greenyellow",0.59351656691774
"42","ENSG00000230415","RP5-902P8.10","midnightblue",0.394726657470964
"43","ENSG00000162572","SCNN1D","yellow",0.34763203906693
"44","ENSG00000131584","ACAP3","red",0.583636870368794
"45","ENSG00000169972","PUSL1","black",0.516915279170435
"46","ENSG00000127054","CPSF3L","yellow",0.71228286340228
"47","ENSG00000240731","RP5-890O3.9","darkred",0.535810503990047
"48","ENSG00000224051","GLTPD1","blue",0.828670449858638
"49","ENSG00000169962","TAS1R3","turquoise",0.874889509974644
"50","ENSG00000107404","DVL1","purple",0.257429382389099
"51","ENSG00000162576","MXRA8","cyan",0.884459701060219
"52","ENSG00000175756","AURKAIP1","salmon",0.484118686754297
"53","ENSG00000221978","CCNL2","yellow",0.728870693424652
