"","blue","black","lightcyan","coral1","tan","royalblue","turquoise","indianred4","darkolivegreen","red","floralwhite","skyblue","darkslateblue","orangered3","darkseagreen4","mediumpurple2","lightcoral","ivory","grey60","darkmagenta","lightyellow","bisque4","firebrick4","sienna3","magenta","plum","brown4","darkgreen","navajowhite2","darkred","yellow4","green","greenyellow","plum2","mediumpurple3","darkturquoise","lightgreen","lightsteelblue","honeydew1","lavenderblush3","antiquewhite4","lightpink4","lightcyan1","coral2","darkolivegreen4","palevioletred3"
"Astrocytes, highly probable (Cahoy, 2008)",1,1,1,1,1,1,1,1,1,1,1,2.61663917175384e-15,0.000320103616879068,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6.46694883053732e-05,1,1,1,1,1,1,1,1,1,1,1,1
"Astrocytes module in Cortex",1,1,1,1,1,1,1,1,1,1,1,2.93165977797214e-31,7.05943146141684e-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Microglia in Human brain Module (Geschwind, 2010)",1,1,7.72926347958081e-33,1,1,1,1,1,1,1,1,1,0.000196124092137649,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.3077597072998e-07,1,1,1,2.5318178881097e-08,1.28807645095767e-06,1,1,1
"Microglia (Type2) module in Cortex",1,3.58877839571178e-06,1.44861374245078e-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1.07550741005846e-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron in Human brain Module (Geschwind,2010)",1,1,1,2.1925674752705e-45,9.00088962828016e-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron module in Cortex",1,1,1,4.22942095441419e-05,3.45656408616438e-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0128717249323144,1,1,1,1,1,1,0.000124744448874728,1,1,1,1,1,1,1,1.46243550835171e-05,1,1
"Neuron, pyramidal in network from Sugino/Winden",1,1,1,1,0.0270368769153137,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00767007615768689,1,1
"Microglia (Type 1) (Geschwind, 2010)",1,1.66143648656814e-69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8.96818187286946e-23,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron, definite (Cahoy, 2008)",1,1,1,1,1,1,1.834522961443e-26,1,1,1,1,1,1,1,2.49988022449465e-28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00181211327041367,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Oligodendrocytes in Human brain Module (Geschwind,2010)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.706144331577e-06,2.51485306230005e-05,3.83318685536226e-05,1,2.53514224088009e-33,1,1,1,1,1,4.80673056438124e-66,1,1,1,1,1,1,1,1,1,1,1,1,1,1
