"","ensgene","name","module","mm"
"1","ENSG00000227232","WASH7P","blue",0.677337635972482
"2","ENSG00000237683","AL627309.1","black",0.81369932409451
"3","ENSG00000268903","RP11-34P13.15","lightcyan",0.75628742803473
"4","ENSG00000269981","RP11-34P13.16","black",0.737952241523845
"5","ENSG00000228463","AP006222.2","coral1",0.466889149261064
"6","ENSG00000241670","AP006222.1","tan",0.486101939446353
"7","ENSG00000237094","RP4-669L17.10","royalblue",0.730876660280245
"8","ENSG00000225972","MTND1P23","turquoise",0.316546454176419
"9","ENSG00000225630","MTND2P28","turquoise",0.260201776680641
"10","ENSG00000237973","hsa-mir-6723","turquoise",0.375666889568805
"11","ENSG00000229344","RP5-857K21.7","turquoise",0.306335321691525
"12","ENSG00000224956","RP11-206L10.1","blue",0.623009262357782
"13","ENSG00000228327","RP11-206L10.2","indianred4",0.787366994705673
"14","ENSG00000237491","RP11-206L10.9","darkolivegreen",0.58555200870071
"15","ENSG00000225880","LINC00115","red",0.542655036726599
"16","ENSG00000228794","RP11-206L10.11","floralwhite",0.862146942537213
"17","ENSG00000223764","RP11-54O7.3","skyblue",0.633751395325497
"18","ENSG00000187634","SAMD11","darkslateblue",0.847004969738216
"19","ENSG00000188976","NOC2L","orangered3",0.927434421376263
"20","ENSG00000187961","KLHL17","darkolivegreen",0.859493518574266
"21","ENSG00000272512","ENSG00000272512","darkseagreen4",0.550340282565519
"22","ENSG00000188290","HES4","mediumpurple2",0.746162985514628
"23","ENSG00000187608","ISG15","lightcoral",0.74473735714861
"24","ENSG00000188157","AGRN","ivory",0.75336098591534
"25","ENSG00000242590","RP11-54O7.14","darkseagreen4",0.691487696933809
"26","ENSG00000131591","C1orf159","blue",0.802553855174108
"27","ENSG00000186891","TNFRSF18","lightcoral",0.654216740220775
"28","ENSG00000186827","TNFRSF4","lightcoral",0.635919687343219
"29","ENSG00000078808","SDF4","orangered3",0.895790567331504
"30","ENSG00000176022","B3GALT6","orangered3",0.758068878800153
"31","ENSG00000184163","FAM132A","turquoise",0.560470464270963
"32","ENSG00000160087","UBE2J2","darkolivegreen",0.818277557495979
"33","ENSG00000230415","RP5-902P8.10","red",0.755770951784099
"34","ENSG00000162572","SCNN1D","grey60",0.801950095153493
"35","ENSG00000131584","ACAP3","darkolivegreen",0.792148802799229
"36","ENSG00000169972","PUSL1","darkmagenta",0.752572300131432
"37","ENSG00000127054","CPSF3L","red",0.898869129586357
"38","ENSG00000240731","RP5-890O3.9","red",0.920400401366636
"39","ENSG00000224051","GLTPD1","darkolivegreen",0.825886309611693
"40","ENSG00000107404","DVL1","darkolivegreen",0.863598242547812
"41","ENSG00000162576","MXRA8","skyblue",0.859186269711531
"42","ENSG00000175756","AURKAIP1","lightyellow",0.925083341271573
"43","ENSG00000221978","CCNL2","blue",0.895667465525823
"44","ENSG00000224870","RP4-758J18.2","bisque4",0.476983393054595
"45","ENSG00000242485","MRPL20","coral1",0.882985767745545
"46","ENSG00000264293","RN7SL657P","royalblue",0.452558375540359
"47","ENSG00000272455","ENSG00000272455","firebrick4",0.549887082302873
"48","ENSG00000235098","ANKRD65","sienna3",0.657725555494514
"49","ENSG00000225905","RP4-758J18.7","magenta",0.756801034348023
"50","ENSG00000205116","TMEM88B","plum",0.691932584036108
"51","ENSG00000225285","RP4-758J18.10","lightcyan",0.704467601652809
"52","ENSG00000179403","VWA1","sienna3",0.806837389934648
"53","ENSG00000215915","ATAD3C","brown4",0.445106728677623
"54","ENSG00000160072","ATAD3B","darkolivegreen",0.77571752864919
"55","ENSG00000197785","ATAD3A","orangered3",0.869193915529214
"56","ENSG00000205090","TMEM240","turquoise",0.856643537102404
"57","ENSG00000160075","SSU72","lightyellow",0.921505926738408
"58","ENSG00000215791","AL645728.2","floralwhite",0.677399408368226
"59","ENSG00000215014","AL645728.1","firebrick4",0.608891682123073
"60","ENSG00000228594","C1orf233","darkseagreen4",0.779841909189586
"61","ENSG00000272106","ENSG00000272106","magenta",0.846039387430511
"62","ENSG00000197530","MIB2","darkolivegreen",0.91138463801779
"63","ENSG00000248333","CDK11B","darkolivegreen",0.46805517825453
