"","InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"1","tan","105976_REACTOME_Eukaryotic_Translation_Elongation__Reactome_NCBI_Biosystems","PW_Lists",3.45221942875239e-137
"2","tan","105977_REACTOME_Peptide_chain_elongation__Reactome_NCBI_Biosystems","PW_Lists",2.27580835752139e-133
"3","tan","105968_REACTOME_Formation_of_a_pool_of_free_40S_subunits__Reactome_NCBI_Biosystems","PW_Lists",4.72207492705896e-132
"4","tan","413404_KEGG_Ribosome,_eukaryotes__Kegg_NCBI_Biosystems","PW_Lists",1.39736062349005e-130
"5","tan","441_KEGG_Ribosome__Kegg_NCBI_Biosystems","PW_Lists",1.387170711684e-128
"6","tan","83036_KEGG_Ribosome__Kegg_NCBI_Biosystems","PW_Lists",1.387170711684e-128
"7","tan","160955_REACTOME_L13a-mediated_translational_silencing_of_Ceruloplasmin_expression__Reactome_NCBI_Biosystems","PW_Lists",1.0831660448295e-127
"8","tan","105978_REACTOME_Eukaryotic_Translation_Termination__Reactome_NCBI_Biosystems","PW_Lists",1.19334794141304e-127
"9","tan","106077_REACTOME_Viral_mRNA_Translation__Reactome_NCBI_Biosystems","PW_Lists",1.19334794141304e-127
"10","tan","366242_REACTOME_Nonsense_Mediated_Decay_Independent_of_the_Exon_Junction_Complex__Reactome_NCBI_Biosystems","PW_Lists",4.06936283117954e-126
"11","tan","198853_WikiPathways_Cytoplasmic_Ribosomal_Proteins__Wiki_Pathways_NCBI_Biosystems","PW_Lists",9.28741221401999e-126
"12","tan","105973_REACTOME_GTP_hydrolysis_and_joining_of_the_60S_ribosomal_subunit__Reactome_NCBI_Biosystems","PW_Lists",1.23111418790522e-124
"13","tan","105966_REACTOME_Eukaryotic_Translation_Initiation__Reactome_NCBI_Biosystems","PW_Lists",4.539703693732e-123
"14","tan","105967_REACTOME_Cap-dependent_Translation_Initiation__Reactome_NCBI_Biosystems","PW_Lists",4.539703693732e-123
"15","tan","105965_REACTOME_Translation__Reactome_NCBI_Biosystems","PW_Lists",4.89378408112306e-118
"16","tan","106074_REACTOME_Influenza_Viral_RNA_Transcription_and_Replication__Reactome_NCBI_Biosystems","PW_Lists",4.21413956196355e-116
"17","tan","366240_REACTOME_Nonsense-Mediated_Decay__Reactome_NCBI_Biosystems","PW_Lists",1.40716132359845e-114
"18","tan","366241_REACTOME_Nonsense_Mediated_Decay_Enhanced_by_the_Exon_Junction_Complex__Reactome_NCBI_Biosystems","PW_Lists",1.40716132359845e-114
"19","tan","530746_REACTOME_SRP-dependent_cotranslational_protein_targeting_to_membrane__Reactome_NCBI_Biosystems","PW_Lists",2.90129058470201e-112
"20","tan","salmon_M12_Ribosome__HumanMeta","Brain",6.55450784818205e-111
"21","tan","106067_REACTOME_Influenza_Infection__Reactome_NCBI_Biosystems","PW_Lists",7.52458556502279e-101
"22","tan","106068_REACTOME_Influenza_Life_Cycle__Reactome_NCBI_Biosystems","PW_Lists",3.49634919146842e-100
"23","tan","106230_REACTOME_Metabolism_of_proteins__Reactome_NCBI_Biosystems","PW_Lists",6.83579873477464e-80
"24","cyan","530733_REACTOME_Cell_Cycle__Reactome_NCBI_Biosystems","PW_Lists",6.39322656603803e-74
"25","cyan","105765_REACTOME_Cell_Cycle,_Mitotic__Reactome_NCBI_Biosystems","PW_Lists",1.24801640518263e-69
"26","cyan","105897_REACTOME_DNA_Replication__Reactome_NCBI_Biosystems","PW_Lists",1.76586805812705e-56
"27","tan","105969_REACTOME_Formation_of_the_ternary_complex,_and_subsequently,_the_43S_complex__Reactome_NCBI_Biosystems","PW_Lists",1.72658817038539e-49
"28","tan","530764_REACTOME_Disease__Reactome_NCBI_Biosystems","PW_Lists",6.28321800995233e-49
"29","tan","105937_REACTOME_Gene_Expression__Reactome_NCBI_Biosystems","PW_Lists",8.43425638368076e-49
"30","tan","105971_REACTOME_Translation_initiation_complex_formation__Reactome_NCBI_Biosystems","PW_Lists",2.22548872194608e-48
"31","tan","105970_REACTOME_Activation_of_the_mRNA_upon_binding_of_the_cap-binding_complex_and_eIFs,_and_subsequent_binding_to_43S__Reactome_NCBI_Biosystems","PW_Lists",5.8913741061592e-48
"32","tan","105972_REACTOME_Ribosomal_scanning_and_start_codon_recognition__Reactome_NCBI_Biosystems","PW_Lists",2.77889366299778e-46
"33","cyan","160943_REACTOME_Mitotic_M-MG1_phases__Reactome_NCBI_Biosystems","PW_Lists",9.08506274399890e-45
"34","plum1","cyan_M4_Mitochondria__MouseMeta","Brain",5.72206903264864e-40
"35","skyblue1","overexpressed_in_erythrocyte_precursors_(CD36+)__Cui","StemCells",1.17338586215147e-38
"36","cyan","105812_REACTOME_M_Phase__Reactome_NCBI_Biosystems","PW_Lists",5.12532774634749e-38
"37","cyan","105815_REACTOME_Mitotic_Prometaphase__Reactome_NCBI_Biosystems","PW_Lists",1.4824504493473e-35
"38","plum1","303_KEGG_Oxidative_phosphorylation__Kegg_NCBI_Biosystems","PW_Lists",1.86928878689155e-35
"39","plum1","82942_KEGG_Oxidative_phosphorylation__Kegg_NCBI_Biosystems","PW_Lists",1.86928878689155e-35
"40","plum1","cyan_M4_Mitochondria__HumanMeta","Brain",9.90806208920576e-35
"41","plum1","105921_REACTOME_Respiratory_electron_transport,_ATP_synthesis_by_chemiosmotic_coupling,_and_heat_production_by_uncoupling_proteins.__Reactome_NCBI_Biosystems","PW_Lists",1.21629987065365e-34
"42","tan","upWithABeta_MGactivation_GSE772__MicrogialMarkers","Brain",8.45309785056728e-34
"43","plum1","198860_WikiPathways_Electron_Transport_Chain__Wiki_Pathways_NCBI_Biosystems","PW_Lists",8.12261672113002e-33
"44","plum1","477137_REACTOME_The_citric_acid_(TCA)_cycle_and_respiratory_electron_transport__Reactome_NCBI_Biosystems","PW_Lists",9.75396832531636e-31
"45","plum1","6209_mito_oxidative_phosph_pad_196__Palazzolo_and_Wang","PW_Lists",4.27183952376184e-30
"46","plum1","83098_KEGG_Parkinson's_disease__Kegg_NCBI_Biosystems","PW_Lists",7.76967705784143e-30
"47","plum1","160962_REACTOME_Respiratory_electron_transport__Reactome_NCBI_Biosystems","PW_Lists",3.67433822154049e-28
"48","plum1","512_KEGG_Huntington's_disease__Kegg_NCBI_Biosystems","PW_Lists",1.70603527457025e-27
"49","plum1","83100_KEGG_Huntington's_disease__Kegg_NCBI_Biosystems","PW_Lists",1.70603527457025e-27
"50","plum1","509_KEGG_Alzheimer's_disease__Kegg_NCBI_Biosystems","PW_Lists",2.79051528415814e-27
"51","plum1","83097_KEGG_Alzheimer's_disease__Kegg_NCBI_Biosystems","PW_Lists",2.79051528415814e-27
"52","honeydew1","DownWithAlzheimers_Liang__ADvsCT_inCA1","Brain",3.36062064844858e-26
"53","honeydew1","brown_downAD_mitochondrion__Blalock_AD","Brain",1.02055823162637e-25
"54","honeydew1","red_M11_Neuron__HumanMeta","Brain",2.99069439707251e-25
"55","red","RedBloodCell__Kabanova","Blood",5.69367977074827e-25
"56","grey60","106409_REACTOME_Classical_antibody-mediated_complement_activation__Reactome_NCBI_Biosystems","PW_Lists",1.28680427527156e-23
"57","tan","midnightblue_M2_Ribosome__CTX","Brain",1.80218162338e-23
"58","grey60","106407_REACTOME_Creation_of_C4_and_C2_activators__Reactome_NCBI_Biosystems","PW_Lists",5.26915342482485e-23
"59","plum1","6201_mito_db_pad_2664__Palazzolo_and_Wang","PW_Lists",8.38019600776851e-23
"60","honeydew1","445_KEGG_Proteasome__Kegg_NCBI_Biosystems","PW_Lists",2.37753086069082e-22
"61","honeydew1","83040_KEGG_Proteasome__Kegg_NCBI_Biosystems","PW_Lists",2.37753086069082e-22
"62","cyan","198811_WikiPathways_Cell_cycle__Wiki_Pathways_NCBI_Biosystems","PW_Lists",3.47030760877379e-22
"63","mediumpurple3","167190_KEGG_Protein_processing_in_endoplasmic_reticulum__Kegg_NCBI_Biosystems","PW_Lists",2.53662702563942e-21
