"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","red",TRUE,0.000895,66,261,9,0.034,0.136,"GO:0043299","BP",9,"leukocyte degranulation",1,"FGR,RAB27A,STXBP2,CEACAM1,LAT2,UNC13D,PRAM1,ANXA3,PTAFR",7.52201280306566
"2","red",TRUE,0.0466,12,261,4,0.015,0.333,"GO:0043312","BP",9,"neutrophil degranulation",1,"STXBP2,PRAM1,ANXA3,PTAFR",9.34117124648182
"3","red",TRUE,0.0483,24,261,5,0.019,0.208,"GO:0042119","BP",3,"neutrophil activation",1,"STXBP2,PRAM1,ANXA3,PRKCD,PTAFR",8.5302410302655
"4","red",TRUE,3.08e-15,2387,261,88,0.337,0.037,"GO:0002376","BP",2,"immune system process",1,"FGR,WAS,CNN2,SPI1,RAB27A,ICAM3,STXBP2,APBB1IP,CST7,CEACAM1,LAT2,NLRC4,PPP2R3C,UNC13D,GGT1,NCF4,MMP9,SIRPB1,AQP9,IMPDH1,MAP2K6,BST1,SELPLG,MAPK14,VNN1,HRH2,BCL6,NCF2,PADI2,CSF3R,S1PR4,FFAR2,SIGLEC9,F12,FLOT2,PRAM1,TSPAN2,ANXA1,IL1RN,ANXA3,PSTPIP1,ITGAX,SLC16A3,NLRP12,FCGR2A,S100A8,ADAM8,ARL11,IFNGR2,PADI4,G6PD,ITGB2,AMICA1,IL6R,NBEAL2,S100A9,S100A12,CXCR1,MNDA,PRKCD,CLEC4D,PTAFR,ITGAM,OSCAR,FPR2,FPR1,TNFRSF10C,IL17RA,FUT7,IFITM2,FFAR3,FCAR,TLR5,SELL,VSTM1,SEMA4A,SIRPA,MSRB1,LILRB3,CD177,GPSM3,CKLF,NFAM1,LILRA2,IL10RB,LILRA6,NAIP,HP",2.79342981270393
"5","red",TRUE,0.0115,8162,261,150,0.575,0.018,"GO:0050896","BP",2,"response to stimulus",1,"FGR,MGST1,ACPP,WAS,MAP2K3,DGAT2,CNN2,SPI1,RAB27A,ICAM3,STXBP2,APBB1IP,CST7,CEACAM1,PILRA,LAT2,NLRC4,PPP2R3C,UNC13D,GGT1,TSPO,NCF4,CSF2RB,MMP9,NTSR1,SIRPB1,PLP2,AQP9,MAP2K6,BST1,TCIRG1,SELPLG,MAPK14,STK38,VNN1,HRH2,BCL6,NCF2,PADI2,RPS6KA1,TRPM6,CSF3R,ANXA11,ARHGAP9,NFE2,TNFAIP6,NQO2,S1PR4,FFAR2,CDKN2D,SIGLEC9,LSP1,F12,CNGA4,FLOT2,ALOX5AP,PRAM1,TSPAN2,ANXA1,ITGA7,MICAL1,DYSF,FAM129A,IL1RN,TOR1B,AGPAT9,ANXA3,FBN2,GPR84,TLE3,ANP32A,PSTPIP1,BCL2A1,ITGAX,CMTM2,NLRP12,FCGR2A,S100A8,ATP6V1B2,NR6A1,ADAM8,ARL11,CDA,IFNGR2,PADI4,RGL4,ISL2,ZYX,G6PD,ITGB2,SHKBP1,DEDD2,AMICA1,IL6R,ASGR2,ALPL,OXER1,CDC42EP3,S100A11,S100A9,S100A12,PROK2,CXCR1,MNDA,PRKCD,S100P,CLEC4D,NDEL1,PTAFR,ITGAM,OSCAR,FPR2,FPR1,LRG1,TPSAB1,HPSE,HSPA6,TNFRSF10C,SLC19A1,CATSPER1,IL17RA,AGTRAP,MYADM,FUT7,FRAT2,IFITM2,FFAR3,MARC1,FCAR,GPR141,TLR5,SELL,LITAF,S100A4,SEMA4A,SERPINA1,S100A6,CSF2RA,F5,MSRB1,LILRB3,CD177,GPSM3,CKLF,NFAM1,LILRA2,IL10RB,LILRA6,NAIP,HP",1.35563016342414
"6","red",TRUE,7.1e-05,2021,261,59,0.226,0.029,"GO:0009605","BP",2,"response to external stimulus",2,"FGR,MGST1,CNN2,CEACAM1,NLRC4,PPP2R3C,UNC13D,GGT1,TSPO,CSF2RB,NTSR1,PLP2,MAPK14,BCL6,PADI2,CSF3R,TNFAIP6,FFAR2,CDKN2D,LSP1,F12,ALOX5AP,ANXA1,ANXA3,ITGAX,CMTM2,NLRP12,S100A8,ADAM8,IFNGR2,ISL2,ZYX,G6PD,ITGB2,AMICA1,IL6R,ALPL,S100A9,S100A12,PROK2,CXCR1,PRKCD,CLEC4D,NDEL1,PTAFR,FPR2,FPR1,HPSE,TNFRSF10C,IL17RA,IFITM2,FFAR3,TLR5,LITAF,SEMA4A,GPSM3,CKLF,IL10RB,HP",3.41780711207777
"7","red",TRUE,0.0132,3579,261,80,0.307,0.022,"GO:0006950","BP",2,"response to stress",2,"FGR,MGST1,WAS,CNN2,RAB27A,ICAM3,CEACAM1,NLRC4,UNC13D,GGT1,TSPO,SIRPB1,AQP9,MAP2K6,TCIRG1,MAPK14,VNN1,BCL6,NCF2,RPS6KA1,CSF3R,NFE2,TNFAIP6,FFAR2,CDKN2D,LSP1,F12,FLOT2,ALOX5AP,TSPAN2,ANXA1,DYSF,FAM129A,TOR1B,ANXA3,PSTPIP1,BCL2A1,ITGAX,NLRP12,S100A8,ADAM8,IFNGR2,PADI4,ZYX,G6PD,ITGB2,AMICA1,IL6R,S100A9,S100A12,PROK2,CXCR1,MNDA,PRKCD,CLEC4D,NDEL1,PTAFR,ITGAM,FPR2,FPR1,TPSAB1,HPSE,HSPA6,TNFRSF10C,IL17RA,AGTRAP,IFITM2,FFAR3,TLR5,SERPINA1,F5,MSRB1,LILRB3,CD177,GPSM3,NFAM1,LILRA2,IL10RB,NAIP,HP",2.58356079259842
"8","red",TRUE,8.26e-12,1448,261,61,0.234,0.042,"GO:0006952","BP",2,"defense response",3,"FGR,WAS,RAB27A,ICAM3,CEACAM1,NLRC4,UNC13D,GGT1,SIRPB1,MAP2K6,TCIRG1,MAPK14,VNN1,BCL6,NCF2,CSF3R,TNFAIP6,FFAR2,LSP1,F12,FLOT2,ALOX5AP,TSPAN2,ANXA1,ANXA3,PSTPIP1,ITGAX,NLRP12,S100A8,ADAM8,IFNGR2,PADI4,ZYX,ITGB2,IL6R,S100A9,S100A12,PROK2,CXCR1,MNDA,PRKCD,CLEC4D,PTAFR,ITGAM,FPR2,FPR1,TPSAB1,TNFRSF10C,IL17RA,IFITM2,FFAR3,TLR5,SERPINA1,MSRB1,LILRB3,GPSM3,NFAM1,LILRA2,IL10RB,NAIP,HP",3.48633813025068
"9","red",TRUE,1.2e-09,656,261,37,0.142,0.056,"GO:0006954","BP",2,"inflammatory response",4,"NLRC4,UNC13D,GGT1,MAPK14,VNN1,BCL6,TNFAIP6,FFAR2,F12,ALOX5AP,TSPAN2,ANXA1,PSTPIP1,NLRP12,S100A8,ADAM8,ZYX,ITGB2,IL6R,S100A9,S100A12,PROK2,CXCR1,PRKCD,PTAFR,FPR2,FPR1,TNFRSF10C,IL17RA,FFAR3,TLR5,SERPINA1,GPSM3,NFAM1,IL10RB,NAIP,HP",5.15277992850217
"10","red",TRUE,5.17e-13,1530,261,65,0.249,0.042,"GO:0006955","BP",2,"immune response",2,"FGR,WAS,RAB27A,ICAM3,STXBP2,APBB1IP,CST7,CEACAM1,LAT2,NLRC4,PPP2R3C,UNC13D,NCF4,SIRPB1,AQP9,MAP2K6,BST1,VNN1,HRH2,BCL6,NCF2,S1PR4,FFAR2,SIGLEC9,F12,FLOT2,PRAM1,ANXA1,IL1RN,ANXA3,PSTPIP1,FCGR2A,S100A8,ADAM8,IFNGR2,PADI4,ITGB2,AMICA1,IL6R,S100A9,S100A12,MNDA,PRKCD,CLEC4D,PTAFR,ITGAM,OSCAR,FPR2,FPR1,TNFRSF10C,FUT7,IFITM2,FFAR3,FCAR,TLR5,SELL,SEMA4A,MSRB1,LILRB3,GPSM3,NFAM1,LILRA2,IL10RB,LILRA6,NAIP",3.39074573133391
