"","brown","tan","ivory","maroon","thistle1","lavenderblush3","mediumpurple3","black","floralwhite","bisque4","royalblue","violet","cyan","greenyellow","plum2","lightcyan1","darkred","darkorange2","blue","red","magenta","palevioletred3","saddlebrown","darkgrey","darkmagenta","lightpink4","lightcyan","darkturquoise","steelblue","darkolivegreen","brown4","darkorange","midnightblue","sienna3","darkslateblue","lightgreen"
"Astrocytes, highly probable (Cahoy, 2008)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0138967991830692,1,1,7.1334398622609e-42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Astrocytes module in Cortex",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000210996676275814,1,1,1.18112227355039e-51,1,1,1,1,1,1,1,1,0.00190293663230299,1,1,1,1,1,1,1,1
"Microglia in Human brain Module (Geschwind, 2010)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000294094035921351,4.82284448816968e-23,4.15484535357828e-51
"Microglia (Type2) module in Cortex",1,1.12807926278401e-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.85230325809875e-18
"Neuron in Human brain Module (Geschwind,2010)",1,1,1.29458125005687e-32,1,1,1,1,1,1,1,1,1,1,1,1,1,0.020501299787519,1,1,1,1,1,4.02418284937875e-10,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron module in Cortex",1,1,1.82013933279846e-17,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00179820578442762,1,1,1,1,4.46594865825241e-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron, pyramidal in network from Sugino/Winden",1,1,0.00131994472074873,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Microglia (Type 1) (Geschwind, 2010)",1,1.61381427621345e-76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.9761327546694e-14,1,1,1,1,1,1,1,1,1
"Neuron, definite (Cahoy, 2008)",1,1,1,1,1,1,1,1,1,1,1,1,3.82030848486675e-47,1,1,1,1,0.000400507509245817,1,1,1,1,1,6.04761068285384e-08,1,1,1,1,1,1,1,1,1,1,1,1
"Oligodendrocytes in Human brain Module (Geschwind,2010)",1,1,1,1,1,1,1,1,1,1,1,5.55115271260996e-12,1,1,1,1,1,1,1,4.96945313849632e-15,1.71106168117639e-145,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Oligodendrocytes in Cortex",1,1,1,1,1,1,1,1,1,1,1,0.00595717196006301,0.00624528076448847,1,1,1,1,1,1,1.03498319414322e-06,2.13474382136511e-72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Oligodendrocytes, definite (Cahoy, 2008)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00869021440854585,5.53196228374171e-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Oligodendrocytes from conservative data set (Lein, 2007)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.01636196973939e-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron, probably (Cahoy, 2008)",1,1,6.19811301959748e-08,1,1,1.83362815064473e-11,1,1,1,1,1,1,3.27579617721815e-133,1,1,1,1,9.32964580115039e-20,1,1,1,1,1,5.23634640030295e-19,1,1,1,1,1,1,1,1,1,1,1,1
"Astrocytes-Cahoy",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.08345756117783e-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron-Dopaminergic-Cahoy",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neurons-Cahoy",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Oligodendrocytes-Cahoy",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000759307277437079,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Ependymal-External",1,1,1,0.0075991070903046,1,1,1,1,1,1,1,1,1,1,1,0.0357395578617834,1,1,0.000658626099206103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Oligodendrocyte-External",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.6583312558795e-07,1.68386256574214e-56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Microglia-External",1,4.67953276176113e-52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.00293206430664e-68,1,1,1,1,1,1,1,1,1
"Neuron_Pyramidal_CA1-External",1,1,1,1,1,1,1,1,1,1,1,1,3.55176081425365e-07,1,1,1,1,1,1,1,1,1,1,3.20304264828183e-08,0.00397440847656649,1,1,1,1,1,1,1,1,1,1,1
