"","cyan","grey60","magenta","brown","skyblue","royalblue","darkorange","turquoise","white","saddlebrown","midnightblue","lightcyan","darkgreen","greenyellow","steelblue","darkturquoise","lightyellow","black","blue","yellow","orange","darkgrey","darkred"
"Astrocytes, highly probable (Cahoy, 2008)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.23730693273046e-17,1,1,1,1,1
"Astrocytes module in Cortex",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.3622956292653e-10,5.67338765516051e-17,1,1,1,1
"Microglia in Human brain Module (Geschwind, 2010)",1,1,1,1,1,1,1,1,1,1,1,1.15040066070229e-56,1,1,1,1,1,2.22226377361484e-08,1,1,1,1,1
"Microglia (Type2) module in Cortex",1,1,1,1,1,1,1,1,1,1,1,6.65600307228131e-24,1,1,1,1,1,1,1,1,1,1,1
"Neuron in Human brain Module (Geschwind,2010)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.20851906812107e-23,1,0.000222184262944413,1,0.0150331318346951
"Neuron module in Cortex",1,1,1,1,1,1,0.000604230871919542,1,1,1,2.64568796453868e-08,1,1,1,1,1,1,1,1.55889962623446e-50,1,4.39661613389887e-09,1,1.19940112198577e-27
"Neuron, pyramidal in network from Sugino/Winden",1,1,1,1,1,1,1,1,1,1,0.000335420781096562,1,1,1,1,1,1,1,1.70117414923523e-08,1,1,1,2.78296553521282e-16
"Microglia (Type 1) (Geschwind, 2010)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.14679107629298e-28,1,1,1,1,1
"Neuron, definite (Cahoy, 2008)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Oligodendrocytes in Human brain Module (Geschwind,2010)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.97644034225368e-18,1,1,1,1
"Oligodendrocytes in Cortex",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0264398200925016,6.61980103131231e-26,1,1,1,1
"Oligodendrocytes, definite (Cahoy, 2008)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Oligodendrocytes from conservative data set (Lein, 2007)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron, probably (Cahoy, 2008)",1,1,1,1,1,1,1,1,1,1,1,1,0.0301308561701647,0.000340948432336995,1,1,1,0.000904551551117254,3.11606749456413e-05,1,1,1,1
"Astrocytes-Cahoy",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron-Dopaminergic-Cahoy",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neurons-Cahoy",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Oligodendrocytes-Cahoy",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Ependymal-External",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.4522535763134e-05,1,1.88948763491842e-05,1
"Oligodendrocyte-External",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0467507847334058,1,1,0.00234260811696059,1,1,1,1
"Microglia-External",1,1,1,1,1,1,1,1,1,1,1,0.04377090048853,1,1,1,1,1,2.84679914274008e-30,1,1,1,1,1
"Neuron_Pyramidal_CA1-External",1,1,1,1,1,1,1,1,1,1,1,1,1,0.0321959017145157,1,1,1,1,1,1,1,1,1
"Neuron_Interneuron-External",1,1,1,1,1,1,1,1,1,1,1,1,0.0175826424282269,0.0165766546625634,1,1,1,1,1,1,1,1,1
"Endothelial-External",1,1,1,1,1,1,1,1,1,1,1,0.000647252104286014,1,1,1,1,1,1.6783017019846e-13,1,1,1,1,1
"Neuron_Pyramidal_S1-External",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Astrocyte-External",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
