"","ensgene","name","module","mm"
"1","ENSG00000223972","DDX11L1","cyan",0.278738416841061
"2","ENSG00000227232","WASH7P","grey60",0.472400016042693
"3","ENSG00000243485","MIR1302-2","magenta",0.385953427879616
"4","ENSG00000238009","RP11-34P13.7","cyan",0.266109687607047
"5","ENSG00000237683","AL627309.1","brown",0.555586589220058
"6","ENSG00000268903","RP11-34P13.15","brown",0.50697516289227
"7","ENSG00000269981","RP11-34P13.16","brown",0.542505652649955
"8","ENSG00000239906","RP11-34P13.14","brown",0.557157503370696
"9","ENSG00000241860","RP11-34P13.13","skyblue",0.481074716170061
"10","ENSG00000228463","AP006222.2","skyblue",0.34335250321157
"11","ENSG00000241670","AP006222.1","royalblue",0.321212548778594
"12","ENSG00000237094","RP4-669L17.10","brown",0.494956447360941
"13","ENSG00000224813","RP4-669L17.4","darkorange",0.115432906672315
"14","ENSG00000231709","RP5-857K21.1","turquoise",0.354858945686675
"15","ENSG00000230021","RP5-857K21.4","white",0.556521346084192
"16","ENSG00000225972","MTND1P23","saddlebrown",0.226484615087603
"17","ENSG00000225630","MTND2P28","grey60",0.291494869538255
"18","ENSG00000237973","hsa-mir-6723","midnightblue",0.32088415215329
"19","ENSG00000229344","RP5-857K21.7","grey60",0.382714237789398
"20","ENSG00000229376","CICP3","cyan",0.32219344411686
"21","ENSG00000224956","RP11-206L10.1","brown",0.650211933566705
"22","ENSG00000235373","RP11-206L10.3","skyblue",0.263383411768829
"23","ENSG00000240618","RP11-206L10.5","darkorange",0.311827848122672
"24","ENSG00000228327","RP11-206L10.2","brown",0.404742958936835
"25","ENSG00000237491","RP11-206L10.9","brown",0.705735986001286
"26","ENSG00000230092","RP11-206L10.8","skyblue",0.160250883165641
"27","ENSG00000177757","FAM87B","brown",0.278892647511919
"28","ENSG00000225880","LINC00115","lightcyan",0.455237868054665
"29","ENSG00000228794","RP11-206L10.11","darkgreen",0.317993162548492
"30","ENSG00000234711","TUBB8P11","royalblue",0.321543127487795
"31","ENSG00000272438","ENSG00000272438","cyan",0.467749545256771
"32","ENSG00000223764","RP11-54O7.3","grey60",0.697237952260521
"33","ENSG00000187634","SAMD11","greenyellow",0.699059877088179
"34","ENSG00000188976","NOC2L","cyan",0.799885557179456
"35","ENSG00000187961","KLHL17","cyan",0.617204266247369
"36","ENSG00000187583","PLEKHN1","steelblue",0.52867703000177
"37","ENSG00000187642","C1orf170","white",0.302007368578663
"38","ENSG00000272512","ENSG00000272512","grey60",0.500106520908556
"39","ENSG00000188290","HES4","grey60",0.409627569296156
"40","ENSG00000187608","ISG15","darkturquoise",0.639512168153161
"41","ENSG00000188157","AGRN","grey60",0.683127562065514
"42","ENSG00000242590","RP11-54O7.14","grey60",0.659657570383365
"43","ENSG00000217801","RP11-465B22.3","lightcyan",0.594773501800904
"44","ENSG00000273443","ENSG00000273443","lightcyan",0.557830122630731
"45","ENSG00000131591","C1orf159","lightyellow",0.788918891819592
"46","ENSG00000272141","ENSG00000272141","white",0.500402256045041
"47","ENSG00000205231","TTLL10-AS1","brown",0.907281114612872
"48","ENSG00000162571","TTLL10","turquoise",0.868908792708262
"49","ENSG00000186891","TNFRSF18","greenyellow",0.647549929831798
"50","ENSG00000186827","TNFRSF4","lightcyan",0.518215403700476
"51","ENSG00000078808","SDF4","magenta",0.505023597648746
"52","ENSG00000176022","B3GALT6","grey60",0.710722781275682
"53","ENSG00000184163","FAM132A","greenyellow",0.603284854564373
"54","ENSG00000260179","RP5-902P8.12","grey60",0.40367796562989
"55","ENSG00000160087","UBE2J2","lightyellow",0.875427098246763
"56","ENSG00000230415","RP5-902P8.10","cyan",0.616961166369965
"57","ENSG00000162572","SCNN1D","grey60",0.700476137311174
"58","ENSG00000131584","ACAP3","royalblue",0.806272179930291
"59","ENSG00000169972","PUSL1","magenta",0.642603803738609
"60","ENSG00000127054","CPSF3L","magenta",0.607111891977781
"61","ENSG00000240731","RP5-890O3.9","royalblue",0.658415065680042
"62","ENSG00000224051","GLTPD1","lightyellow",0.863359885463352
"63","ENSG00000169962","TAS1R3","grey60",0.448481277854095
"64","ENSG00000107404","DVL1","grey60",0.717305677146838
"65","ENSG00000162576","MXRA8","black",0.690467127020075
"66","ENSG00000175756","AURKAIP1","lightyellow",0.912909868150042
"67","ENSG00000223663","RP5-890O3.3","royalblue",0.0863558693096256
"68","ENSG00000221978","CCNL2","lightcyan",0.762945314092878
"69","ENSG00000224870","RP4-758J18.2","grey60",0.278390013181034
"70","ENSG00000242485","MRPL20","grey60",0.469178954229259
"71","ENSG00000264293","RN7SL657P","skyblue",0.596177415648137
"72","ENSG00000272455","ENSG00000272455","darkturquoise",0.550518694644386
"73","ENSG00000235098","ANKRD65","lightcyan",0.56908280661301
"74","ENSG00000225905","RP4-758J18.7","darkturquoise",0.421237944521038
"75","ENSG00000205116","TMEM88B","darkturquoise",0.374246441097354
"76","ENSG00000225285","RP4-758J18.10","lightcyan",0.653876742949922
"77","ENSG00000179403","VWA1","lightcyan",0.752155846188278
"78","ENSG00000215915","ATAD3C","lightcyan",0.543546329040549
"79","ENSG00000160072","ATAD3B","grey60",0.584552689184123
"80","ENSG00000197785","ATAD3A","greenyellow",0.700694440822166
"81","ENSG00000205090","TMEM240","royalblue",0.710002300771147
"82","ENSG00000160075","SSU72","magenta",0.504873391572475
"83","ENSG00000215791","AL645728.2","grey60",0.451339129409434
"84","ENSG00000215014","AL645728.1","turquoise",0.700658350021987
"85","ENSG00000228594","C1orf233","greenyellow",0.773402394859468
"86","ENSG00000272106","ENSG00000272106","grey60",0.606406442338877
"87","ENSG00000197530","MIB2","royalblue",0.746933296309175
"88","ENSG00000189409","MMP23B","darkturquoise",0.610200377144304
"89","ENSG00000248333","CDK11B","magenta",0.500056549505238
"90","ENSG00000272004","ENSG00000272004","royalblue",0.294906281500348
"91","ENSG00000189339","SLC35E2B","royalblue",0.685001322639372
"92","ENSG00000269227","RP11-345P4.6","skyblue",0.377849623437098
"93","ENSG00000215914","MMP23A","black",0.36409599245085
"94","ENSG00000008128","CDK11A","grey60",0.382318436884532
"95","ENSG00000268575","RP1-283E3.8","grey60",0.412312793316978
"96","ENSG00000227775","RP1-283E3.4","royalblue",0.590306839099015
"97","ENSG00000215790","SLC35E2","royalblue",0.539177593601101
"98","ENSG00000008130","NADK","royalblue",0.769981952042571
"99","ENSG00000078369","GNB1","blue",0.877490282493364
"100","ENSG00000231050","RP1-140A9.1","white",0.498258587976311
"101","ENSG00000169885","CALML6","grey60",0.6323570375283
"102","ENSG00000178821","TMEM52","grey60",0.538367161095153
"103","ENSG00000142609","C1orf222","lightyellow",0.791426906978584
"104","ENSG00000233542","RP11-547D24.1","greenyellow",0.537352825834158
"105","ENSG00000187730","GABRD","greenyellow",0.806749674175621
"106","ENSG00000226969","RP11-547D24.3","lightyellow",0.625916862179766
"107","ENSG00000067606","PRKCZ","brown",0.792501244870518
"108","ENSG00000271806","ENSG00000271806","brown",0.858964553187782
"109","ENSG00000182873","RP11-181G12.2","magenta",0.468829563068835
"110","ENSG00000162585","C1orf86","magenta",0.715217537646549
"111","ENSG00000269554","AL590822.2","grey60",0.459741698359135
"112","ENSG00000157933","SKI","darkturquoise",0.84350241465851
"113","ENSG00000116151","MORN1","lightyellow",0.806558759633845
"114","ENSG00000272161","ENSG00000272161","magenta",0.454196209180775
"115","ENSG00000269753","AL589739.1","white",0.194886805345427
"116","ENSG00000272420","ENSG00000272420","skyblue",0.376552809883125
"117","ENSG00000271921","ENSG00000271921","magenta",0.416129198366414
"118","ENSG00000271847","ENSG00000271847","white",0.693612499723233
"119","ENSG00000178642","AL513477.1","white",0.783983813197939
"120","ENSG00000157916","RER1","lightyellow",0.71073699129646
"121","ENSG00000157911","PEX10","white",0.620011495584718
"122","ENSG00000149527","PLCH2","darkturquoise",0.582892890667084
