"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","cyan",TRUE,0.0466,161,540,16,0.03,0.099,"GO:0031570","BP",12,"DNA integrity checkpoint",1,"CNOT3,WDR76,CLSPN,CDC6,E2F1,MIR4741,GML,TICRR,STRA8,KIAA1967,BRSK1,CDT1,RHNO1,RAD9A,H2AFX,HUS1B",6.57380446822319
"2","cyan",TRUE,0.000639,17,540,7,0.013,0.412,"GO:0000076","BP",12,"DNA replication checkpoint",2,"CLSPN,CDC6,TICRR,STRA8,CDT1,RAD9A,HUS1B",9.18702056665457
"3","cyan",TRUE,0.0288,5066,540,191,0.354,0.038,"GO:0009059","BP",7,"macromolecule biosynthetic process",1,"UPF1,PAX6,PKD1,PPP5C,POLA2,HOXC8,RFC2,FOXP3,PTPRN,POLD1,MCM10,SPEN,SMARCD1,SMG6,BAZ2A,GTF3C1,CBFA2T2,CIC,SRCAP,ZNF324,ZNF446,ACHE,CNOT3,FUS,ZNF268,ORC6,RNF31,CLSPN,HDAC6,CDC6,HIRA,POLR2F,GTPBP1,E2F1,MIR4741,MON1B,AXIN1,ZNF500,RPAP1,ERCC2,MEGF8,GCK,LHX6,FGF8,HOXB6,DLX4,DBX1,CDX1,TLX2,OTX1,ZNF142,WDR77,ARID1A,ONECUT2,SFRP5,HOXB5,TAF12,ZSCAN20,HOXC11,RBPJL,AARS2,WNT1,FOXA2,NKX2-4,MCM8,ZNF384,SSX1,PRDM7,CHTF18,KDM4B,MIR1306,HOXD13,FXR2,POLN,GINS2,NUP210,BCAN,ARHGEF11,NASP,MEN1,NAT10,NKX2-1,SMARCC2,SETD1B,TICRR,ZSCAN32,CBX8,ERBB2,NLRP12,ZNF687,TARS2,FANCD2,DGKQ,STRA8,GINS4,VAX1,CPSF7,CC2D1B,ZKSCAN2,ALX3,BRPF1,EYA3,ZNF276,KIAA1967,IGF2BP1,RGS12,MCM3AP,SAFB,TONSL,FOXH1,MED11,GMEB1,GFI1,ZNF496,APEH,PRDM9,TBX20,PIGO,SSX3,OTX2,NSD1,ZNF319,MAPK7,KIAA0101,GOLGA2,DOLPP1,CDT1,CHAF1A,TK1,INSM2,FEN1,ZNF30,ZBTB49,HIC2,ZNF768,ZNF212,NFRKB,FOXA3,HOXB9,OTP,RHNO1,RRM2,RAD9A,HOXC5,KDM2A,ESRRA,HOXB2,ZCCHC12,GAL3ST3,ZNF77,UBE2O,CSTF3,POLE,TOP3A,FOXE1,TPRX1,CTC1,SAMD4B,LBX2,F2,HOXC10,HOXB4,ALG12,DMRTC1B,ZNF696,MYT1L,FOXD2,ZNF732,FANCA,SLC38A3,H2AFX,HMX3,NOC2L,SUPT5H,DMBX1,GPAA1,ZNF335,PRIM1,ZNF627,PPP1R10,ZFP57,ZNF316,ZNF99,MEF2B,SKOR2,ZNF324B,GLI4,RTEL1,TAF15,ENSG00000272333,HIST1H3B",2.38224768092529
"4","cyan",TRUE,0.019,4907,540,187,0.346,0.038,"GO:0034645","BP",7,"cellular macromolecule biosynthetic process",2,"UPF1,PAX6,PKD1,PPP5C,POLA2,HOXC8,RFC2,FOXP3,PTPRN,POLD1,MCM10,SPEN,SMARCD1,SMG6,BAZ2A,GTF3C1,CBFA2T2,CIC,SRCAP,ZNF324,ZNF446,ACHE,CNOT3,ZNF268,ORC6,RNF31,CLSPN,HDAC6,CDC6,HIRA,POLR2F,GTPBP1,E2F1,MIR4741,AXIN1,ZNF500,RPAP1,ERCC2,MEGF8,GCK,LHX6,FGF8,HOXB6,DLX4,DBX1,CDX1,TLX2,OTX1,ZNF142,WDR77,ARID1A,ONECUT2,SFRP5,HOXB5,TAF12,ZSCAN20,HOXC11,RBPJL,AARS2,WNT1,FOXA2,NKX2-4,MCM8,ZNF384,SSX1,PRDM7,CHTF18,KDM4B,MIR1306,HOXD13,FXR2,POLN,GINS2,BCAN,ARHGEF11,NASP,MEN1,NAT10,NKX2-1,SMARCC2,SETD1B,TICRR,ZSCAN32,CBX8,ERBB2,NLRP12,ZNF687,TARS2,FANCD2,DGKQ,STRA8,GINS4,VAX1,CPSF7,CC2D1B,ZKSCAN2,ALX3,BRPF1,EYA3,ZNF276,KIAA1967,IGF2BP1,RGS12,MCM3AP,SAFB,TONSL,FOXH1,MED11,GMEB1,GFI1,ZNF496,APEH,PRDM9,TBX20,PIGO,SSX3,OTX2,NSD1,ZNF319,MAPK7,KIAA0101,GOLGA2,DOLPP1,CDT1,CHAF1A,TK1,INSM2,FEN1,ZNF30,ZBTB49,HIC2,ZNF768,ZNF212,NFRKB,FOXA3,HOXB9,OTP,RHNO1,RRM2,RAD9A,HOXC5,KDM2A,ESRRA,HOXB2,ZCCHC12,GAL3ST3,ZNF77,UBE2O,CSTF3,POLE,TOP3A,FOXE1,TPRX1,CTC1,SAMD4B,LBX2,HOXC10,HOXB4,ALG12,DMRTC1B,ZNF696,MYT1L,FOXD2,ZNF732,FANCA,SLC38A3,H2AFX,HMX3,NOC2L,SUPT5H,DMBX1,GPAA1,ZNF335,PRIM1,ZNF627,PPP1R10,ZFP57,ZNF316,ZNF99,MEF2B,SKOR2,ZNF324B,GLI4,RTEL1,TAF15,ENSG00000272333,HIST1H3B",2.43525098344542
"5","cyan",TRUE,0.00535,6134,540,228,0.422,0.037,"GO:1901360","BP",7,"organic cyclic compound metabolic process",1,"UPF1,PAX6,PKD1,PPP5C,POLA2,ATP6V0A1,METTL1,HOXC8,EDC4,RFC2,FOXP3,PTPRN,POLD1,MCM10,SPEN,SMARCD1,SMG6,BAZ2A,GTF3C1,CBFA2T2,CIC,KIF22,SRCAP,ZNF324,ZNF446,RAD54L,ACHE,CNOT3,FUS,ZNF268,ORC6,RNF31,CLSPN,HDAC6,CDC6,UPB1,HIRA,POLR2F,GTPBP1,DHRS2,E2F1,MIR4741,USB1,MON1B,AXIN1,ZNF500,RPAP1,ERCC2,APLP1,MEGF8,PRPF31,SLC5A5,GCK,LHX6,FGF8,HOXB6,DLX4,DBX1,PRPF40B,FANCE,CDX1,TLX2,HTRA2,OTX1,ZNF142,WDR77,ARID1A,ONECUT2,SFRP5,HOXB5,TEX11,TAF12,ZSCAN20,HOXC11,RBPJL,AARS2,WNT1,FOXA2,NKX2-4,MCM8,ZNF384,SSX1,PRDM7,CHTF18,KDM4B,MIR1306,HOXD13,UCK1,POLN,AAR2,GINS2,NUP210,ARHGEF11,NASP,PDE6B,MEN1,NAT10,PAN2,NKX2-1,DUOX1,AMDHD1,SMARCC2,SETD1B,DUOXA2,DUOX2,SLC27A2,CYP1A1,TICRR,ZSCAN32,CBX8,ERBB2,NLRP12,ZNF687,TARS2,DQX1,COPS7B,FANCD2,DGKQ,STRA8,GINS4,VAX1,CPSF7,DHX37,CC2D1B,ZKSCAN2,ALX3,BRPF1,EYA3,ZNF276,KIAA1967,M1AP,RGS12,WDR4,MCM3AP,SAFB,TONSL,FOXH1,MED11,GMEB1,GFI1,ZNF496,UVSSA,EXO5,PRDM9,TBX20,USP49,SSX3,OTX2,NSD1,AMN,ZNF319,MAPK7,KIAA0101,CDT1,CHAF1A,TK1,INSM2,FEN1,ZNF30,ZBTB49,HIC2,RBMY1F,ZNF768,ZNF212,NFRKB,FOXA3,HOXB9,TRH,OTP,RHNO1,RRM2,RAD9A,HOXC5,KDM2A,ESRRA,HOXB2,ZCCHC12,ZNF77,UBE2O,CSTF3,ATAD5,POLE,TOP3A,FOXE1,PFAS,TPRX1,CTC1,SAMD4B,LBX2,PLD6,HOXC10,AEN,HOXB4,HDDC3,DMRTC1B,ZNF696,MYT1L,FOXD2,ZNF732,FANCA,SLC38A3,H2AFX,HMX3,NOC2L,HUS1B,SUPT5H,CYP2F1,DMBX1,ZNF335,PRIM1,ZNF627,PPP1R10,ZFP57,ZNF316,ZNF99,MEF2B,SKOR2,FANCG,RBMY1A1,PI4KA,RBMY1E,RBMY1B,ZNF324B,GLI4,RTEL1,TAF15,ENSG00000272333,HIST1H3B",2.09634866986716
"6","cyan",TRUE,0.00732,5897,540,220,0.407,0.037,"GO:0046483","BP",7,"heterocycle metabolic process",1,"UPF1,PAX6,PKD1,PPP5C,POLA2,ATP6V0A1,METTL1,HOXC8,EDC4,RFC2,FOXP3,PTPRN,POLD1,MCM10,SPEN,SMARCD1,SMG6,BAZ2A,GTF3C1,CBFA2T2,CIC,KIF22,SRCAP,ZNF324,ZNF446,RAD54L,ACHE,CNOT3,FUS,ZNF268,ORC6,RNF31,CLSPN,HDAC6,CDC6,UPB1,HIRA,POLR2F,GTPBP1,E2F1,MIR4741,USB1,MON1B,AXIN1,ZNF500,RPAP1,ERCC2,APLP1,MEGF8,PRPF31,GCK,LHX6,FGF8,HOXB6,DLX4,DBX1,PRPF40B,FANCE,CDX1,TLX2,OTX1,ZNF142,WDR77,ARID1A,ONECUT2,SFRP5,HOXB5,TEX11,TAF12,ZSCAN20,HOXC11,RBPJL,AARS2,WNT1,FOXA2,NKX2-4,MCM8,ZNF384,SSX1,PRDM7,CHTF18,KDM4B,MIR1306,HOXD13,UCK1,POLN,AAR2,GINS2,NUP210,ARHGEF11,NASP,PDE6B,MEN1,NAT10,PAN2,NKX2-1,AMDHD1,SMARCC2,SETD1B,CYP1A1,TICRR,ZSCAN32,CBX8,ERBB2,NLRP12,ZNF687,TARS2,DQX1,COPS7B,FANCD2,DGKQ,STRA8,GINS4,VAX1,CPSF7,DHX37,CC2D1B,ZKSCAN2,ALX3,BRPF1,EYA3,ZNF276,KIAA1967,M1AP,RGS12,WDR4,MCM3AP,SAFB,TONSL,FOXH1,MED11,GMEB1,GFI1,ZNF496,UVSSA,EXO5,PRDM9,TBX20,USP49,SSX3,OTX2,NSD1,AMN,ZNF319,MAPK7,KIAA0101,CDT1,CHAF1A,TK1,INSM2,FEN1,ZNF30,ZBTB49,HIC2,RBMY1F,ZNF768,ZNF212,NFRKB,FOXA3,HOXB9,TRH,OTP,RHNO1,RRM2,RAD9A,HOXC5,KDM2A,ESRRA,HOXB2,ZCCHC12,ZNF77,UBE2O,CSTF3,ATAD5,POLE,TOP3A,FOXE1,PFAS,TPRX1,CTC1,SAMD4B,LBX2,PLD6,HOXC10,AEN,HOXB4,HDDC3,DMRTC1B,ZNF696,MYT1L,FOXD2,ZNF732,FANCA,SLC38A3,H2AFX,HMX3,NOC2L,HUS1B,SUPT5H,DMBX1,ZNF335,PRIM1,ZNF627,PPP1R10,ZFP57,ZNF316,ZNF99,MEF2B,SKOR2,FANCG,RBMY1A1,PI4KA,RBMY1E,RBMY1B,ZNF324B,GLI4,RTEL1,TAF15,ENSG00000272333,HIST1H3B",2.14161737953607
"7","cyan",TRUE,0.00127,5931,540,225,0.417,0.038,"GO:0006725","BP",7,"cellular aromatic compound metabolic process",1,"UPF1,PAX6,PKD1,PPP5C,POLA2,ATP6V0A1,METTL1,HOXC8,EDC4,RFC2,FOXP3,PTPRN,POLD1,MCM10,SPEN,SMARCD1,SMG6,BAZ2A,GTF3C1,CBFA2T2,CIC,KIF22,SRCAP,ZNF324,ZNF446,RAD54L,ACHE,CNOT3,FUS,ZNF268,ORC6,RNF31,CLSPN,HDAC6,CDC6,UPB1,HIRA,POLR2F,GTPBP1,E2F1,MIR4741,USB1,MON1B,AXIN1,ZNF500,RPAP1,ERCC2,APLP1,MEGF8,PRPF31,SLC5A5,GCK,LHX6,FGF8,HOXB6,DLX4,DBX1,PRPF40B,FANCE,CDX1,TLX2,OTX1,ZNF142,WDR77,ARID1A,ONECUT2,SFRP5,HOXB5,TEX11,TAF12,ZSCAN20,HOXC11,RBPJL,AARS2,WNT1,FOXA2,NKX2-4,MCM8,ZNF384,SSX1,PRDM7,CHTF18,KDM4B,MIR1306,HOXD13,UCK1,POLN,AAR2,GINS2,NUP210,ARHGEF11,NASP,PDE6B,MEN1,NAT10,PAN2,NKX2-1,DUOX1,AMDHD1,SMARCC2,SETD1B,DUOXA2,DUOX2,CYP1A1,TICRR,ZSCAN32,CBX8,ERBB2,NLRP12,ZNF687,TARS2,DQX1,COPS7B,FANCD2,DGKQ,STRA8,GINS4,VAX1,CPSF7,DHX37,CC2D1B,ZKSCAN2,ALX3,BRPF1,EYA3,ZNF276,KIAA1967,M1AP,RGS12,WDR4,MCM3AP,SAFB,TONSL,FOXH1,MED11,GMEB1,GFI1,ZNF496,UVSSA,EXO5,PRDM9,TBX20,USP49,SSX3,OTX2,NSD1,AMN,ZNF319,MAPK7,KIAA0101,CDT1,CHAF1A,TK1,INSM2,FEN1,ZNF30,ZBTB49,HIC2,RBMY1F,ZNF768,ZNF212,NFRKB,FOXA3,HOXB9,TRH,OTP,RHNO1,RRM2,RAD9A,HOXC5,KDM2A,ESRRA,HOXB2,ZCCHC12,ZNF77,UBE2O,CSTF3,ATAD5,POLE,TOP3A,FOXE1,PFAS,TPRX1,CTC1,SAMD4B,LBX2,PLD6,HOXC10,AEN,HOXB4,HDDC3,DMRTC1B,ZNF696,MYT1L,FOXD2,ZNF732,FANCA,SLC38A3,H2AFX,HMX3,NOC2L,HUS1B,SUPT5H,CYP2F1,DMBX1,ZNF335,PRIM1,ZNF627,PPP1R10,ZFP57,ZNF316,ZNF99,MEF2B,SKOR2,FANCG,RBMY1A1,PI4KA,RBMY1E,RBMY1B,ZNF324B,GLI4,RTEL1,TAF15,ENSG00000272333,HIST1H3B",2.13621682635607
"8","cyan",TRUE,0.00451,5731,540,216,0.4,0.038,"GO:0006139","BP",7,"nucleobase-containing compound metabolic process",2,"UPF1,PAX6,PKD1,PPP5C,POLA2,ATP6V0A1,METTL1,HOXC8,EDC4,RFC2,FOXP3,PTPRN,POLD1,MCM10,SPEN,SMARCD1,SMG6,BAZ2A,GTF3C1,CBFA2T2,CIC,KIF22,SRCAP,ZNF324,ZNF446,RAD54L,ACHE,CNOT3,FUS,ZNF268,ORC6,RNF31,CLSPN,HDAC6,CDC6,UPB1,HIRA,POLR2F,GTPBP1,E2F1,MIR4741,USB1,MON1B,AXIN1,ZNF500,RPAP1,ERCC2,APLP1,MEGF8,PRPF31,GCK,LHX6,FGF8,HOXB6,DLX4,DBX1,PRPF40B,FANCE,CDX1,TLX2,OTX1,ZNF142,WDR77,ARID1A,ONECUT2,SFRP5,HOXB5,TEX11,TAF12,ZSCAN20,HOXC11,RBPJL,AARS2,WNT1,FOXA2,NKX2-4,MCM8,ZNF384,SSX1,PRDM7,CHTF18,KDM4B,MIR1306,HOXD13,UCK1,POLN,AAR2,GINS2,NUP210,ARHGEF11,NASP,PDE6B,MEN1,NAT10,PAN2,NKX2-1,SMARCC2,SETD1B,TICRR,ZSCAN32,CBX8,ERBB2,NLRP12,ZNF687,TARS2,DQX1,COPS7B,FANCD2,DGKQ,STRA8,GINS4,VAX1,CPSF7,DHX37,CC2D1B,ZKSCAN2,ALX3,BRPF1,EYA3,ZNF276,KIAA1967,M1AP,RGS12,WDR4,MCM3AP,SAFB,TONSL,FOXH1,MED11,GMEB1,GFI1,ZNF496,UVSSA,EXO5,PRDM9,TBX20,USP49,SSX3,OTX2,NSD1,ZNF319,MAPK7,KIAA0101,CDT1,CHAF1A,TK1,INSM2,FEN1,ZNF30,ZBTB49,HIC2,RBMY1F,ZNF768,ZNF212,NFRKB,FOXA3,HOXB9,OTP,RHNO1,RRM2,RAD9A,HOXC5,KDM2A,ESRRA,HOXB2,ZCCHC12,ZNF77,UBE2O,CSTF3,ATAD5,POLE,TOP3A,FOXE1,PFAS,TPRX1,CTC1,SAMD4B,LBX2,PLD6,HOXC10,AEN,HOXB4,HDDC3,DMRTC1B,ZNF696,MYT1L,FOXD2,ZNF732,FANCA,SLC38A3,H2AFX,HMX3,NOC2L,HUS1B,SUPT5H,DMBX1,ZNF335,PRIM1,ZNF627,PPP1R10,ZFP57,ZNF316,ZNF99,MEF2B,SKOR2,FANCG,RBMY1A1,PI4KA,RBMY1E,RBMY1B,ZNF324B,GLI4,RTEL1,TAF15,ENSG00000272333,HIST1H3B",2.1681073240248
"9","cyan",TRUE,1.45e-05,5103,540,208,0.385,0.041,"GO:0090304","BP",7,"nucleic acid metabolic process",3,"UPF1,PAX6,PKD1,PPP5C,POLA2,METTL1,HOXC8,EDC4,RFC2,FOXP3,PTPRN,POLD1,MCM10,SPEN,SMARCD1,SMG6,BAZ2A,GTF3C1,CBFA2T2,CIC,KIF22,SRCAP,ZNF324,ZNF446,RAD54L,ACHE,CNOT3,FUS,ZNF268,ORC6,RNF31,CLSPN,HDAC6,CDC6,HIRA,POLR2F,GTPBP1,E2F1,MIR4741,USB1,MON1B,AXIN1,ZNF500,RPAP1,ERCC2,MEGF8,PRPF31,LHX6,FGF8,HOXB6,DLX4,DBX1,PRPF40B,FANCE,CDX1,TLX2,OTX1,ZNF142,WDR77,ARID1A,ONECUT2,SFRP5,HOXB5,TEX11,TAF12,ZSCAN20,HOXC11,RBPJL,AARS2,WNT1,FOXA2,NKX2-4,MCM8,ZNF384,SSX1,PRDM7,CHTF18,KDM4B,MIR1306,HOXD13,POLN,AAR2,GINS2,NUP210,ARHGEF11,NASP,MEN1,NAT10,PAN2,NKX2-1,SMARCC2,SETD1B,TICRR,ZSCAN32,CBX8,ERBB2,NLRP12,ZNF687,TARS2,DQX1,COPS7B,FANCD2,DGKQ,STRA8,GINS4,VAX1,CPSF7,DHX37,CC2D1B,ZKSCAN2,ALX3,BRPF1,EYA3,ZNF276,KIAA1967,M1AP,RGS12,WDR4,MCM3AP,SAFB,TONSL,FOXH1,MED11,GMEB1,GFI1,ZNF496,UVSSA,EXO5,PRDM9,TBX20,USP49,SSX3,OTX2,NSD1,ZNF319,MAPK7,KIAA0101,CDT1,CHAF1A,TK1,INSM2,FEN1,ZNF30,ZBTB49,HIC2,RBMY1F,ZNF768,ZNF212,NFRKB,FOXA3,HOXB9,OTP,RHNO1,RRM2,RAD9A,HOXC5,KDM2A,ESRRA,HOXB2,ZCCHC12,ZNF77,UBE2O,CSTF3,ATAD5,POLE,TOP3A,FOXE1,TPRX1,CTC1,SAMD4B,LBX2,PLD6,HOXC10,AEN,HOXB4,DMRTC1B,ZNF696,MYT1L,FOXD2,ZNF732,FANCA,SLC38A3,H2AFX,HMX3,NOC2L,HUS1B,SUPT5H,DMBX1,ZNF335,PRIM1,ZNF627,PPP1R10,ZFP57,ZNF316,ZNF99,MEF2B,SKOR2,FANCG,RBMY1A1,PI4KA,RBMY1E,RBMY1B,ZNF324B,GLI4,RTEL1,TAF15,ENSG00000272333,HIST1H3B",2.2717223785017
"10","cyan",TRUE,0.000196,792,540,51,0.094,0.064,"GO:0006974","BP",7,"cellular response to DNA damage stimulus",1,"UPF1,PPP5C,RFC2,POLD1,MCM10,KIF22,RAD54L,CNOT3,WDR76,CLSPN,POLR2F,E2F1,MIR4741,GML,ERCC2,FANCE,HTRA2,WNT1,MCM8,POLN,GINS2,CASP9,MEN1,TICRR,CBX8,COPS7B,FANCD2,GINS4,EYA3,KIAA1967,BRSK1,TONSL,UVSSA,EXO5,KIAA0101,CHAF1A,FEN1,NFRKB,RHNO1,RAD9A,KDM2A,ATAD5,POLE,TOP3A,CTC1,AEN,FANCA,H2AFX,HUS1B,FANCG,RTEL1",4.3541458180247
