"","InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"1","greenyellow","105976_REACTOME_Eukaryotic_Translation_Elongation__Reactome_NCBI_Biosystems","PW_Lists",4.75847494506271e-127
"2","greenyellow","160955_REACTOME_L13a-mediated_translational_silencing_of_Ceruloplasmin_expression__Reactome_NCBI_Biosystems","PW_Lists",1.8090154794524e-126
"3","greenyellow","413404_KEGG_Ribosome,_eukaryotes__Kegg_NCBI_Biosystems","PW_Lists",6.26268036458407e-126
"4","greenyellow","105968_REACTOME_Formation_of_a_pool_of_free_40S_subunits__Reactome_NCBI_Biosystems","PW_Lists",1.92698139480679e-125
"5","greenyellow","441_KEGG_Ribosome__Kegg_NCBI_Biosystems","PW_Lists",5.26518939798889e-125
"6","greenyellow","83036_KEGG_Ribosome__Kegg_NCBI_Biosystems","PW_Lists",5.26518939798889e-125
"7","greenyellow","105973_REACTOME_GTP_hydrolysis_and_joining_of_the_60S_ribosomal_subunit__Reactome_NCBI_Biosystems","PW_Lists",1.94204196630261e-123
"8","greenyellow","105977_REACTOME_Peptide_chain_elongation__Reactome_NCBI_Biosystems","PW_Lists",2.91962292272433e-123
"9","greenyellow","105966_REACTOME_Eukaryotic_Translation_Initiation__Reactome_NCBI_Biosystems","PW_Lists",5.81241215432845e-122
"10","greenyellow","105967_REACTOME_Cap-dependent_Translation_Initiation__Reactome_NCBI_Biosystems","PW_Lists",5.81241215432845e-122
"11","greenyellow","105965_REACTOME_Translation__Reactome_NCBI_Biosystems","PW_Lists",1.7819592817679e-121
"12","greenyellow","105978_REACTOME_Eukaryotic_Translation_Termination__Reactome_NCBI_Biosystems","PW_Lists",7.02878676341032e-118
"13","greenyellow","106077_REACTOME_Viral_mRNA_Translation__Reactome_NCBI_Biosystems","PW_Lists",7.02878676341032e-118
"14","greenyellow","198853_WikiPathways_Cytoplasmic_Ribosomal_Proteins__Wiki_Pathways_NCBI_Biosystems","PW_Lists",7.02878676341032e-118
"15","greenyellow","366242_REACTOME_Nonsense_Mediated_Decay_Independent_of_the_Exon_Junction_Complex__Reactome_NCBI_Biosystems","PW_Lists",8.14730676909184e-117
"16","greenyellow","salmon_M12_Ribosome__HumanMeta","Brain",1.14403517047353e-114
"17","greenyellow","366240_REACTOME_Nonsense-Mediated_Decay__Reactome_NCBI_Biosystems","PW_Lists",4.08363368903924e-111
"18","greenyellow","366241_REACTOME_Nonsense_Mediated_Decay_Enhanced_by_the_Exon_Junction_Complex__Reactome_NCBI_Biosystems","PW_Lists",4.08363368903924e-111
"19","greenyellow","106074_REACTOME_Influenza_Viral_RNA_Transcription_and_Replication__Reactome_NCBI_Biosystems","PW_Lists",4.16049256334838e-110
"20","greenyellow","530746_REACTOME_SRP-dependent_cotranslational_protein_targeting_to_membrane__Reactome_NCBI_Biosystems","PW_Lists",7.92243172132949e-109
"21","greenyellow","106067_REACTOME_Influenza_Infection__Reactome_NCBI_Biosystems","PW_Lists",5.57332144752429e-96
"22","greenyellow","106068_REACTOME_Influenza_Life_Cycle__Reactome_NCBI_Biosystems","PW_Lists",2.91082109023668e-95
"23","greenyellow","106230_REACTOME_Metabolism_of_proteins__Reactome_NCBI_Biosystems","PW_Lists",3.02696722134944e-85
"24","greenyellow","105937_REACTOME_Gene_Expression__Reactome_NCBI_Biosystems","PW_Lists",4.68061736848906e-60
"25","greenyellow","530764_REACTOME_Disease__Reactome_NCBI_Biosystems","PW_Lists",1.58913813541401e-52
"26","greenyellow","105971_REACTOME_Translation_initiation_complex_formation__Reactome_NCBI_Biosystems","PW_Lists",3.72192320697472e-51
"27","greenyellow","105970_REACTOME_Activation_of_the_mRNA_upon_binding_of_the_cap-binding_complex_and_eIFs,_and_subsequent_binding_to_43S__Reactome_NCBI_Biosystems","PW_Lists",1.03261506115811e-50
"28","greenyellow","105969_REACTOME_Formation_of_the_ternary_complex,_and_subsequently,_the_43S_complex__Reactome_NCBI_Biosystems","PW_Lists",4.11458161391042e-50
"29","greenyellow","105972_REACTOME_Ribosomal_scanning_and_start_codon_recognition__Reactome_NCBI_Biosystems","PW_Lists",5.16600781763197e-49
"30","purple","cyan_M4_Mitochondria__MouseMeta","Brain",1.04894783337656e-46
"31","darkolivegreen","brown_downAD_mitochondrion__Blalock_AD","Brain",1.84031318675984e-45
"32","darkolivegreen","red_M11_Neuron__HumanMeta","Brain",1.72323873543844e-39
"33","sienna3","Substantia Nigra, pars reticulata_localMarker(top200)_IN_Mesencephalon__HBA","HumanBrainRegions",4.03890468834113e-39
"34","darkolivegreen","6201_mito_db_pad_2664__Palazzolo_and_Wang","PW_Lists",2.91862067342423e-38
"35","darkolivegreen","477135_REACTOME_Metabolism__Reactome_NCBI_Biosystems","PW_Lists",2.8284192386563e-36
"36","darkolivegreen","DownWithAlzheimers_Liang__ADvsCT_inCA1","Brain",3.82327082341116e-36
"37","greenyellow","upWithABeta_MGactivation_GSE772__MicrogialMarkers","Brain",9.70406124260278e-35
"38","sienna3","pink_M10_Microglia(Type1)__HumanMeta","Brain",4.00744458541615e-33
"39","darkolivegreen","Annotated_genes_bound_by_RNA_polymerase_II_(Table_S2)__Lee","StemCells",5.38168839785539e-31
"40","purple","cyan_M4_Mitochondria__HumanMeta","Brain",1.21377069603104e-30
"41","darkolivegreen","132956_KEGG_Metabolic_pathways__Kegg_NCBI_Biosystems","PW_Lists",7.39556143273762e-30
