"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","darkmagenta",TRUE,0.0101,4,192,3,0.016,0.75,"GO:0097167","BP",2,"circadian regulation of translation",1,"PER2,HNRNPD,RBM4",10.4397835351499
"2","darkmagenta",TRUE,0.0132,9000,192,123,0.641,0.014,"GO:0043170","BP",1,"macromolecule metabolic process",1,"CFLAR,JARID2,CRY1,HIVEP2,MIR614,WWC3,USP36,PRDM1,MXD1,CDK17,KLF6,MEF2A,MAPK6,PICALM,MARK3,UIMC1,CCNK,HNRNPH3,GTPBP1,ARMCX3,PDCD5,ERF,SERPINE1,MRPL32,KANK1,MAP3K8,PTP4A1,TRIM38,SRF,PAPD7,CPEB4,ERRFI1,SRSF4,GADD45A,RLF,CCND2,SENP5,PTBP3,NR4A3,SOCS2,PPP3CC,HNRNPA2B1,CDK2,DDX27,LRRFIP1,BMP2,LIF,ZNF331,RLIM,PER2,KDM6B,CCNA1,CCNH,MIR3605,HNRNPA1,AHI1,TRA2B,SKIL,THBS1,HNRNPD,SIK1,EPHA2,CSRNP1,MED12L,WTAP,MRRF,PDK1,USP12,TBRG1,LONRF1,SH3RF1,RABGEF1,ELMSAN1,BRAF,LMNA,ZNF394,REL,H3F3A,YY1AP1,ATXN7,TIPARP,CCNL1,ZC3H12A,MIR7-1,PIGA,TAF1D,NDEL1,NAB2,SMAD3,NFKBID,LIMS1,HNRNPA3,SIK2,LONRF2,SERPINB9,ASXL1,PARP14,ZBTB21,PPP1R3B,PLK3,RBM4,CSTF3,B3GNT5,SUMO4,ERN1,APOLD1,ZBTB20,DUSP8,MAFF,ZNF267,DCUN1D3,HUS1B,TSC22D2,PELI1,ZNF841,ZNF460,F5,SMURF1,SMN2,CSNK1E,UBE2V1,EID3,XX-FW81066F1.2",1.48452897992254
"3","darkmagenta",TRUE,0.000482,5066,192,85,0.443,0.017,"GO:0009059","BP",1,"macromolecule biosynthetic process",2,"CFLAR,JARID2,CRY1,HIVEP2,WWC3,PRDM1,MXD1,KLF6,MEF2A,PICALM,UIMC1,CCNK,GTPBP1,ARMCX3,ERF,SERPINE1,MRPL32,KANK1,TRIM38,SRF,PAPD7,CPEB4,ERRFI1,SRSF4,RLF,NR4A3,HNRNPA2B1,CDK2,LRRFIP1,BMP2,LIF,ZNF331,RLIM,PER2,KDM6B,CCNA1,CCNH,HNRNPA1,AHI1,SKIL,THBS1,HNRNPD,SIK1,CSRNP1,MED12L,MRRF,TBRG1,ELMSAN1,LMNA,ZNF394,REL,H3F3A,YY1AP1,ATXN7,TIPARP,CCNL1,ZC3H12A,MIR7-1,PIGA,TAF1D,NAB2,SMAD3,NFKBID,LIMS1,ASXL1,PARP14,ZBTB21,PPP1R3B,PLK3,RBM4,CSTF3,B3GNT5,ERN1,ZBTB20,MAFF,ZNF267,TSC22D2,PELI1,ZNF841,ZNF460,SMURF1,SMN2,UBE2V1,EID3,XX-FW81066F1.2",2.38224768092529
"4","darkmagenta",TRUE,0.000117,5257,192,89,0.464,0.017,"GO:0010467","BP",1,"gene expression",2,"CFLAR,JARID2,CRY1,HIVEP2,WWC3,PRDM1,MXD1,KLF6,MEF2A,PICALM,UIMC1,CCNK,HNRNPH3,GTPBP1,ARMCX3,PDCD5,ERF,SERPINE1,MRPL32,KANK1,TRIM38,SRF,CPEB4,SRSF4,RLF,PTBP3,NR4A3,HNRNPA2B1,CDK2,DDX27,LRRFIP1,BMP2,LIF,ZNF331,RLIM,PER2,KDM6B,CCNA1,CCNH,HNRNPA1,AHI1,TRA2B,SKIL,THBS1,HNRNPD,SIK1,CSRNP1,MED12L,WTAP,MRRF,ELMSAN1,BRAF,LMNA,ZNF394,REL,H3F3A,YY1AP1,ATXN7,TIPARP,CCNL1,ZC3H12A,MIR7-1,TAF1D,NAB2,SMAD3,NFKBID,LIMS1,HNRNPA3,SERPINB9,ASXL1,PARP14,ZBTB21,PLK3,RBM4,CSTF3,ERN1,ZBTB20,MAFF,ZNF267,TSC22D2,PELI1,ZNF841,ZNF460,SMURF1,SMN2,CSNK1E,UBE2V1,EID3,XX-FW81066F1.2",2.23716411165379
"5","darkmagenta",TRUE,0.00251,4572,192,77,0.401,0.017,"GO:0048519","BP",1,"negative regulation of biological process",1,"CFLAR,JARID2,CRY1,MIR614,WWC3,ARHGAP6,PRDM1,MXD1,MEF2A,PICALM,DLG3,UIMC1,CCNK,PDCD5,ERF,SERPINE1,KANK1,TRIM38,HECA,SRF,CPEB4,ERRFI1,SRSF4,GADD45A,CCND2,PTBP3,NR4A3,SOCS2,HNRNPA2B1,CDK2,LRRFIP1,BMP2,LIF,SEC14L1,RLIM,PER2,HNRNPA1,AHI1,TRA2B,SKIL,THBS1,HNRNPD,SIK1,EPHA2,MCL1,TBRG1,SH3RF1,BTG3,RABGEF1,RAB11FIP1,BRAF,LMNA,REL,H3F3A,YY1AP1,ATXN7,TIPARP,ZC3H12A,MIR7-1,NAB2,SMAD3,NFKBID,LIMS1,SERPINB9,ASXL1,PLK3,RBM4,GCSAM,ERN1,ZBTB20,DUSP8,DCUN1D3,HUS1B,SRGAP1,PELI1,SMURF1,CSNK1E",2.49733245991502
"6","darkmagenta",TRUE,0.0399,6134,192,91,0.474,0.015,"GO:1901360","BP",1,"organic cyclic compound metabolic process",1,"CFLAR,JARID2,CRY1,HIVEP2,WWC3,PRDM1,MXD1,KLF6,MEF2A,PICALM,DLG3,UIMC1,CCNK,HNRNPH3,GTPBP1,ARMCX3,ERF,SERPINE1,KANK1,TRIM38,SRF,PAPD7,SRSF4,GADD45A,RLF,SLC19A2,PTBP3,NR4A3,HNRNPA2B1,CDK2,DDX27,LRRFIP1,BMP2,LIF,ZNF331,RLIM,PER2,KDM6B,CCNA1,CCNH,HNRNPA1,AHI1,TRA2B,SKIL,THBS1,HNRNPD,SIK1,EPHA2,CSRNP1,MED12L,WTAP,SLC25A25,TBRG1,ELMSAN1,ADPGK,LMNA,ZNF394,REL,H3F3A,YY1AP1,ATXN7,CCNL1,ZC3H12A,MIR7-1,TAF1D,NAB2,SMAD3,NFKBID,LIMS1,HNRNPA3,ASXL1,PARP14,ZBTB21,PLK3,RBM4,CSTF3,ERN1,ZBTB20,MAFF,ZNF267,HUS1B,TSC22D2,PELI1,ZNF841,ZNF460,SMURF1,SMN2,CSNK1E,UBE2V1,EID3,XX-FW81066F1.2",2.09634866986716
"7","darkmagenta",TRUE,0.0246,4501,192,73,0.38,0.016,"GO:1901362","BP",1,"organic cyclic compound biosynthetic process",2,"CFLAR,JARID2,CRY1,HIVEP2,WWC3,PRDM1,MXD1,KLF6,MEF2A,PICALM,UIMC1,CCNK,ARMCX3,ERF,SERPINE1,KANK1,TRIM38,SRF,PAPD7,SRSF4,RLF,NR4A3,HNRNPA2B1,CDK2,LRRFIP1,BMP2,LIF,ZNF331,RLIM,PER2,KDM6B,CCNA1,CCNH,HNRNPA1,AHI1,SKIL,HNRNPD,SIK1,CSRNP1,MED12L,ELMSAN1,LMNA,ZNF394,REL,H3F3A,YY1AP1,ATXN7,CCNL1,ZC3H12A,MIR7-1,TAF1D,NAB2,SMAD3,NFKBID,LIMS1,ASXL1,PARP14,ZBTB21,PLK3,CSTF3,ERN1,ZBTB20,MAFF,ZNF267,TSC22D2,PELI1,ZNF841,ZNF460,SMURF1,SMN2,UBE2V1,EID3,XX-FW81066F1.2",2.57699769597771
"8","darkmagenta",TRUE,0.0479,10105,192,132,0.688,0.013,"GO:0044237","BP",1,"cellular metabolic process",1,"CFLAR,JARID2,CRY1,HIVEP2,MIR614,WWC3,USP36,PRDM1,MXD1,CDK17,KLF6,MEF2A,MAPK6,PICALM,MARK3,DLG3,UIMC1,CCNK,HNRNPH3,GTPBP1,ARMCX3,DGKH,PDCD5,ERF,SERPINE1,MRPL32,KANK1,MAP3K8,PTP4A1,TRIM38,SRF,PAPD7,CPEB4,GLS,ERRFI1,SRSF4,GADD45A,RLF,SLC19A2,CCND2,SENP5,PTBP3,NR4A3,SOCS2,PPP3CC,HNRNPA2B1,CDK2,DDX27,LRRFIP1,GPCPD1,BMP2,LIF,SAT1,ZNF331,RLIM,PER2,KDM6B,CCNA1,CCNH,MIR3605,SDS,HNRNPA1,AHI1,TRA2B,SKIL,THBS1,HNRNPD,SIK1,EPHA2,PIP5K1A,SLC20A1,CSRNP1,MED12L,WTAP,MRRF,SLC25A25,INPP1,PDK1,USP12,TBRG1,LONRF1,SH3RF1,RABGEF1,ELMSAN1,BRAF,ADPGK,LMNA,ZNF394,REL,H3F3A,YY1AP1,ATXN7,TIPARP,CCNL1,ZC3H12A,MIR7-1,PIGA,TAF1D,NAB2,SMAD3,NFKBID,LIMS1,HNRNPA3,SIK2,SERPINB9,ASXL1,PARP14,ZBTB21,PPP1R3B,PLK3,RBM4,CSTF3,B3GNT5,SUMO4,ERN1,ZBTB20,DUSP8,MAFF,ZNF267,DCUN1D3,HUS1B,TSC22D2,PELI1,ZNF841,ZNF460,SMURF1,SMN2,LYRM5,CSNK1E,UBE2V1,EID3,XX-FW81066F1.2",1.33189125738454
"9","darkmagenta",TRUE,0.00121,8276,192,119,0.62,0.014,"GO:0044260","BP",1,"cellular macromolecule metabolic process",2,"CFLAR,JARID2,CRY1,HIVEP2,MIR614,WWC3,USP36,PRDM1,MXD1,CDK17,KLF6,MEF2A,MAPK6,PICALM,MARK3,UIMC1,CCNK,HNRNPH3,GTPBP1,ARMCX3,PDCD5,ERF,SERPINE1,MRPL32,KANK1,MAP3K8,PTP4A1,TRIM38,SRF,PAPD7,CPEB4,ERRFI1,SRSF4,GADD45A,RLF,CCND2,SENP5,PTBP3,NR4A3,SOCS2,PPP3CC,HNRNPA2B1,CDK2,DDX27,LRRFIP1,BMP2,LIF,ZNF331,RLIM,PER2,KDM6B,CCNA1,CCNH,MIR3605,HNRNPA1,AHI1,TRA2B,SKIL,THBS1,HNRNPD,SIK1,EPHA2,CSRNP1,MED12L,WTAP,MRRF,PDK1,USP12,TBRG1,LONRF1,SH3RF1,RABGEF1,ELMSAN1,BRAF,LMNA,ZNF394,REL,H3F3A,YY1AP1,ATXN7,TIPARP,CCNL1,ZC3H12A,MIR7-1,PIGA,TAF1D,NAB2,SMAD3,NFKBID,LIMS1,HNRNPA3,SIK2,SERPINB9,ASXL1,PARP14,ZBTB21,PPP1R3B,PLK3,RBM4,CSTF3,B3GNT5,SUMO4,ERN1,ZBTB20,DUSP8,MAFF,ZNF267,DCUN1D3,HUS1B,TSC22D2,PELI1,ZNF841,ZNF460,SMURF1,SMN2,CSNK1E,UBE2V1,EID3,XX-FW81066F1.2",1.62152325167179
"10","darkmagenta",TRUE,0.0245,6428,192,95,0.495,0.015,"GO:0034641","BP",1,"cellular nitrogen compound metabolic process",2,"CFLAR,JARID2,CRY1,HIVEP2,WWC3,PRDM1,MXD1,KLF6,MEF2A,PICALM,DLG3,UIMC1,CCNK,HNRNPH3,GTPBP1,ARMCX3,ERF,SERPINE1,MRPL32,KANK1,TRIM38,SRF,PAPD7,CPEB4,SRSF4,GADD45A,RLF,SLC19A2,PTBP3,NR4A3,HNRNPA2B1,CDK2,DDX27,LRRFIP1,BMP2,LIF,SAT1,ZNF331,RLIM,PER2,KDM6B,CCNA1,CCNH,HNRNPA1,AHI1,TRA2B,SKIL,THBS1,HNRNPD,SIK1,EPHA2,CSRNP1,MED12L,WTAP,MRRF,SLC25A25,TBRG1,ELMSAN1,ADPGK,LMNA,ZNF394,REL,H3F3A,YY1AP1,ATXN7,CCNL1,ZC3H12A,MIR7-1,TAF1D,NAB2,SMAD3,NFKBID,LIMS1,HNRNPA3,ASXL1,PARP14,ZBTB21,PLK3,RBM4,CSTF3,ERN1,ZBTB20,MAFF,ZNF267,HUS1B,TSC22D2,PELI1,ZNF841,ZNF460,SMURF1,SMN2,CSNK1E,UBE2V1,EID3,XX-FW81066F1.2",2.0095653577481
