"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","magenta",TRUE,0.0228,79,133,7,0.053,0.089,"REAC:380287","rea",1,"Centrosome maturation",1,"OFD1,NINL,CEP164,NUMA1,PCNT,SFI1,HAUS5",NA
"2","magenta",TRUE,0.0228,79,133,7,0.053,0.089,"REAC:380270","rea",1,"Recruitment of mitotic centrosome proteins and complexes",2,"OFD1,NINL,CEP164,NUMA1,PCNT,SFI1,HAUS5",NA
"3","magenta",TRUE,0.0338,84,133,7,0.053,0.083,"REAC:5696399","rea",2,"Global Genome Nucleotide Excision Repair (GG-NER)",1,"ACTR5,PIAS3,ERCC5,COPS7B,ERCC3,POLE,GTF2H4",NA
"4","grey",TRUE,0.048,5083,432,157,0.363,0.031,"GO:0071944","CC",3,"cell periphery",1,"ABCC8,SCIN,ADIPOR2,NOS2,CACNA2D2,GIPR,ACPP,ADRB1,SLC9A7,TIE1,CA12,TACR2,PLXNA2,GPC4,CTTNBP2,CEACAM1,KCNN2,MAGI3,PKP1,DLG3,PILRA,ACHE,MT3,FXYD3,PACSIN2,PDGFB,UPK3A,RIMS4,PHEX,NALCN,HAS3,EHD4,JPH1,SLC5A5,MAG,GRB10,SH3GL2,ALDH3A1,DUSP3,SLC16A6,MMD,TMEM97,SLC26A8,PHACTR2,PRPH2,CLIC5,SLC4A9,PCDHB3,RASGRF2,WNT6,TPSG1,ABCG2,PPL,DENND1A,PCDHB8,OPN4,CIT,LYPD3,ABCC4,EFNB2,KDR,USP6,RIPK3,SYNE1,RFTN1,RAF1,SNAP25,LGR6,SPINK5,LRP4,KCNMB4,SCEL,SLC22A23,MYOF,PCDH10,ENPEP,VPS37B,IQGAP1,SLC47A1,EPHA2,ITGA9,SLC10A6,NLGN4X,RGS20,SLC43A1,ANO4,ASAP2,KCNE4,ELMO1,PSD3,MMP16,NRG2,F11R,CLIC6,SCUBE1,AZGP1,GRIN2C,GRIK2,NOS3,AVPR1A,RRAD,GPRC5B,MIR4687,CA4,KRT1,STK32A,SMAGP,KRT19,HDAC3,ADRA1D,ABCG4,TNFRSF10C,HEG1,SPTBN2,CNIH2,SEZ6L2,FUT1,MYO1D,LY6H,OR2T8,ZHX2,GPC5,CDH5,GPR157,MIR937,SLC2A4,P2RY8,IZUMO1,C2CD4C,SCN5A,NCMAP,GRK1,KRT5,BACE1,KRT14,PALM3,ZP3,SHISA6,GJB5,KAZN,CACNA1H,CNGA1,F5,CDC42BPB,NOTCH4,AGER,SLC44A4,CYS1,IGHE,CRCP,PCDHAC2,PCDHA10,PCDHA12,PCDHGA10,PCDHGB4,PCDHGB1,PCDHB16",2.07779832322015
"5","grey",TRUE,0.00382,462,432,29,0.067,0.063,"GO:0099503","CC",1,"secretory vesicle",1,"ICA1,ABCC8,CTTNBP2,MT3,CHGB,PDGFB,PCSK1N,SCG3,PHACTR2,VEGFA,ABCC4,SPINK2,SNAP25,SPINK5,PLA1A,TMEM163,ALB,PPBP,CA4,SCG2,SLC2A4,IZUMO1,ZNRF1,ZP3,TCTEX1D4,F5,DEFA3,CRCP,SPESP1",NA
"6","grey",TRUE,0.0293,355,432,23,0.053,0.065,"GO:0030141","CC",1,"secretory granule",1,"ICA1,CHGB,PDGFB,PCSK1N,SCG3,PHACTR2,VEGFA,ABCC4,SPINK2,SPINK5,PLA1A,ALB,PPBP,CA4,SCG2,SLC2A4,IZUMO1,ZP3,TCTEX1D4,F5,DEFA3,CRCP,SPESP1",5.21340878442696
"7","grey",TRUE,0.00987,9,225,4,0.018,0.444,"REAC:1368071","rea",2,"NR1D1 (REV-ERBA) represses gene expression",1,"NR1D1,ARNTL,NPAS2,HDAC3",NA
"8","blue",TRUE,2.36e-06,10975,778,537,0.69,0.049,"GO:0008152","BP",1,"metabolic process",1,"ENPP4,CFLAR,AK2,KDM1A,SLC25A13,CDC27,PHTF2,DBF4,AASS,TENM1,FAM76A,ZNF207,UFL1,SLC30A9,ZDHHC6,UBR2,HSF2,NUP160,NSUN2,TRIT1,WDR37,YTHDC2,TPR,SCML1,WWC3,LMO3,NFE2L3,MAPK9,ARID4B,ZNF280C,TARBP1,TAF2,TAF11,MAP2K4,FOXJ2,TRMT11,METTL22,RORA,PIGB,PTPN3,PTPN21,ING3,PDCD2,AFF4,CHFR,PDE8A,DPP8,ZNF532,RASAL2,MARK3,BAZ2A,KLHL20,DGKD,DNAJC10,FAM76B,PIAS2,MCCC1,SESN1,COL4A4,KIAA0141,CCNT2,ZNF264,HAL,OVGP1,DDHD2,ALG9,DNM1L,TFAP2C,PTPN4,MAPKAPK5,SLC23A2,TASP1,CCNK,USP48,PDPR,PITPNM3,OSGEP,GPATCH2,NUP50,BTAF1,CIRBP,DDX17,RBFOX2,MTMR3,POLE2,DICER1,VRK1,PNN,NDUFAF5,PLCB4,ZNF516,ADNP2,RNMT,RIOK3,RBM3,KLF5,UGGT2,DHRS12,NFAT5,LONP2,N4BP1,HERC1,MYEF2,EYA1,GDAP1,AURKC,CCNE1,PDCD5,GAPDHS,ZNF85,PMPCB,CAV2,RBM28,GLI3,MRPL32,FKTN,KANK1,TRDMT1,MAPK8,NSMCE4A,TNKS2,LARP4B,PITRM1,PBLD,WNT3,PIGL,LUC7L3,HLF,WSB1,SEPSECS,SH3D19,RAPGEF2,PPARGC1A,DDX25,NAA40,MIR4691,NAA25,ENDOU,HCFC2,SASH1,ZNF451,CCNC,TRIM38,EPM2A,GUCA1B,SENP6,NUDT12,PAPD7,ARRDC3,PDE4D,RAD50,TCERG1,CPEB4,XRN1,CBLB,WDR48,ZBTB47,NKTR,INO80D,KANSL3,EPB41L5,DNAJC27,KDM3A,ORC2,AAK1,EPHA4,SRSF4,GON4L,SRSF11,TSNAX,MTR,ZNF684,CD46,PRPF3,SLC19A2,SLC35A3,RCOR3,MTFR1L,DDX59,AKAP7,RNF146,TGIF2,RAB3GAP2,ELL2,SENP5,RBM25,NUP43,MASTL,WBP4,EXOSC8,NR2C1,MTERFD3,RNF170,CRY2,ZMYM2,ACVR2A,PMS2,CDK2,EXOSC9,PFKFB2,CHD6,DDX27,GNMT,KLHL31,RREB1,BBS2,ATP5S,DDX31,THOC2,STK35,MGME1,SBDS,NSRP1,ATG14,NUP214,AKAP9,POT1,ORMDL1,TPH1,RPAIN,NGDN,PARP2,ZNF331,RLIM,MRPS25,SH3BP5,HACL1,CAPN7,FMO5,ZNF304,SNRPA1,ENOSF1,PER2,USPL1,RFC3,KRAS,PRPF38B,RBM17,CCNH,PUM1,MIR3605,EHF,AHI1,MDM2,NTPCR,LMO7,IREB2,XPA,PGBD1,CREBZF,CCBL2,PPM1B,THUMPD2,LOXL4,BARD1,APH1B,PRDM5,NUP54,BMP2K,PTPRQ,WDFY2,RBM26,IGF1R,USP3,BBS4,ADAMTS17,TICRR,PARN,ZFHX3,NPEPPS,SSH2,SS18,SMAD4,RERE,PRDM16,PLK4,ZNF697,POU2F1,LYPLAL1,PIP5K1A,GATAD2B,DIS3L2,RQCD1,TMF1,TRPC1,METTL14,USP53,MARCH1,MARCH6,PPIP5K2,BDP1,FEM1C,DDX46,ZNF300,MYLK4,KLHL3,RARS2,WTAP,HDAC8,NONO,GINS4,ADHFE1,ZNF7,MRRF,NR6A1,RPP30,ZNF215,PTPRJ,ZC3H12C,YTHDF1,LATS2,PIH1D2,MBIP,FBXO4,ZNF773,ZNF256,PAN3,HNRPDL,UBP1,FBXO36,CHD1,TBRG1,LONRF1,MMP21,RABGEF1,ADAMTS5,TSEN2,XPC,USP43,LRGUK,PCGF6,SFR1,ATAD2,GHRL,EXOG,RBPMS,CUL4B,PPP1R9A,CHAF1B,ZNF66,RDH13,SIK3,ZNF394,U2AF1L4,ZNF382,ZNF75A,USP24,MYSM1,HFM1,B3GALNT2,CAPN2,DCAF16,GNPDA2,PAQR3,EOGT,CCNL1,APBB2,MTMR14,SENP2,SFMBT1,UVSSA,GRM2,IL15,RICTOR,PAPD4,ANKRA2,STXBP5,LMTK2,FOXK1,FZD6,TMEM67,HGSNAT,PIGA,BRWD3,TSHR,TMEM55B,METTL3,CUL5,USP54,ZNF3,TMPRSS5,ZNF606,EPB42,SMAD3,COQ7,ZNF226,ZNF507,COL4A3,HNRNPH1,MECP2,ZBTB43,NRG4,MAP3K2,SIK2,RNF139,CHD7,ASXL1,ETFDH,ZNF274,ZNF540,EXOSC10,ZNF57,GTPBP2,RAB40A,AFF1,ZNF596,PHF8,KDM2A,PARP14,GOLGB1,ZNF483,TNKS,ZNF449,TRIB1,PTPRM,CHD2,ZNF791,RBM4,GTF2IRD2B,ANGEL2,ZNF266,GLMN,FBXW8,GK5,PHYHD1,ALG10B,LONRF3,ATAD5,B3GNT5,TYMS,ANKLE2,CHD9,NR2C2,ZNF491,GEN1,TMPRSS9,SUZ12,DPY19L3,ZNF552,NSUN7,ZNF154,CRIPAK,RFX7,IST1,ZNF721,ZNF662,RIPK4,ZNF530,KCNH8,FAM132A,TSPYL2,EIF4ENIF1,RBM11,BRWD1,PTCH1,ZNF529,GSAP,MKL2,ZNF396,PRG2,HEXIM1,PTRH1,TAF9B,TET3,SECISBP2,FANCM,AGPHD1,SRSF10,MSL1,ADAT2,ARID2,ZNF33A,ZNF699,GTF2IRD2,PTPN1,ASMT,PRPF40A,ZNF136,ZNF418,ZNF700,ZNF441,ZNF682,ENTPD4,TRIM33,ZNF98,SLC22A5,IRAK4,ZNF251,SULT1C2,DDX42,ZKSCAN8,UVRAG,ZNF26,ZNF43,CTNND1,NUDT16,MT-CO2,LDB1,SMURF1,MT-ND2,GK,FOXJ3,SMC5,TATDN3,METTL10,MSH5,LIN52,LYRM5,RAB12,COLQ,AKR7L,ZNF611,SCAF8,ZNF726,PLIN5,FNIP1,RNASEK,ZNF736,ZBED5,RNF103,ASB14,KRBOX1,FMN1,ALG1L2,PRSS51,RP11-849H4.2,ZNF10,ZNF578,ITGB3,RP11-505K9.4,STRADA,ZNF224,NDUFA7,EGLN2,ZNF229,NR2E3,XX-FW81066F1.2",1.10347152361181
"9","blue",TRUE,8.55e-07,10168,778,507,0.652,0.05,"GO:0044238","BP",1,"primary metabolic process",2,"ENPP4,CFLAR,AK2,KDM1A,SLC25A13,CDC27,PHTF2,DBF4,AASS,TENM1,FAM76A,ZNF207,UFL1,SLC30A9,ZDHHC6,UBR2,HSF2,NUP160,NSUN2,TRIT1,WDR37,YTHDC2,TPR,SCML1,WWC3,LMO3,NFE2L3,MAPK9,ARID4B,ZNF280C,TARBP1,TAF2,TAF11,MAP2K4,FOXJ2,TRMT11,RORA,PIGB,PTPN3,PTPN21,ING3,PDCD2,AFF4,CHFR,PDE8A,DPP8,ZNF532,RASAL2,MARK3,BAZ2A,KLHL20,DGKD,DNAJC10,FAM76B,PIAS2,MCCC1,KIAA0141,CCNT2,ZNF264,HAL,OVGP1,DDHD2,ALG9,DNM1L,TFAP2C,PTPN4,MAPKAPK5,SLC23A2,TASP1,CCNK,USP48,PDPR,PITPNM3,OSGEP,NUP50,BTAF1,CIRBP,DDX17,RBFOX2,MTMR3,POLE2,DICER1,VRK1,PNN,NDUFAF5,PLCB4,ZNF516,ADNP2,RNMT,RIOK3,RBM3,KLF5,UGGT2,NFAT5,LONP2,N4BP1,HERC1,MYEF2,EYA1,AURKC,CCNE1,PDCD5,GAPDHS,ZNF85,PMPCB,CAV2,RBM28,GLI3,MRPL32,FKTN,KANK1,TRDMT1,MAPK8,NSMCE4A,TNKS2,LARP4B,PITRM1,PBLD,PIGL,LUC7L3,HLF,WSB1,SEPSECS,SH3D19,RAPGEF2,PPARGC1A,DDX25,NAA40,MIR4691,NAA25,ENDOU,HCFC2,SASH1,ZNF451,CCNC,TRIM38,EPM2A,GUCA1B,SENP6,NUDT12,PAPD7,ARRDC3,PDE4D,RAD50,TCERG1,CPEB4,XRN1,CBLB,WDR48,ZBTB47,NKTR,INO80D,KANSL3,DNAJC27,KDM3A,ORC2,AAK1,EPHA4,SRSF4,GON4L,SRSF11,MTR,ZNF684,CD46,PRPF3,SLC35A3,RCOR3,DDX59,RNF146,TGIF2,RAB3GAP2,ELL2,SENP5,RBM25,NUP43,MASTL,WBP4,EXOSC8,NR2C1,MTERFD3,RNF170,CRY2,ZMYM2,ACVR2A,PMS2,CDK2,EXOSC9,PFKFB2,CHD6,DDX27,GNMT,KLHL31,RREB1,ATP5S,DDX31,THOC2,STK35,MGME1,SBDS,NSRP1,ATG14,NUP214,AKAP9,POT1,ORMDL1,TPH1,RPAIN,NGDN,PARP2,ZNF331,RLIM,MRPS25,SH3BP5,HACL1,CAPN7,ZNF304,SNRPA1,ENOSF1,PER2,USPL1,RFC3,KRAS,PRPF38B,RBM17,CCNH,PUM1,MIR3605,EHF,AHI1,MDM2,LMO7,IREB2,XPA,PGBD1,CREBZF,CCBL2,PPM1B,THUMPD2,BARD1,APH1B,PRDM5,NUP54,BMP2K,PTPRQ,WDFY2,RBM26,IGF1R,USP3,BBS4,ADAMTS17,TICRR,PARN,ZFHX3,NPEPPS,SSH2,SS18,SMAD4,RERE,PRDM16,PLK4,ZNF697,POU2F1,LYPLAL1,PIP5K1A,GATAD2B,DIS3L2,RQCD1,TMF1,METTL14,USP53,MARCH1,MARCH6,PPIP5K2,BDP1,FEM1C,DDX46,ZNF300,MYLK4,KLHL3,RARS2,WTAP,HDAC8,NONO,GINS4,ZNF7,MRRF,NR6A1,RPP30,ZNF215,PTPRJ,ZC3H12C,YTHDF1,LATS2,PIH1D2,MBIP,FBXO4,ZNF773,ZNF256,PAN3,HNRPDL,UBP1,FBXO36,CHD1,TBRG1,LONRF1,MMP21,RABGEF1,ADAMTS5,TSEN2,XPC,USP43,PCGF6,SFR1,ATAD2,GHRL,EXOG,RBPMS,CUL4B,PPP1R9A,CHAF1B,ZNF66,RDH13,SIK3,ZNF394,U2AF1L4,ZNF382,ZNF75A,USP24,MYSM1,HFM1,B3GALNT2,CAPN2,DCAF16,GNPDA2,PAQR3,EOGT,CCNL1,APBB2,MTMR14,SENP2,SFMBT1,UVSSA,GRM2,IL15,RICTOR,PAPD4,ANKRA2,LMTK2,FOXK1,FZD6,TMEM67,PIGA,BRWD3,TSHR,TMEM55B,METTL3,CUL5,USP54,ZNF3,TMPRSS5,ZNF606,EPB42,SMAD3,ZNF226,ZNF507,COL4A3,HNRNPH1,MECP2,ZBTB43,NRG4,MAP3K2,SIK2,RNF139,CHD7,ASXL1,ETFDH,ZNF274,ZNF540,EXOSC10,ZNF57,GTPBP2,RAB40A,AFF1,ZNF596,PHF8,KDM2A,PARP14,GOLGB1,ZNF483,TNKS,ZNF449,TRIB1,PTPRM,CHD2,ZNF791,RBM4,GTF2IRD2B,ZNF266,GLMN,FBXW8,GK5,ALG10B,LONRF3,ATAD5,B3GNT5,TYMS,ANKLE2,CHD9,NR2C2,ZNF491,GEN1,TMPRSS9,SUZ12,DPY19L3,ZNF552,ZNF154,CRIPAK,RFX7,IST1,ZNF721,ZNF662,RIPK4,ZNF530,KCNH8,FAM132A,TSPYL2,EIF4ENIF1,RBM11,BRWD1,PTCH1,ZNF529,GSAP,MKL2,ZNF396,PRG2,HEXIM1,PTRH1,TAF9B,TET3,SECISBP2,FANCM,AGPHD1,SRSF10,MSL1,ADAT2,ARID2,ZNF33A,ZNF699,GTF2IRD2,PTPN1,ASMT,PRPF40A,ZNF136,ZNF418,ZNF700,ZNF441,ZNF682,ENTPD4,TRIM33,ZNF98,IRAK4,ZNF251,SULT1C2,DDX42,ZKSCAN8,UVRAG,ZNF26,ZNF43,CTNND1,NUDT16,MT-CO2,LDB1,SMURF1,MT-ND2,GK,FOXJ3,SMC5,TATDN3,METTL10,MSH5,LIN52,RAB12,ZNF611,SCAF8,ZNF726,PLIN5,FNIP1,RNASEK,ZNF736,ZBED5,RNF103,ASB14,KRBOX1,ALG1L2,PRSS51,RP11-849H4.2,ZNF10,ZNF578,ITGB3,RP11-505K9.4,STRADA,ZNF224,NDUFA7,EGLN2,ZNF229,NR2E3,XX-FW81066F1.2",1.36698257719581
"10","blue",TRUE,1.54e-06,10599,778,523,0.672,0.049,"GO:0071704","BP",1,"organic substance metabolic process",2,"ENPP4,CFLAR,AK2,KDM1A,SLC25A13,CDC27,PHTF2,DBF4,AASS,TENM1,FAM76A,ZNF207,UFL1,SLC30A9,ZDHHC6,UBR2,HSF2,NUP160,NSUN2,TRIT1,WDR37,YTHDC2,TPR,SCML1,WWC3,LMO3,NFE2L3,MAPK9,ARID4B,ZNF280C,TARBP1,TAF2,TAF11,MAP2K4,FOXJ2,TRMT11,RORA,PIGB,PTPN3,PTPN21,ING3,PDCD2,AFF4,CHFR,PDE8A,DPP8,ZNF532,RASAL2,MARK3,BAZ2A,KLHL20,DGKD,DNAJC10,FAM76B,PIAS2,MCCC1,COL4A4,KIAA0141,CCNT2,ZNF264,HAL,OVGP1,DDHD2,ALG9,DNM1L,TFAP2C,PTPN4,MAPKAPK5,SLC23A2,TASP1,CCNK,USP48,PDPR,PITPNM3,OSGEP,NUP50,BTAF1,CIRBP,DDX17,RBFOX2,MTMR3,POLE2,DICER1,VRK1,PNN,NDUFAF5,PLCB4,ZNF516,ADNP2,RNMT,RIOK3,RBM3,KLF5,UGGT2,NFAT5,LONP2,N4BP1,HERC1,MYEF2,EYA1,GDAP1,AURKC,CCNE1,PDCD5,GAPDHS,ZNF85,PMPCB,CAV2,RBM28,GLI3,MRPL32,FKTN,KANK1,TRDMT1,MAPK8,NSMCE4A,TNKS2,LARP4B,PITRM1,PBLD,WNT3,PIGL,LUC7L3,HLF,WSB1,SEPSECS,SH3D19,RAPGEF2,PPARGC1A,DDX25,NAA40,MIR4691,NAA25,ENDOU,HCFC2,SASH1,ZNF451,CCNC,TRIM38,EPM2A,GUCA1B,SENP6,NUDT12,PAPD7,ARRDC3,PDE4D,RAD50,TCERG1,CPEB4,XRN1,CBLB,WDR48,ZBTB47,NKTR,INO80D,KANSL3,EPB41L5,DNAJC27,KDM3A,ORC2,AAK1,EPHA4,SRSF4,GON4L,SRSF11,TSNAX,MTR,ZNF684,CD46,PRPF3,SLC19A2,SLC35A3,RCOR3,DDX59,RNF146,TGIF2,RAB3GAP2,ELL2,SENP5,RBM25,NUP43,MASTL,WBP4,EXOSC8,NR2C1,MTERFD3,RNF170,CRY2,ZMYM2,ACVR2A,PMS2,CDK2,EXOSC9,PFKFB2,CHD6,DDX27,GNMT,KLHL31,RREB1,BBS2,ATP5S,DDX31,THOC2,STK35,MGME1,SBDS,NSRP1,ATG14,NUP214,AKAP9,POT1,ORMDL1,TPH1,RPAIN,NGDN,PARP2,ZNF331,RLIM,MRPS25,SH3BP5,HACL1,CAPN7,ZNF304,SNRPA1,ENOSF1,PER2,USPL1,RFC3,KRAS,PRPF38B,RBM17,CCNH,PUM1,MIR3605,EHF,AHI1,MDM2,LMO7,IREB2,XPA,PGBD1,CREBZF,CCBL2,PPM1B,THUMPD2,BARD1,APH1B,PRDM5,NUP54,BMP2K,PTPRQ,WDFY2,RBM26,IGF1R,USP3,BBS4,ADAMTS17,TICRR,PARN,ZFHX3,NPEPPS,SSH2,SS18,SMAD4,RERE,PRDM16,PLK4,ZNF697,POU2F1,LYPLAL1,PIP5K1A,GATAD2B,DIS3L2,RQCD1,TMF1,TRPC1,METTL14,USP53,MARCH1,MARCH6,PPIP5K2,BDP1,FEM1C,DDX46,ZNF300,MYLK4,KLHL3,RARS2,WTAP,HDAC8,NONO,GINS4,ADHFE1,ZNF7,MRRF,NR6A1,RPP30,ZNF215,PTPRJ,ZC3H12C,YTHDF1,LATS2,PIH1D2,MBIP,FBXO4,ZNF773,ZNF256,PAN3,HNRPDL,UBP1,FBXO36,CHD1,TBRG1,LONRF1,MMP21,RABGEF1,ADAMTS5,TSEN2,XPC,USP43,PCGF6,SFR1,ATAD2,GHRL,EXOG,RBPMS,CUL4B,PPP1R9A,CHAF1B,ZNF66,RDH13,SIK3,ZNF394,U2AF1L4,ZNF382,ZNF75A,USP24,MYSM1,HFM1,B3GALNT2,CAPN2,DCAF16,GNPDA2,PAQR3,EOGT,CCNL1,APBB2,MTMR14,SENP2,SFMBT1,UVSSA,GRM2,IL15,RICTOR,PAPD4,ANKRA2,STXBP5,LMTK2,FOXK1,FZD6,TMEM67,HGSNAT,PIGA,BRWD3,TSHR,TMEM55B,METTL3,CUL5,USP54,ZNF3,TMPRSS5,ZNF606,EPB42,SMAD3,COQ7,ZNF226,ZNF507,COL4A3,HNRNPH1,MECP2,ZBTB43,NRG4,MAP3K2,SIK2,RNF139,CHD7,ASXL1,ETFDH,ZNF274,ZNF540,EXOSC10,ZNF57,GTPBP2,RAB40A,AFF1,ZNF596,PHF8,KDM2A,PARP14,GOLGB1,ZNF483,TNKS,ZNF449,TRIB1,PTPRM,CHD2,ZNF791,RBM4,GTF2IRD2B,ANGEL2,ZNF266,GLMN,FBXW8,GK5,ALG10B,LONRF3,ATAD5,B3GNT5,TYMS,ANKLE2,CHD9,NR2C2,ZNF491,GEN1,TMPRSS9,SUZ12,DPY19L3,ZNF552,ZNF154,CRIPAK,RFX7,IST1,ZNF721,ZNF662,RIPK4,ZNF530,KCNH8,FAM132A,TSPYL2,EIF4ENIF1,RBM11,BRWD1,PTCH1,ZNF529,GSAP,MKL2,ZNF396,PRG2,HEXIM1,PTRH1,TAF9B,TET3,SECISBP2,FANCM,AGPHD1,SRSF10,MSL1,ADAT2,ARID2,ZNF33A,ZNF699,GTF2IRD2,PTPN1,ASMT,PRPF40A,ZNF136,ZNF418,ZNF700,ZNF441,ZNF682,ENTPD4,TRIM33,ZNF98,SLC22A5,IRAK4,ZNF251,SULT1C2,DDX42,ZKSCAN8,UVRAG,ZNF26,ZNF43,CTNND1,NUDT16,MT-CO2,LDB1,SMURF1,MT-ND2,GK,FOXJ3,SMC5,TATDN3,METTL10,MSH5,LIN52,RAB12,COLQ,ZNF611,SCAF8,ZNF726,PLIN5,FNIP1,RNASEK,ZNF736,ZBED5,RNF103,ASB14,KRBOX1,FMN1,ALG1L2,PRSS51,RP11-849H4.2,ZNF10,ZNF578,ITGB3,RP11-505K9.4,STRADA,ZNF224,NDUFA7,EGLN2,ZNF229,NR2E3,XX-FW81066F1.2",1.26232799050953
