"","ensgene","name","module","mm"
"1","ENSG00000227232","WASH7P","orangered4",0.591503327174158
"2","ENSG00000237683","AL627309.1","darkorange2",0.255768038760528
"3","ENSG00000268903","RP11-34P13.15","darkturquoise",0.243540338644548
"4","ENSG00000269981","RP11-34P13.16","darkorange",0.243659279408693
"5","ENSG00000239906","RP11-34P13.14","antiquewhite4",0.4042855375657
"6","ENSG00000228463","AP006222.2","antiquewhite4",0.393363563402457
"7","ENSG00000241670","AP006222.1","plum3",0.359704988745807
"8","ENSG00000237094","RP4-669L17.10","pink",0.728404593779984
"9","ENSG00000225972","MTND1P23","bisque4",0.243900732059385
"10","ENSG00000225630","MTND2P28","saddlebrown",0.28857552111101
"11","ENSG00000237973","hsa-mir-6723","salmon",0.606937694412099
"12","ENSG00000229344","RP5-857K21.7","saddlebrown",0.343492846193698
"13","ENSG00000224956","RP11-206L10.1","purple",0.674733801433673
"14","ENSG00000228327","RP11-206L10.2","pink",0.732816443651703
"15","ENSG00000237491","RP11-206L10.9","lightcoral",0.653837923708323
"16","ENSG00000230092","RP11-206L10.8","tan",0.649813078519006
"17","ENSG00000177757","FAM87B","lightcyan",0.392873430833079
"18","ENSG00000225880","LINC00115","steelblue",0.715491580782358
"19","ENSG00000228794","RP11-206L10.11","paleturquoise",0.469514864390844
"20","ENSG00000223764","RP11-54O7.3","lavenderblush3",0.461567690508286
"21","ENSG00000187634","SAMD11","lavenderblush3",0.567970789170003
"22","ENSG00000188976","NOC2L","green",0.800795554572001
"23","ENSG00000187961","KLHL17","indianred4",0.692441363001014
"24","ENSG00000187583","PLEKHN1","white",0.387160044659889
"25","ENSG00000272512","ENSG00000272512","lightcyan",0.451578569227571
"26","ENSG00000188290","HES4","thistle2",0.504028580142656
"27","ENSG00000187608","ISG15","brown4",0.565272313706187
"28","ENSG00000188157","AGRN","navajowhite1",0.608674966781492
"29","ENSG00000242590","RP11-54O7.14","navajowhite1",0.643840369840683
"30","ENSG00000131591","C1orf159","brown",0.739461670848239
"31","ENSG00000186891","TNFRSF18","blue2",0.303441755066803
"32","ENSG00000186827","TNFRSF4","orange",0.372066410398055
"33","ENSG00000078808","SDF4","darkslateblue",0.542108358593587
"34","ENSG00000176022","B3GALT6","salmon",0.804281694232701
"35","ENSG00000184163","FAM132A","blue2",0.431871637324002
"36","ENSG00000260179","RP5-902P8.12","blue2",0.501397746954177
"37","ENSG00000160087","UBE2J2","cyan",0.617765455519285
"38","ENSG00000230415","RP5-902P8.10","lightcoral",0.703428335786538
"39","ENSG00000162572","SCNN1D","purple",0.75016813934917
"40","ENSG00000131584","ACAP3","navajowhite1",0.786090536515002
"41","ENSG00000169972","PUSL1","mediumorchid",0.720114381665642
"42","ENSG00000127054","CPSF3L","turquoise",0.836364316738349
"43","ENSG00000240731","RP5-890O3.9","blue",0.804104001096062
"44","ENSG00000224051","GLTPD1","yellow3",0.777725854913467
"45","ENSG00000169962","TAS1R3","coral",0.612436613496766
"46","ENSG00000107404","DVL1","brown",0.750541081958323
"47","ENSG00000162576","MXRA8","thistle1",0.69215617871075
"48","ENSG00000175756","AURKAIP1","green",0.831621925883185
"49","ENSG00000221978","CCNL2","turquoise",0.856375056030133
"50","ENSG00000224870","RP4-758J18.2","salmon",0.624299113752341
"51","ENSG00000242485","MRPL20","midnightblue",0.80301733998116
"52","ENSG00000264293","RN7SL657P","pink",0.702067820236898
"53","ENSG00000272455","ENSG00000272455","lightcoral",0.623953084896972
"54","ENSG00000235098","ANKRD65","lightpink4",0.395033834902304
"55","ENSG00000225905","RP4-758J18.7","thistle1",0.521347319643874
"56","ENSG00000225285","RP4-758J18.10","yellow",0.435248426235751
"57","ENSG00000179403","VWA1","plum2",0.489165967578804
"58","ENSG00000215915","ATAD3C","darkslateblue",0.402626622045909
"59","ENSG00000160072","ATAD3B","brown",0.703096031068508
"60","ENSG00000197785","ATAD3A","salmon2",0.841069648658028
"61","ENSG00000205090","TMEM240","honeydew1",0.748390766781182
"62","ENSG00000160075","SSU72","mediumorchid",0.718350495773764
"63","ENSG00000215791","AL645728.2","maroon",0.484422470879109
"64","ENSG00000215014","AL645728.1","saddlebrown",0.600014782600438
"65","ENSG00000272106","ENSG00000272106","tan",0.754197721741051
"66","ENSG00000197530","MIB2","indianred4",0.873206152141101
"67","ENSG00000189409","MMP23B","skyblue4",0.63703212063162
"68","ENSG00000248333","CDK11B","mediumpurple4",0.415904185084517
"69","ENSG00000272004","ENSG00000272004","coral",0.424550052862534
"70","ENSG00000189339","SLC35E2B","indianred4",0.691301332084329
"71","ENSG00000269227","RP11-345P4.6","blue",0.612979188695862
"72","ENSG00000215914","MMP23A","skyblue4",0.578954498966076
"73","ENSG00000008128","CDK11A","mediumpurple2",0.491105233981301
"74","ENSG00000268575","RP1-283E3.8","mediumpurple2",0.480676261923092
"75","ENSG00000227775","RP1-283E3.4","blue",0.59525608010497
"76","ENSG00000215790","SLC35E2","honeydew1",0.655717814115158
"77","ENSG00000008130","NADK","bisque4",0.559123594077255
"78","ENSG00000078369","GNB1","darkred",0.764987264740313
"79","ENSG00000231050","RP1-140A9.1","thistle1",0.451524217297813
"80","ENSG00000169885","CALML6","purple",0.604835177000702
"81","ENSG00000178821","TMEM52","mediumorchid",0.61224849722789
"82","ENSG00000067606","PRKCZ","lavenderblush3",0.47034482917222
"83","ENSG00000182873","RP11-181G12.2","coral",0.566314629920092
"84","ENSG00000162585","C1orf86","mediumorchid",0.636348145657996
