"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","darkorange2",TRUE,0.0362,9000,175,112,0.64,0.012,"GO:0043170","BP",2,"macromolecule metabolic process",1,"NDUFAF7,MSL3,CLK1,UBR2,ZCCHC8,UBA6,ZFYVE16,PHLPP2,ZC3H11A,CCAR1,PKN2,ATXN3,RAD18,EED,ZNF638,N4BP2,OPHN1,CNOT4,UBA5,HACE1,TRPM7,HNRNPH3,ZC3H14,METTL4,MRPS31,VRK3,CARD8,RPS6KB1,DTX4,BIRC2,SUDS3,FGFR1OP2,MAK,SMAD5,FXR1,PAPOLG,DCAF17,SOS1,ORC4,DOCK7,SLC35D1,PRDM2,BAZ2B,RUNX2,UPF3B,MCM8,AGO3,PCID2,HP1BP3,NARG2,PUS7L,NEDD8,TEP1,PPIL4,ZCCHC11,MAP3K7,C2ORF49,SPDYE1,HUS1,ANKRD42,ATG12,PM20D2,ATM,GXYLT1,UHMK1,BUB3,RASA2,SMG1,RNF111,C11ORF30,ELK4,MORC3,GPBP1L1,SMC6,CGGBP1,PPP4R2,RCHY1,OTUD4,TRA2A,KIAA1958,CASP7,ZNF91,ZNF701,ZNF283,KIAA1586,THAP9,PXK,SNRNP48,AFAP1L2,ATF7IP,ZNF24,FUT10,NAA16,ZNF680,CRLF3,ZBTB34,ZNF354B,ZNF852,ZNF708,PTAR1,MPHOSPH8,LCOR,SLC39A10,ZNF585A,PGAP1,ZNF347,NOL8,ZNF525,RPS28,ZNF718,ZNF225,CAPNS2",1.48452897992254
"2","darkorange2",TRUE,0.0293,6866,175,92,0.526,0.013,"GO:0006807","BP",2,"nitrogen compound metabolic process",1,"NDUFAF7,MSL3,CLK1,UBR2,ZCCHC8,ZFYVE16,ZC3H11A,CCAR1,PKN2,ATXN3,RAD18,EED,ZNF638,N4BP2,CNOT4,UBA5,HACE1,HNRNPH3,MTAP,ZC3H14,METTL4,MRPS31,RPS6KB1,BIRC2,SUDS3,MAK,SMAD5,FXR1,GLS,PAPOLG,ORC4,SLC35D1,PRDM2,BAZ2B,RUNX2,UPF3B,MCM8,AGO3,PCID2,HP1BP3,NARG2,PUS7L,NEDD8,TEP1,CEPT1,ZCCHC11,MAP3K7,C2ORF49,HUS1,ANKRD42,ATM,GXYLT1,UHMK1,SMG1,RNF111,C11ORF30,ELK4,GPBP1L1,PRPSAP1,SMC6,CGGBP1,PPP4R2,RCHY1,TRA2A,KIAA1958,ZNF91,ZNF701,ZNF283,THAP9,SNRNP48,AFAP1L2,ATF7IP,ZNF24,NAA16,ZNF680,CRLF3,ZBTB34,ZNF354B,ZNF852,ZNF708,TLR5,MPHOSPH8,LCOR,ZNF585A,PGAP1,ZNF347,NOL8,ZNF525,PDE7A,RPS28,ZNF718,ZNF225",1.93420756307389
"3","darkorange2",TRUE,0.0234,6134,175,85,0.486,0.014,"GO:1901360","BP",2,"organic cyclic compound metabolic process",1,"NDUFAF7,MSL3,CLK1,UBR2,ZCCHC8,ZFYVE16,ZC3H11A,CCAR1,PKN2,ATXN3,RAD18,EED,ZNF638,N4BP2,CNOT4,UBA5,HACE1,HNRNPH3,MTAP,ZC3H14,METTL4,BIRC2,SUDS3,MAK,SMAD5,PAPOLG,ORC4,SLC35D1,PRDM2,BAZ2B,RUNX2,UPF3B,MCM8,AGO3,PCID2,HP1BP3,NARG2,PUS7L,NEDD8,TEP1,ZCCHC11,MAP3K7,C2ORF49,HUS1,ATM,UHMK1,SMG1,RNF111,C11ORF30,ELK4,GPBP1L1,PRPSAP1,SMC6,CGGBP1,PPP4R2,RCHY1,TRA2A,KIAA1958,ZNF91,ZNF701,ZNF283,THAP9,SNRNP48,AFAP1L2,ATF7IP,ZNF24,NAA16,ZNF680,CRLF3,ZBTB34,ZNF354B,ZNF852,ZNF708,MPHOSPH8,LCOR,ZNF585A,PGAP1,MYO5A,ZNF347,NOL8,ZNF525,PDE7A,RPS28,ZNF718,ZNF225",2.09634866986716
"4","darkorange2",TRUE,0.00817,10105,175,124,0.709,0.012,"GO:0044237","BP",2,"cellular metabolic process",1,"NDUFAF7,MSL3,CLK1,UBR2,ZCCHC8,UBA6,ZFYVE16,PHLPP2,ZC3H11A,CCAR1,PKN2,ATXN3,RAD18,EED,ZNF638,N4BP2,OPHN1,CNOT4,UBA5,HACE1,TRPM7,HNRNPH3,MTAP,ZC3H14,METTL4,MRPS31,VRK3,CARD8,RPS6KB1,DTX4,BIRC2,SUDS3,FGFR1OP2,MAK,SMAD5,FXR1,GPD2,GLS,PAPOLG,DCAF17,SOS1,ORC4,DOCK7,SLC35D1,PRDM2,CRYZ,BAZ2B,RUNX2,UPF3B,MCM8,AGO3,PCID2,HP1BP3,NARG2,PUS7L,NEDD8,TEP1,PPIL4,CEPT1,ZCCHC11,MAP3K7,C2ORF49,SPDYE1,HUS1,ANKRD42,ETNK1,KIAA0226,ATG12,PM20D2,ATM,GXYLT1,UHMK1,BUB3,RASA2,SMG1,RNF111,C11ORF30,ELK4,MORC3,GPBP1L1,PRPSAP1,SMC6,CGGBP1,PPP4R2,RCHY1,OTUD4,TRA2A,GKAP1,KIAA1958,CASP7,ZNF91,ZNF701,ZNF283,KIAA1586,THAP9,PXK,SNRNP48,AFAP1L2,ATF7IP,ZNF24,FUT10,NAA16,ZNF680,CRLF3,ZBTB34,ZNF354B,ZNF852,ZNF708,TLR5,PTAR1,MPHOSPH8,LCOR,SLC39A10,ZNF585A,PGAP1,MYO5A,FAR1,ZNF347,NOL8,ZNF525,PDE7A,RPS28,ZNF718,ZNF225",1.33189125738454
"5","darkorange2",TRUE,0.00117,8276,175,110,0.629,0.013,"GO:0044260","BP",2,"cellular macromolecule metabolic process",2,"NDUFAF7,MSL3,CLK1,UBR2,ZCCHC8,UBA6,ZFYVE16,PHLPP2,ZC3H11A,CCAR1,PKN2,ATXN3,RAD18,EED,ZNF638,OPHN1,CNOT4,UBA5,HACE1,TRPM7,HNRNPH3,ZC3H14,METTL4,MRPS31,VRK3,CARD8,RPS6KB1,DTX4,BIRC2,SUDS3,FGFR1OP2,MAK,SMAD5,FXR1,PAPOLG,DCAF17,SOS1,ORC4,DOCK7,SLC35D1,PRDM2,BAZ2B,RUNX2,UPF3B,MCM8,AGO3,PCID2,HP1BP3,NARG2,PUS7L,NEDD8,TEP1,PPIL4,ZCCHC11,MAP3K7,C2ORF49,SPDYE1,HUS1,ANKRD42,ATG12,PM20D2,ATM,GXYLT1,UHMK1,BUB3,RASA2,SMG1,RNF111,C11ORF30,ELK4,MORC3,GPBP1L1,SMC6,CGGBP1,PPP4R2,RCHY1,OTUD4,TRA2A,KIAA1958,CASP7,ZNF91,ZNF701,ZNF283,KIAA1586,THAP9,PXK,SNRNP48,AFAP1L2,ATF7IP,ZNF24,FUT10,NAA16,ZNF680,CRLF3,ZBTB34,ZNF354B,ZNF852,ZNF708,PTAR1,MPHOSPH8,LCOR,SLC39A10,ZNF585A,PGAP1,ZNF347,NOL8,ZNF525,RPS28,ZNF718,ZNF225",1.62152325167179
"6","darkorange2",TRUE,0.0114,6428,175,89,0.509,0.014,"GO:0034641","BP",2,"cellular nitrogen compound metabolic process",2,"NDUFAF7,MSL3,CLK1,UBR2,ZCCHC8,ZFYVE16,ZC3H11A,CCAR1,PKN2,ATXN3,RAD18,EED,ZNF638,N4BP2,CNOT4,UBA5,HACE1,HNRNPH3,MTAP,ZC3H14,METTL4,MRPS31,RPS6KB1,BIRC2,SUDS3,MAK,SMAD5,FXR1,PAPOLG,ORC4,SLC35D1,PRDM2,BAZ2B,RUNX2,UPF3B,MCM8,AGO3,PCID2,HP1BP3,NARG2,PUS7L,NEDD8,TEP1,ZCCHC11,MAP3K7,C2ORF49,HUS1,ANKRD42,ATM,UHMK1,SMG1,RNF111,C11ORF30,ELK4,GPBP1L1,PRPSAP1,SMC6,CGGBP1,PPP4R2,RCHY1,TRA2A,KIAA1958,ZNF91,ZNF701,ZNF283,THAP9,SNRNP48,AFAP1L2,ATF7IP,ZNF24,NAA16,ZNF680,CRLF3,ZBTB34,ZNF354B,ZNF852,ZNF708,TLR5,MPHOSPH8,LCOR,ZNF585A,PGAP1,ZNF347,NOL8,ZNF525,PDE7A,RPS28,ZNF718,ZNF225",2.0095653577481
"7","darkorange2",TRUE,0.00856,5897,175,84,0.48,0.014,"GO:0046483","BP",2,"heterocycle metabolic process",2,"NDUFAF7,MSL3,CLK1,UBR2,ZCCHC8,ZFYVE16,ZC3H11A,CCAR1,PKN2,ATXN3,RAD18,EED,ZNF638,N4BP2,CNOT4,UBA5,HACE1,HNRNPH3,MTAP,ZC3H14,METTL4,BIRC2,SUDS3,MAK,SMAD5,PAPOLG,ORC4,SLC35D1,PRDM2,BAZ2B,RUNX2,UPF3B,MCM8,AGO3,PCID2,HP1BP3,NARG2,PUS7L,NEDD8,TEP1,ZCCHC11,MAP3K7,C2ORF49,HUS1,ATM,UHMK1,SMG1,RNF111,C11ORF30,ELK4,GPBP1L1,PRPSAP1,SMC6,CGGBP1,PPP4R2,RCHY1,TRA2A,KIAA1958,ZNF91,ZNF701,ZNF283,THAP9,SNRNP48,AFAP1L2,ATF7IP,ZNF24,NAA16,ZNF680,CRLF3,ZBTB34,ZNF354B,ZNF852,ZNF708,MPHOSPH8,LCOR,ZNF585A,PGAP1,ZNF347,NOL8,ZNF525,PDE7A,RPS28,ZNF718,ZNF225",2.14161737953607
"8","darkorange2",TRUE,0.00532,5931,175,85,0.486,0.014,"GO:0006725","BP",2,"cellular aromatic compound metabolic process",2,"NDUFAF7,MSL3,CLK1,UBR2,ZCCHC8,ZFYVE16,ZC3H11A,CCAR1,PKN2,ATXN3,RAD18,EED,ZNF638,N4BP2,CNOT4,UBA5,HACE1,HNRNPH3,MTAP,ZC3H14,METTL4,BIRC2,SUDS3,MAK,SMAD5,PAPOLG,ORC4,SLC35D1,PRDM2,BAZ2B,RUNX2,UPF3B,MCM8,AGO3,PCID2,HP1BP3,NARG2,PUS7L,NEDD8,TEP1,ZCCHC11,MAP3K7,C2ORF49,HUS1,ATM,UHMK1,SMG1,RNF111,C11ORF30,ELK4,GPBP1L1,PRPSAP1,SMC6,CGGBP1,PPP4R2,RCHY1,TRA2A,KIAA1958,ZNF91,ZNF701,ZNF283,THAP9,SNRNP48,AFAP1L2,ATF7IP,ZNF24,NAA16,ZNF680,CRLF3,ZBTB34,ZNF354B,ZNF852,ZNF708,MPHOSPH8,LCOR,ZNF585A,PGAP1,MYO5A,ZNF347,NOL8,ZNF525,PDE7A,RPS28,ZNF718,ZNF225",2.13621682635607
"9","darkorange2",TRUE,0.00239,5731,175,84,0.48,0.015,"GO:0006139","BP",2,"nucleobase-containing compound metabolic process",3,"NDUFAF7,MSL3,CLK1,UBR2,ZCCHC8,ZFYVE16,ZC3H11A,CCAR1,PKN2,ATXN3,RAD18,EED,ZNF638,N4BP2,CNOT4,UBA5,HACE1,HNRNPH3,MTAP,ZC3H14,METTL4,BIRC2,SUDS3,MAK,SMAD5,PAPOLG,ORC4,SLC35D1,PRDM2,BAZ2B,RUNX2,UPF3B,MCM8,AGO3,PCID2,HP1BP3,NARG2,PUS7L,NEDD8,TEP1,ZCCHC11,MAP3K7,C2ORF49,HUS1,ATM,UHMK1,SMG1,RNF111,C11ORF30,ELK4,GPBP1L1,PRPSAP1,SMC6,CGGBP1,PPP4R2,RCHY1,TRA2A,KIAA1958,ZNF91,ZNF701,ZNF283,THAP9,SNRNP48,AFAP1L2,ATF7IP,ZNF24,NAA16,ZNF680,CRLF3,ZBTB34,ZNF354B,ZNF852,ZNF708,MPHOSPH8,LCOR,ZNF585A,PGAP1,ZNF347,NOL8,ZNF525,PDE7A,RPS28,ZNF718,ZNF225",2.1681073240248
"10","darkorange2",TRUE,0.000662,5103,175,79,0.451,0.015,"GO:0090304","BP",2,"nucleic acid metabolic process",4,"MSL3,CLK1,UBR2,ZCCHC8,ZFYVE16,ZC3H11A,CCAR1,PKN2,ATXN3,RAD18,EED,ZNF638,N4BP2,CNOT4,UBA5,HACE1,HNRNPH3,ZC3H14,METTL4,BIRC2,SUDS3,MAK,SMAD5,PAPOLG,ORC4,PRDM2,BAZ2B,RUNX2,UPF3B,MCM8,AGO3,PCID2,HP1BP3,NARG2,PUS7L,NEDD8,TEP1,ZCCHC11,MAP3K7,C2ORF49,HUS1,ATM,UHMK1,SMG1,RNF111,C11ORF30,ELK4,GPBP1L1,SMC6,CGGBP1,PPP4R2,RCHY1,TRA2A,KIAA1958,ZNF91,ZNF701,ZNF283,THAP9,SNRNP48,AFAP1L2,ATF7IP,ZNF24,NAA16,ZNF680,CRLF3,ZBTB34,ZNF354B,ZNF852,ZNF708,MPHOSPH8,LCOR,ZNF585A,PGAP1,ZNF347,NOL8,ZNF525,RPS28,ZNF718,ZNF225",2.2717223785017
