"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","turquoise",TRUE,0.0293,39,1327,12,0.009,0.308,"GO:0048635","BP",2,"negative regulation of muscle organ development",1,"LUC7L,SIRT2,TP73,SIX4,TGFB1,TWIST1,BMP4,MSTN,LEF1,PAK1,SFMBT1,MAPK11",8.13719844215589
"2","turquoise",TRUE,0.0162,6150,1327,510,0.384,0.083,"GO:0043167","MF",1,"ion binding",1,"RBM5,ARHGAP33,MAP3K14,AGK,CAMK1G,CELSR3,NISCH,ZBTB32,DDX11,ZC3H3,ABCC2,NR1H3,ZCCHC8,TIMP2,THAP3,CTPS2,HHAT,MSH4,MTA3,PARP12,EYA2,ZMYND12,MPPED2,PRKCZ,HDAC4,SIRT2,PHRF1,SMG6,RAD18,ZFYVE26,RHOBTB1,ACADVL,MOV10L1,CELSR1,MLH1,MAP2K7,FBLN1,NRD1,CBFA2T2,MYH7B,TP73,OPHN1,RABL2B,UBA5,PCDHA6,PGR,P2RX5,MAST2,ACOX3,CETP,NID2,ASAP3,DNMT3B,EBF4,P2RX7,SIRT4,CHRD,RAB11FIP3,DTX2,MYO15A,TGM1,TYRO3,CECR1,XYLB,HDAC6,ABL1,MAST3,MZF1,P2RX6,RNF215,PPM1F,ADRBK2,CYP2D6,CHKB,ARSA,TRMU,PMM1,TRIM9,NINL,SGK2,GMEB2,ZNF516,ACP5,NARFL,HAGHL,SYT17,IKBKB,GSDMD,TULP2,VRK3,AKT2,TYK2,LIG1,CAPS,PDE4C,CDK6,PON2,ZNF862,ACTR3C,URGCP,PTGDS,SH3PXD2A,XPNPEP1,RECQL5,ENO3,CHRNE,MIR5047,RCVRN,CPZ,HPX,CHKA,ACAD10,OGFOD2,ING4,PHC1,MAK,PPARD,STK38,MDN1,PHF1,GUCA1B,CUL9,VEGFA,PCDHB2,HARS2,PRLR,PDGFRB,ZNF346,USP4,NEK11,ACVR2B,PCGF1,GALNT3,PASK,GRIN3B,ARHGEF2,ZBTB17,CDK18,B4GALT6,SGIP1,HS1BP3,DNAH7,PHF19,NEK9,ABCD4,ZNF410,KCNIP2,ARAP3,PCDHB14,EPHX2,TRIM25,TEX14,LHX4,HPCA,ATP7B,MMP19,PLCG1,RNF114,DDX27,PACSIN1,PEX6,SEPT6,BMP4,GRK4,RBCK1,STK35,ZNF133,KDM5C,XRCC3,RHOJ,EPS15L1,KDM4B,ZNF780B,BAIAP2L2,CDHR3,GAD1,DUT,CBFA2T3,PRRG3,EFCAB4B,ATP8B3,HELZ2,ZNF337,POMT1,ZNF341,ACSS2,TRIM5,CNGA4,TRIM22,ILKAP,KDM6B,XAF1,IGHMBP2,RSG1,POSTN,MORC2,AGAP3,AMPD3,FBXO18,LRP4,DHX34,NTPCR,HTR2B,VILL,DGKB,APTX,VARS2,MYO7A,TRPC6,DUOX1,CYP2C8,PLCE1,TET1,SMARCAL1,MSTN,CDK15,ENPEP,CLSTN3,MAP3K12,CSAD,CDH24,NEIL1,PIF1,MCTP2,NOL3,PDPK1,GALNS,KSR1,SLMO1,MINK1,ASGR1,MBD1,ERBB2,PRDM15,ADAMTS10,SYTL1,KIF2C,PTPRF,MOB3C,PPOX,SNX27,PIP5K1A,ANXA9,POGZ,ITPKB,THNSL2,RABL2A,SUMF1,SNCA,ADAMTS19,TRIM41,RNF44,CRIP3,RARS2,ZMYM4,HDAC8,RAB41,ZNF462,NR6A1,ASTN2,GBGT1,PTGES,LRSAM1,POLR3A,ZNF214,ZNF215,PAK1,ADAM33,DOC2A,TAOK2,ME3,ADAMTS12,ACAD8,ZNF827,ADAM8,KIN,RNF144A,CAMK4,PFKM,PRDM8,ADPRHL1,DGKE,CABYR,OBSCN,CXXC1,ZFYVE27,MOV10,KIF5A,PSD3,VPS8,SLC6A1,MMP14,FUK,COLEC12,RNF207,ZFAND2B,RNF166,ZNF276,ADPGK,FTCD,VAV2,ZNF208,ADAMTS13,NBEAL2,RECQL4,PRPSAP1,ZNF577,DBF4B,TYW5,ERCC3,STK36,PRICKLE2,PPM1K,CRELD1,ZMYM6,RNF123,PPM1M,RP9,FREM1,RET,METTL17,HSPA12A,POLL,SGPL1,NUDT13,DCHS1,ZCCHC18,KIF7,PIP5KL1,ACSF2,KATNAL2,HDHD2,RNF214,TRIM68,ZNF23,IRGQ,PPP2R3B,ZNF641,ZNF610,ZNF444,KIFC2,ZNF558,MGAT5B,VWCE,NAALADL1,IRF2BP2,TET2,ZBTB5,ROR2,RAB24,ZRSR2,STK32A,HIC2,CALML6,CHD3,PYGO1,CCBL1,ZNF692,ZNF439,ZNF581,ZNF318,RXFP1,VAT1L,GTPBP2,AGAP5,ZMAT3,EFCAB12,NADSYN1,KDM2A,SNX33,ENDOV,RBM4B,RBM4,CCS,ADCY6,ZNF497,ZDHHC14,ATR,UBE2C,ARL10,NR2F1,ZNF404,POLE,EFCAB4A,PCDHB9,ZNF518A,ZNF454,RNF212,MCMDC2,P4HTM,DTX3,GTPBP6,GAK,CLK3,PLD6,ZNF784,ZNF707,RNF135,HKR1,UBA7,LIMK2,RBM10,EP400,MEX3B,EFHC2,CHEK2,AIFM3,HDDC3,BRF1,RAB11B,CDK10,HGS,RAD51D,MAPK11,C19ORF68,L3MBTL1,PCGF3,LMLN,SNAI3,KCNIP4,NUDT17,ARAP1,CYP27C1,ZSCAN30,PCDHB13,CDHR4,ERAS,ZNF70,CYHR1,PRKAR1B,ZNF793,AGAP4,ZNF559,ZDHHC11,ADAT2,XPNPEP3,ZNF471,ZNF493,ATP2A1,ZNF565,ZNF124,ZNF775,AMZ2,ZMYM1,SRC,ZNF682,ZNF257,ZNF675,MIB2,RAB40C,BCO2,PHF2,ZNF81,ZNF311,ZNF84,ZNF667,ZNF248,UCKL1,PEG3,ZNF442,ZNF587,MDM4,DLL1,ZNF652,AGAP6,TCEA3,RXRB,COL11A2,COL5A2,AGER,STK19,DOM3Z,SKIV2L,C6ORF25,ZNF814,PCDHGA1,PCDHA7,PCDHA2,CYP2D7P1,ZNF316,NUP62,PPM1N,CSNK1E,CARKD,CPNE1,CPEB1,ZSWIM8,ZSWIM7,UBE2QL1,ZC3H11B,ALKBH6,PCDHGC5,PI4KA,BGLAP,PCDHGC4,MICAL3,KCTD7,APOBEC3D,ZNF512,NAIP,KIAA1456,CDK3,PCDHGA7,PCDHGA8,CYP2A6,ZNF878,MYO15B,TAF15,MLLT6,MYO19",2.03965329162142
"3","turquoise",TRUE,0.0127,4214,1327,366,0.276,0.087,"GO:0043169","MF",1,"cation binding",2,"RBM5,CELSR3,ZBTB32,DDX11,ZC3H3,NR1H3,ZCCHC8,TIMP2,THAP3,MTA3,PARP12,EYA2,ZMYND12,MPPED2,PRKCZ,HDAC4,SIRT2,PHRF1,SMG6,RAD18,ZFYVE26,MOV10L1,CELSR1,MAP2K7,FBLN1,NRD1,CBFA2T2,TP73,UBA5,PCDHA6,PGR,MAST2,CETP,NID2,ASAP3,DNMT3B,EBF4,SIRT4,RAB11FIP3,DTX2,TGM1,CECR1,HDAC6,ABL1,MAST3,MZF1,RNF215,PPM1F,CYP2D6,ARSA,PMM1,TRIM9,NINL,GMEB2,ZNF516,ACP5,NARFL,HAGHL,SYT17,LIG1,CAPS,PDE4C,PON2,ZNF862,XPNPEP1,ENO3,CHRNE,RCVRN,CPZ,HPX,CHKA,OGFOD2,ING4,PHC1,PPARD,STK38,PHF1,GUCA1B,CUL9,PCDHB2,PRLR,ZNF346,USP4,NEK11,ACVR2B,PCGF1,GALNT3,GRIN3B,ARHGEF2,ZBTB17,B4GALT6,DNAH7,PHF19,NEK9,ZNF410,KCNIP2,ARAP3,PCDHB14,EPHX2,TRIM25,LHX4,HPCA,ATP7B,MMP19,PLCG1,RNF114,RBCK1,ZNF133,KDM5C,EPS15L1,KDM4B,ZNF780B,CDHR3,DUT,CBFA2T3,PRRG3,EFCAB4B,ATP8B3,HELZ2,ZNF337,POMT1,ZNF341,ACSS2,TRIM5,TRIM22,ILKAP,KDM6B,XAF1,IGHMBP2,POSTN,MORC2,AGAP3,AMPD3,LRP4,HTR2B,DGKB,APTX,DUOX1,CYP2C8,PLCE1,TET1,CDK15,ENPEP,CLSTN3,CDH24,NEIL1,PIF1,MCTP2,NOL3,GALNS,KSR1,SLMO1,ASGR1,MBD1,PRDM15,ADAMTS10,SYTL1,MOB3C,ANXA9,POGZ,THNSL2,SUMF1,SNCA,ADAMTS19,TRIM41,RNF44,CRIP3,ZMYM4,HDAC8,ZNF462,NR6A1,ASTN2,GBGT1,LRSAM1,POLR3A,ZNF214,ZNF215,ADAM33,DOC2A,ME3,ADAMTS12,ZNF827,ADAM8,KIN,RNF144A,PFKM,PRDM8,ADPRHL1,DGKE,CABYR,OBSCN,CXXC1,ZFYVE27,VPS8,SLC6A1,MMP14,COLEC12,RNF207,ZFAND2B,RNF166,ZNF276,ADPGK,VAV2,ZNF208,ADAMTS13,PRPSAP1,ZNF577,DBF4B,TYW5,STK36,PRICKLE2,PPM1K,CRELD1,ZMYM6,RNF123,PPM1M,RP9,FREM1,RET,METTL17,POLL,NUDT13,DCHS1,ZCCHC18,HDHD2,RNF214,TRIM68,ZNF23,PPP2R3B,ZNF641,ZNF610,ZNF444,ZNF558,MGAT5B,VWCE,NAALADL1,IRF2BP2,TET2,ZBTB5,ROR2,ZRSR2,STK32A,HIC2,CALML6,CHD3,PYGO1,ZNF692,ZNF439,ZNF581,ZNF318,RXFP1,VAT1L,AGAP5,ZMAT3,EFCAB12,KDM2A,ENDOV,RBM4B,RBM4,CCS,ADCY6,ZNF497,ZDHHC14,NR2F1,ZNF404,POLE,EFCAB4A,PCDHB9,ZNF518A,ZNF454,RNF212,P4HTM,DTX3,PLD6,ZNF784,ZNF707,RNF135,HKR1,LIMK2,RBM10,MEX3B,EFHC2,CHEK2,AIFM3,HDDC3,BRF1,HGS,C19ORF68,L3MBTL1,PCGF3,LMLN,SNAI3,KCNIP4,NUDT17,ARAP1,CYP27C1,ZSCAN30,PCDHB13,CDHR4,ZNF70,CYHR1,ZNF793,AGAP4,ZNF559,ZDHHC11,ADAT2,XPNPEP3,ZNF471,ZNF493,ATP2A1,ZNF565,ZNF124,ZNF775,AMZ2,ZMYM1,ZNF682,ZNF257,ZNF675,MIB2,BCO2,PHF2,ZNF81,ZNF311,ZNF84,ZNF667,ZNF248,PEG3,ZNF442,ZNF587,MDM4,DLL1,ZNF652,AGAP6,TCEA3,RXRB,COL11A2,COL5A2,DOM3Z,ZNF814,PCDHGA1,PCDHA7,PCDHA2,CYP2D7P1,ZNF316,PPM1N,CPNE1,CPEB1,ZSWIM8,ZSWIM7,ZC3H11B,ALKBH6,PCDHGC5,BGLAP,PCDHGC4,MICAL3,KCTD7,APOBEC3D,ZNF512,NAIP,KIAA1456,PCDHGA7,PCDHGA8,CYP2A6,ZNF878,TAF15,MLLT6",2.56866368979596
"4","turquoise",TRUE,0.0124,4121,1327,359,0.271,0.087,"GO:0046872","MF",1,"metal ion binding",3,"RBM5,CELSR3,ZBTB32,DDX11,ZC3H3,NR1H3,ZCCHC8,TIMP2,THAP3,MTA3,PARP12,EYA2,ZMYND12,MPPED2,PRKCZ,HDAC4,SIRT2,PHRF1,SMG6,RAD18,ZFYVE26,MOV10L1,CELSR1,MAP2K7,FBLN1,NRD1,CBFA2T2,TP73,UBA5,PCDHA6,PGR,MAST2,NID2,ASAP3,DNMT3B,EBF4,SIRT4,RAB11FIP3,DTX2,TGM1,CECR1,HDAC6,ABL1,MAST3,MZF1,RNF215,PPM1F,CYP2D6,ARSA,PMM1,TRIM9,NINL,GMEB2,ZNF516,ACP5,NARFL,HAGHL,SYT17,LIG1,CAPS,PDE4C,PON2,ZNF862,XPNPEP1,ENO3,RCVRN,CPZ,HPX,OGFOD2,ING4,PHC1,PPARD,STK38,PHF1,GUCA1B,CUL9,PCDHB2,PRLR,ZNF346,USP4,NEK11,ACVR2B,PCGF1,GALNT3,ARHGEF2,ZBTB17,B4GALT6,DNAH7,PHF19,NEK9,ZNF410,KCNIP2,ARAP3,PCDHB14,EPHX2,TRIM25,LHX4,HPCA,ATP7B,MMP19,PLCG1,RNF114,RBCK1,ZNF133,KDM5C,EPS15L1,KDM4B,ZNF780B,CDHR3,DUT,CBFA2T3,PRRG3,EFCAB4B,ATP8B3,HELZ2,ZNF337,POMT1,ZNF341,TRIM5,TRIM22,ILKAP,KDM6B,XAF1,IGHMBP2,POSTN,MORC2,AGAP3,AMPD3,LRP4,DGKB,APTX,DUOX1,CYP2C8,PLCE1,TET1,CDK15,ENPEP,CLSTN3,CDH24,NEIL1,PIF1,MCTP2,NOL3,GALNS,KSR1,SLMO1,ASGR1,MBD1,PRDM15,ADAMTS10,SYTL1,MOB3C,ANXA9,POGZ,SUMF1,SNCA,ADAMTS19,TRIM41,RNF44,CRIP3,ZMYM4,HDAC8,ZNF462,NR6A1,ASTN2,GBGT1,LRSAM1,POLR3A,ZNF214,ZNF215,ADAM33,DOC2A,ME3,ADAMTS12,ZNF827,ADAM8,KIN,RNF144A,PFKM,PRDM8,ADPRHL1,DGKE,CABYR,OBSCN,CXXC1,ZFYVE27,VPS8,SLC6A1,MMP14,COLEC12,RNF207,ZFAND2B,RNF166,ZNF276,ADPGK,VAV2,ZNF208,ADAMTS13,PRPSAP1,ZNF577,DBF4B,TYW5,STK36,PRICKLE2,PPM1K,CRELD1,ZMYM6,RNF123,PPM1M,RP9,FREM1,RET,METTL17,POLL,NUDT13,DCHS1,ZCCHC18,HDHD2,RNF214,TRIM68,ZNF23,PPP2R3B,ZNF641,ZNF610,ZNF444,ZNF558,MGAT5B,VWCE,NAALADL1,IRF2BP2,TET2,ZBTB5,ROR2,ZRSR2,STK32A,HIC2,CALML6,CHD3,PYGO1,ZNF692,ZNF439,ZNF581,ZNF318,RXFP1,VAT1L,AGAP5,ZMAT3,EFCAB12,KDM2A,ENDOV,RBM4B,RBM4,CCS,ADCY6,ZNF497,ZDHHC14,NR2F1,ZNF404,POLE,EFCAB4A,PCDHB9,ZNF518A,ZNF454,RNF212,P4HTM,DTX3,PLD6,ZNF784,ZNF707,RNF135,HKR1,LIMK2,RBM10,MEX3B,EFHC2,CHEK2,AIFM3,HDDC3,BRF1,HGS,C19ORF68,L3MBTL1,PCGF3,LMLN,SNAI3,KCNIP4,NUDT17,ARAP1,CYP27C1,ZSCAN30,PCDHB13,CDHR4,ZNF70,CYHR1,ZNF793,AGAP4,ZNF559,ZDHHC11,ADAT2,XPNPEP3,ZNF471,ZNF493,ATP2A1,ZNF565,ZNF124,ZNF775,AMZ2,ZMYM1,ZNF682,ZNF257,ZNF675,MIB2,BCO2,PHF2,ZNF81,ZNF311,ZNF84,ZNF667,ZNF248,PEG3,ZNF442,ZNF587,MDM4,DLL1,ZNF652,AGAP6,TCEA3,RXRB,COL11A2,COL5A2,DOM3Z,ZNF814,PCDHGA1,PCDHA7,PCDHA2,CYP2D7P1,ZNF316,PPM1N,CPNE1,CPEB1,ZSWIM8,ZSWIM7,ZC3H11B,ALKBH6,PCDHGC5,BGLAP,PCDHGC4,MICAL3,KCTD7,APOBEC3D,ZNF512,NAIP,KIAA1456,PCDHGA7,PCDHGA8,CYP2A6,ZNF878,TAF15,MLLT6",2.59652962640209
"5","turquoise",TRUE,0.0494,19,652,7,0.011,0.368,"REAC:888590","rea",3,"GABA synthesis, release, reuptake and degradation",1,"STX1A,SLC6A12,ALDH5A1,GAD1,STXBP1,SLC6A1,CPLX1",NA
"6","turquoise",TRUE,0.00347,187,652,29,0.044,0.155,"REAC:5617833","rea",4,"Assembly of the primary cilium",1,"PKD1,MKS1,OFD1,IFT80,RAB11FIP3,HDAC6,NINL,CEP192,IFT20,CEP164,NPHP4,CNGA4,IFT172,NPHP1,CENPJ,PCNT,C2CD3,CCDC41,BBS1,EXOC7,TCTE3,IFT140,FBF1,SFI1,CEP290,FGFR1OP,TCTEX1D2,CSNK1E,HAUS5",NA
"7","violet",TRUE,0.0264,6026,124,63,0.508,0.01,"GO:0044249","BP",2,"cellular biosynthetic process",1,"GCFC2,ZFP64,CPS1,PIGV,AHRR,SMARCA2,MTIF2,ZDHHC15,MTPAP,MAP2K6,SUV420H1,TBP,GLE1,COQ6,GPAM,ZNF549,ZNF211,SIRT5,ZNF391,SLC35B3,QRSL1,TRIM21,POLR3F,TEX10,HMG20A,RXRG,GABPB2,NVL,GUF1,ZNF599,RMND1,AASDH,ZNF19,THEM4,SAP30BP,ZNF528,ZNF30,ADAL,B3GALNT1,ZNF440,GCNT4,ZNF491,ZNF223,ZNF594,ZNF572,RFX7,GTF2H2C,NR2F2,CYP2R1,FANCM,ZNF626,ZKSCAN3,ZNF681,ZKSCAN7,ZNF860,ZNF624,ZNF544,NFS1,ZNF585B,FSBP,ZNF285,DACH1,ZNF229",2.22959116057188
"8","violet",TRUE,0.0441,4907,124,54,0.435,0.011,"GO:0034645","BP",2,"cellular macromolecule biosynthetic process",1,"GCFC2,ZFP64,PIGV,AHRR,SMARCA2,MTIF2,ZDHHC15,MTPAP,MAP2K6,SUV420H1,TBP,GLE1,ZNF549,ZNF211,SIRT5,ZNF391,QRSL1,TRIM21,POLR3F,TEX10,HMG20A,RXRG,GABPB2,NVL,GUF1,ZNF599,RMND1,ZNF19,SAP30BP,ZNF528,ZNF30,B3GALNT1,ZNF440,GCNT4,ZNF491,ZNF223,ZNF594,ZNF572,RFX7,GTF2H2C,NR2F2,FANCM,ZNF626,ZKSCAN3,ZNF681,ZKSCAN7,ZNF860,ZNF624,ZNF544,ZNF585B,FSBP,ZNF285,DACH1,ZNF229",2.43525098344542
"9","violet",TRUE,0.0302,3960,124,47,0.379,0.012,"GO:2000112","BP",2,"regulation of cellular macromolecule biosynthetic process",2,"GCFC2,ZFP64,AHRR,SMARCA2,MTIF2,MAP2K6,SUV420H1,TBP,GLE1,ZNF549,ZNF211,SIRT5,ZNF391,TRIM21,POLR3F,TEX10,HMG20A,RXRG,GABPB2,NVL,GUF1,ZNF599,RMND1,ZNF19,SAP30BP,ZNF528,ZNF30,ZNF440,ZNF491,ZNF223,ZNF594,ZNF572,RFX7,GTF2H2C,NR2F2,ZNF626,ZKSCAN3,ZNF681,ZKSCAN7,ZNF860,ZNF624,ZNF544,ZNF585B,FSBP,ZNF285,DACH1,ZNF229",3.05532834713118
"10","violet",TRUE,0.0465,6124,124,63,0.508,0.01,"GO:1901576","BP",9,"organic substance biosynthetic process",1,"GCFC2,ZFP64,CPS1,PIGV,AHRR,SMARCA2,MTIF2,ZDHHC15,MTPAP,MAP2K6,SUV420H1,TBP,GLE1,COQ6,GPAM,ZNF549,ZNF211,SIRT5,ZNF391,SLC35B3,QRSL1,TRIM21,POLR3F,TEX10,HMG20A,RXRG,GABPB2,NVL,GUF1,ZNF599,RMND1,AASDH,ZNF19,THEM4,SAP30BP,ZNF528,ZNF30,ADAL,B3GALNT1,ZNF440,GCNT4,ZNF491,ZNF223,ZNF594,ZNF572,RFX7,GTF2H2C,NR2F2,CYP2R1,FANCM,ZNF626,ZKSCAN3,ZNF681,ZKSCAN7,ZNF860,ZNF624,ZNF544,NFS1,ZNF585B,FSBP,ZNF285,DACH1,ZNF229",2.20197361337078
