"","InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"1","lightcyan","105976_REACTOME_Eukaryotic_Translation_Elongation__Reactome_NCBI_Biosystems","PW_Lists",3.51982470581664e-125
"2","lightcyan","105968_REACTOME_Formation_of_a_pool_of_free_40S_subunits__Reactome_NCBI_Biosystems","PW_Lists",9.25960720881946e-123
"3","lightcyan","105977_REACTOME_Peptide_chain_elongation__Reactome_NCBI_Biosystems","PW_Lists",1.33371533529198e-121
"4","lightcyan","413404_KEGG_Ribosome,_eukaryotes__Kegg_NCBI_Biosystems","PW_Lists",5.39100116534353e-119
"5","lightcyan","441_KEGG_Ribosome__Kegg_NCBI_Biosystems","PW_Lists",4.95861932287642e-118
"6","lightcyan","83036_KEGG_Ribosome__Kegg_NCBI_Biosystems","PW_Lists",4.95861932287642e-118
"7","lightcyan","105978_REACTOME_Eukaryotic_Translation_Termination__Reactome_NCBI_Biosystems","PW_Lists",3.20032206374939e-116
"8","lightcyan","106077_REACTOME_Viral_mRNA_Translation__Reactome_NCBI_Biosystems","PW_Lists",3.20032206374939e-116
"9","lightcyan","198853_WikiPathways_Cytoplasmic_Ribosomal_Proteins__Wiki_Pathways_NCBI_Biosystems","PW_Lists",3.20032206374939e-116
"10","lightcyan","160955_REACTOME_L13a-mediated_translational_silencing_of_Ceruloplasmin_expression__Reactome_NCBI_Biosystems","PW_Lists",5.30726968767153e-116
"11","lightcyan","105973_REACTOME_GTP_hydrolysis_and_joining_of_the_60S_ribosomal_subunit__Reactome_NCBI_Biosystems","PW_Lists",2.09268600901224e-115
"12","lightcyan","366242_REACTOME_Nonsense_Mediated_Decay_Independent_of_the_Exon_Junction_Complex__Reactome_NCBI_Biosystems","PW_Lists",3.1671666518984e-112
"13","lightcyan","105966_REACTOME_Eukaryotic_Translation_Initiation__Reactome_NCBI_Biosystems","PW_Lists",1.54157849847112e-111
"14","lightcyan","105967_REACTOME_Cap-dependent_Translation_Initiation__Reactome_NCBI_Biosystems","PW_Lists",1.54157849847112e-111
"15","lightcyan","105965_REACTOME_Translation__Reactome_NCBI_Biosystems","PW_Lists",2.13981000447566e-106
"16","lightcyan","106074_REACTOME_Influenza_Viral_RNA_Transcription_and_Replication__Reactome_NCBI_Biosystems","PW_Lists",3.68478982475975e-105
"17","lightcyan","salmon_M12_Ribosome__HumanMeta","Brain",8.41757815228075e-105
"18","lightcyan","366240_REACTOME_Nonsense-Mediated_Decay__Reactome_NCBI_Biosystems","PW_Lists",1.8423241627537e-101
"19","lightcyan","366241_REACTOME_Nonsense_Mediated_Decay_Enhanced_by_the_Exon_Junction_Complex__Reactome_NCBI_Biosystems","PW_Lists",1.8423241627537e-101
"20","lightcyan","530746_REACTOME_SRP-dependent_cotranslational_protein_targeting_to_membrane__Reactome_NCBI_Biosystems","PW_Lists",1.8423241627537e-101
"21","lightcyan","106067_REACTOME_Influenza_Infection__Reactome_NCBI_Biosystems","PW_Lists",2.26428859168869e-90
"22","lightcyan","106068_REACTOME_Influenza_Life_Cycle__Reactome_NCBI_Biosystems","PW_Lists",8.59740173233725e-90
"23","lightcyan","106230_REACTOME_Metabolism_of_proteins__Reactome_NCBI_Biosystems","PW_Lists",6.6696140560185e-69
"24","cyan","pink_M10_Microglia(Type1)__HumanMeta","Brain",7.67736524350172e-52
"25","cyan","Substantia Nigra, pars reticulata_localMarker(top200)_IN_Mesencephalon__HBA","HumanBrainRegions",6.62972728902403e-48
"26","lightcyan","105969_REACTOME_Formation_of_the_ternary_complex,_and_subsequently,_the_43S_complex__Reactome_NCBI_Biosystems","PW_Lists",3.94209333644525e-45
"27","darkred","DownWithAlzheimers_Liang__ADvsCT_inCA1","Brain",2.39533825297858e-44
"28","lightcyan","105971_REACTOME_Translation_initiation_complex_formation__Reactome_NCBI_Biosystems","PW_Lists",5.45000572075411e-42
"29","lightcyan","105972_REACTOME_Ribosomal_scanning_and_start_codon_recognition__Reactome_NCBI_Biosystems","PW_Lists",5.45000572075411e-42
"30","lightcyan","105970_REACTOME_Activation_of_the_mRNA_upon_binding_of_the_cap-binding_complex_and_eIFs,_and_subsequent_binding_to_43S__Reactome_NCBI_Biosystems","PW_Lists",1.35204627468895e-41
"31","cyan","Substantia Nigra, pars reticulata_localMarker(FC>2)_IN_Mesencephalon__HBA","HumanBrainRegions",3.66557849446944e-41
"32","lightcyan","530764_REACTOME_Disease__Reactome_NCBI_Biosystems","PW_Lists",1.44416826455201e-40
"33","lightcyan","105937_REACTOME_Gene_Expression__Reactome_NCBI_Biosystems","PW_Lists",1.01188642358526e-36
"34","tan","105921_REACTOME_Respiratory_electron_transport,_ATP_synthesis_by_chemiosmotic_coupling,_and_heat_production_by_uncoupling_proteins.__Reactome_NCBI_Biosystems","PW_Lists",5.46187454643078e-35
"35","tan","303_KEGG_Oxidative_phosphorylation__Kegg_NCBI_Biosystems","PW_Lists",2.53557170712108e-33
"36","tan","82942_KEGG_Oxidative_phosphorylation__Kegg_NCBI_Biosystems","PW_Lists",2.53557170712108e-33
"37","tan","6209_mito_oxidative_phosph_pad_196__Palazzolo_and_Wang","PW_Lists",2.85023405912262e-32
