"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","yellow",TRUE,0.0433,1844,223,63,0.283,0.034,"REAC:74160","rea",1,"Gene Expression",1,"EDC4,TAF11,XAB2,SESN1,ZNF324,ZNF302,OSGEP,BRD1,SRSF5,DICER1,TAF1C,TSC2,SF3A2,MED25,TBP,SF3B1,SRSF11,ZFP30,NR2C1,PMS2,SIN3B,KRBA1,AGO4,ZNF740,ZNF773,PAN3,ZNF599,ZNF19,U2AF1L4,SAP30BP,ZNF577,ZNF3,ZNF606,ZNF226,SRRM2,UPF3A,EXOSC10,ZNF554,ZNF596,ZNF621,ZNF266,ZNF169,ZNF707,ZNF721,MTA1,ZNF662,ZNF530,RNPC3,ZNF529,ZNF75D,ZNF418,MAML3,ZNF517,DDX42,ZNF26,RXRB,ZNF155,ZNF425,ZNF705E,ZNF736,ZNF10,ZNF224,CWC25",NA
"2","yellow",TRUE,0.000102,869,223,43,0.193,0.049,"REAC:212436","rea",1,"Generic Transcription Pathway",2,"TAF11,SESN1,ZNF324,ZNF302,BRD1,TSC2,MED25,TBP,ZFP30,NR2C1,PMS2,KRBA1,AGO4,ZNF740,ZNF773,ZNF599,ZNF19,ZNF577,ZNF3,ZNF606,ZNF226,ZNF554,ZNF596,ZNF621,ZNF266,ZNF169,ZNF707,ZNF721,ZNF662,ZNF530,ZNF529,ZNF75D,ZNF418,MAML3,ZNF517,ZNF26,RXRB,ZNF155,ZNF425,ZNF705E,ZNF736,ZNF10,ZNF224",NA
"3","blue",TRUE,0.0134,690,1175,74,0.063,0.107,"GO:0043087","BP",17,"regulation of GTPase activity",1,"PLEKHG6,RTN4R,ARAP2,ARHGEF5,TNK2,ERBB3,TBC1D22B,NGEF,ARFGEF1,FGFR3,LLGL2,GMIP,TBC1D2,TBC1D10A,SH3BP1,HPS4,RANGAP1,EZH2,DNMBP,RAPGEFL1,FZD10,WNT5A,RTKN,RALGPS2,SIPA1L2,PTK2B,DEPDC7,PSD4,SH2D3A,FGD3,AJUBA,ARHGEF16,TBC1D14,VAV3,ARHGAP32,ARHGEF4,RAPGEF5,CPEB2,GRTP1,ERBB2,ARHGEF19,SH3BGRL3,EGFR,EPHA1,ARHGAP39,PROM2,TIAM1,GRHL3,RGS12,WNT4,DENND2D,PLXNB1,RGS14,PLEKHG5,RASGRP1,NET1,SPTBN2,HRAS,RIN1,EPS8L2,ALS2CL,RCC2,RCC1,FGD6,SCRIB,EPHB3,ARHGEF37,EFNA5,ARHGAP30,SEMA4D,PLXNB2,CDC42SE1,DENND1B,TBC1D3B",5.16166887591942
"4","blue",TRUE,0.00575,463,1175,56,0.048,0.121,"GO:1901615","BP",7,"organic hydroxy compound metabolic process",1,"RETSAT,ACAA1,CDH3,ALDH3A2,SREBF1,FDFT1,FAT2,OCA2,SQLE,GATA3,ERLIN1,MVK,VDR,HMGCS1,HMGCR,WNT5A,SCAP,GPD2,DHCR24,PTK2B,EBPL,TRERF1,PAX8,IPPK,SRD5A3,GCH1,ALDH3B2,C14ORF1,PSAT1,DUOX1,RDH12,DUOXA1,SORD,DUOX2,IMPA2,SRD5A1,EBP,PLCH2,TM7SF2,LDLRAP1,WNT4,SGPP2,CYB5R2,MVD,DEGS2,PPIP5K1,P2RY1,DHCR7,GCNT4,FOXE1,CYP4F12,CYP4F3,AKR1B10,SREBF2,DIO2,CEBPA",5.05414234043022
"5","blue",TRUE,0.00029,181,1175,32,0.027,0.177,"GO:0006575","BP",14,"cellular modified amino acid metabolic process",1,"GCLC,GGCT,GSTO2,GSTP1,MGST2,ETHE1,GATA3,ALDH5A1,NFE2L2,PAX8,GCH1,GGH,DUOX1,DUOXA1,DUOX2,C9ORF41,ALDH4A1,SERINC5,GGT6,SERINC2,PLA2G4F,CLIC3,GSTA4,GATM,LPCAT4,GCNT4,OPLAH,FOXE1,P4HB,DIO2,CKMT1A,CKMT1B",6.04842557304717
"6","blue",TRUE,0.0118,2826,1175,233,0.198,0.082,"GO:0065009","BP",6,"regulation of molecular function",1,"PLEKHG6,GIPR,CD44,RTN4R,ARAP2,ARHGEF5,SERPINB3,GNA15,TNK2,CDH3,LPAR2,ERBB3,TBC1D22B,NGEF,ARFGEF1,PRKCZ,FGFR3,ATP1B3,MARK2,TP63,LLGL2,TXK,DLG1,TRAF4,CAMSAP3,TP73,GRHL2,GSTP1,MGST2,FXYD3,GMIP,MAP3K1,TBC1D2,TBC1D10A,SH3BP1,HPS4,RANGAP1,BMP7,PTK6,NDFIP2,TRADD,SETD6,CSK,JPH1,SH2D4A,TNFRSF10A,HSPB1,EZH2,TRIM14,BAG1,DVL1,GATA3,DNMBP,RAPGEFL1,SLC9A3R1,CCND1,OAS3,VDR,FZD10,PERP,GPR126,MDFI,HMGCR,H2AFY,CSNK1A1,FAM162A,WNT5A,COL7A1,HES1,MAPKAPK3,RTKN,DHCR24,RALGPS2,TRIM62,SIPA1L2,APH1A,RCAN3,RPS6KA1,TNNT2,SGK1,PTK2B,ADCY7,CSTA,DEPDC7,TNFSF10,GPSM2,ACVR2A,PLAU,CKS2,EDN3,PSD4,SH2D3A,FLRT3,FGD3,EDN2,TRAF2,SMARCA4,AJUBA,FOXA1,CEP85,ARHGEF16,TRAF7,GCH1,PODNL1,DNAJB1,TBC1D14,SPINK5,MEN1,MBD2,BHLHE40,VAV3,ARHGAP32,ARHGEF4,RAPGEF5,DBNL,TXN,KLF4,CPEB2,BCL2L10,GPR87,TDG,GRTP1,TOM1L1,MINK1,CARD14,ERBB2,FEM1A,LMTK3,CBLC,ARHGEF19,SH3BGRL3,PTPRF,PROK1,S100A8,MLK4,EGFR,EPHA1,ARHGAP39,CDKN2B,NOTCH1,PDCD4,ANK3,HOMER1,PROM2,TIAM1,SH3RF2,CD109,SPPL3,LDLRAP1,GRHL3,RGS12,WNT4,VANGL2,DENND2D,S100A9,ZC3H12A,PLXNB1,MST1R,DUSP7,PITX2,ITGA2,SERINC5,PTTG1,CTSB,FZD6,SPINT1,A2ML1,CHP2,GOLGA2,NOD2,SPINT2,SERINC2,RGS14,EFNA1,ADRB2,NR0B1,ROBO1,P2RY1,FOS,ADORA2B,ZNF16,SOX7,NETO2,LPAR3,PLEKHG5,PPP1CA,RASGRP1,MYD88,PPP1R14B,JUP,NET1,SPTBN2,HRAS,PCP2,RIN1,WFDC5,CCNE2,SFN,CDK5R1,EPS8L2,ALS2CL,CTNNBIP1,RCC2,RCC1,FGD6,SCRIB,RAP2B,EPHB3,ARHGEF37,RIPK4,EFNA5,ZBTB7C,ANO9,RTN4RL1,ARHGAP30,SEMA4D,IL1RAP,SPTSSB,PLXNB2,GM2A,ZNF675,CDC42SE1,SERPINB13,STK39,PPP1R14C,SERPINB11,SERPINB4,SERPINB5,DENND1B,EMP2,CEBPA,TEN1,TBC1D3B",3.34058179159684
"7","blue",TRUE,0.0334,2328,1175,195,0.166,0.084,"GO:0050790","BP",6,"regulation of catalytic activity",2,"PLEKHG6,GIPR,CD44,RTN4R,ARAP2,ARHGEF5,SERPINB3,GNA15,TNK2,CDH3,LPAR2,ERBB3,TBC1D22B,NGEF,ARFGEF1,PRKCZ,FGFR3,ATP1B3,MARK2,TP63,LLGL2,TXK,DLG1,TRAF4,CAMSAP3,TP73,GRHL2,GSTP1,MGST2,FXYD3,GMIP,MAP3K1,TBC1D2,TBC1D10A,SH3BP1,HPS4,RANGAP1,BMP7,PTK6,TRADD,CSK,SH2D4A,TNFRSF10A,HSPB1,EZH2,BAG1,DVL1,DNMBP,RAPGEFL1,SLC9A3R1,CCND1,OAS3,VDR,FZD10,PERP,GPR126,HMGCR,H2AFY,FAM162A,WNT5A,COL7A1,MAPKAPK3,RTKN,DHCR24,RALGPS2,SIPA1L2,APH1A,RCAN3,RPS6KA1,TNNT2,SGK1,PTK2B,ADCY7,CSTA,DEPDC7,TNFSF10,GPSM2,ACVR2A,CKS2,EDN3,PSD4,SH2D3A,FLRT3,FGD3,EDN2,TRAF2,AJUBA,CEP85,ARHGEF16,TRAF7,GCH1,PODNL1,DNAJB1,TBC1D14,SPINK5,MEN1,VAV3,ARHGAP32,ARHGEF4,RAPGEF5,DBNL,TXN,KLF4,CPEB2,BCL2L10,GPR87,GRTP1,TOM1L1,CARD14,ERBB2,FEM1A,LMTK3,CBLC,ARHGEF19,SH3BGRL3,PROK1,S100A8,MLK4,EGFR,EPHA1,ARHGAP39,CDKN2B,NOTCH1,PDCD4,PROM2,TIAM1,SH3RF2,CD109,GRHL3,RGS12,WNT4,VANGL2,DENND2D,S100A9,PLXNB1,MST1R,DUSP7,ITGA2,SERINC5,PTTG1,CTSB,SPINT1,A2ML1,CHP2,NOD2,SPINT2,SERINC2,RGS14,EFNA1,ADRB2,ROBO1,ADORA2B,ZNF16,SOX7,LPAR3,PLEKHG5,RASGRP1,PPP1R14B,NET1,SPTBN2,HRAS,PCP2,RIN1,WFDC5,CCNE2,SFN,CDK5R1,EPS8L2,ALS2CL,RCC2,RCC1,FGD6,SCRIB,RAP2B,EPHB3,ARHGEF37,EFNA5,RTN4RL1,ARHGAP30,SEMA4D,SPTSSB,PLXNB2,GM2A,ZNF675,CDC42SE1,SERPINB13,PPP1R14C,SERPINB11,SERPINB4,SERPINB5,DENND1B,EMP2,CEBPA,TEN1,TBC1D3B",3.58569278075349
"8","blue",TRUE,0.000251,1333,1175,132,0.112,0.099,"GO:0051674","BP",1,"localization of cell",1,"SEMA3F,CD44,DAPK2,ARHGEF5,SYNE2,SERPINB3,PKP2,LAMC2,STYK1,TNK2,ERBB3,PRKCZ,ATP1B3,MARK2,CELSR1,FSCN1,PLD1,GSTP1,CEACAM6,FAT2,EFNB1,SLC7A8,TYRO3,EPB41L4B,TSPO,BDKRB1,PTK6,FERMT1,ELMO3,NDRG4,SLC7A5,CSK,RPS19,HSPB1,KANK1,GATA3,SLC9A3R1,FOXN1,TRPV4,PEX7,WWC1,WNT5A,HES1,HYAL1,SDC1,NFE2L2,CD58,SGK1,PTK2B,PLAU,EDN3,RREB1,FLRT3,OVOL2,EDN2,AJUBA,PAK4,ARHGEF16,LGALS3,ITGB4,RAB25,SFTPD,VAV3,ACVR1B,KLF4,SEMA6D,ITGB7,SORD,MINK1,ERBB2,GRB7,SH3BGRL3,PTPRF,S100A8,EGFR,EPHA1,SHROOM2,NOTCH1,MTA2,GJA1,CXADR,TIAM1,CXCL16,WNT4,VANGL2,S100A9,ZC3H12A,PLXNB1,PITX2,ITGA2,F2RL1,DEFB1,SGPL1,MESP1,SPINT2,SERINC2,EFNA1,ROBO1,P2RY1,PLEKHG5,KRT2,MYD88,JUP,NET1,GCSAM,HRAS,CDK5R1,FOXE1,RCC2,ALOX15B,CXCR2,SCRIB,FAM83H,TMEM102,RAP2B,CLDN7,IDH2,EPHB3,PRKX,TACSTD2,FAM110C,TNFRSF18,SEMA4D,S100A14,SEMA4A,MYO18A,PLXNB2,S100A2,DPP4,DDR1,GPR56,EMP2",4.20194731060853
"9","blue",TRUE,0.0015,5693,1175,434,0.369,0.076,"GO:0032502","BP",1,"developmental process",1,"GCLC,SEMA3F,JARID2,MLXIPL,CD9,GIPR,CAPN1,TYMP,CD44,CDH1,RTN4R,BARX2,DSG2,SERPINB3,PKP2,LAMC2,STYK1,TNK2,CDH3,ATP2C2,ERBB3,COL17A1,NGEF,ARFGEF1,PRKCZ,FGFR3,PITX1,MAPK6,NDST1,ALDH3A2,SREBF1,MARK2,TP63,LLGL2,TXK,CELSR1,FSCN1,WDR62,DLG1,TPD52,TRAF4,CAMSAP3,NEBL,TP73,TOLLIP,PKP1,AACS,GRHL2,GSTP1,IGSF9,PTHLH,TFAP2C,DYNLL1,KDM2B,EFNB1,TYRO3,BLNK,SRPK1,DSP,HPS4,TRIOBP,MICALL1,PICK1,BIK,TSPO,BMP7,PTK6,KLF5,ACP5,TRADD,PLLP,NDRG4,SETD6,ESRP2,SLC7A5,CSK,OCA2,JPH1,TRPS1,TNFRSF10A,LHB,PPP1R13L,CASP14,MYH14,RPS19,COMP,UPK1A,ETV2,LSR,DLX5,COBL,HSPB1,PTPRZ1,EZH2,KANK1,DVL1,GATA3,PLEKHA1,UNC5B,RAPGEFL1,WNT3,SLC9A3R1,FOXN1,SULT1E1,CCND1,PVRL1,EXPH5,SLC11A2,TRPV4,VDR,FZD10,ALDH5A1,GMNN,PEX7,PERP,GPR126,MDFI,HMGCS1,HMGCR,IRX4,WWC1,H2AFY,CSNK1A1,WNT5A,COL7A1,HES1,HYAL1,SCAP,TFCP2L1,GPD2,TANC1,IL1RL2,SDC1,NFE2L2,DHCR24,TRIM62,TFAP2E,ETV3,APH1A,IRF6,RCAN3,RPS6KA1,TNNT2,MREG,SGK1,PTBP3,BCL11A,KIAA1217,PTK2B,ZNF706,CSTA,GJB6,TNFSF10,GPSM2,ACVR2A,ARL4A,RAB38,EDN3,TRERF1,KLHL31,RREB1,RUNX2,MT1G,PAX8,FLRT3,OVOL2,PLAGL2,FGD3,EDN2,BCL11B,SMARCA4,SOX15,AJUBA,FOXA1,NEDD8,SCO2,CAMSAP1,PAK4,NPAS1,UBE4B,CASZ1,RAB11FIP4,KRT34,LGALS3,ITGB4,RAB25,CSNK1G2,SFTPD,SPINK5,MICALCL,MEN1,MBD2,VAV3,NOTCH2,GRHL1,HOOK1,DSC3,CCDC64,KCP,EHF,ACVR1B,RAPGEF5,DBNL,HS6ST1,KLF4,TFAP2A,POU2F3,PAQR5,DUOX1,STRA6,SEMA6D,TDG,ITGB7,WDFY2,STON2,DUOXA1,DUOX2,TLE3,ULK3,RHCG,MCTP2,MINK1,ZNF750,FAM134C,ERBB2,ARHGEF19,PTPRF,IGSF3,PROK1,CELSR2,CRABP2,RORC,TUFT1,S100A8,EFNA3,SRD5A1,TNFRSF21,EGFR,EPHA1,SHROOM2,CCDC120,EBP,CDKN2B,FAM73B,NOTCH1,TENM4,ST14,MPZL2,CDH22,TBX6,PDCD4,ANK3,MLF1IP,ARL11,HOMER1,GJA1,CCNO,MARVELD2,CERS3,ABCA5,TRIM11,CXADR,GRIP1,WIF1,TIAM1,CD109,GRHL3,CNNM4,RUNX1,CBR1,HK2,PGLYRP3,ISL2,NR2F6,ZBTB7B,NBEAL2,ZNF385A,FGF11,WNT4,VANGL2,SMC6,IVL,S100A9,DAPL1,CLDN1,ELF3,ARPC2,TMEM79,RBM47,ZC3H12A,SFMBT1,PLXNB1,PITX2,ITGA2,F2RL1,SERINC5,FOXQ1,SFXN1,DAGLB,FABP5,CTSB,DEFB1,FZD6,STRBP,AQP3,GJB2,ZNF219,AMN,SPINT1,SGPL1,TMEM41B,MESP1,DCTN5,SLC27A4,LY6D,NXN,KRT1,EVPL,RPSA,MFSD2A,SERINC2,CSNK1G1,RGS14,EFNA1,ADRB2,NR0B1,SPRR1B,BNC1,APLF,RAC3,ROBO1,P2RY1,CHRNB1,FOS,KRT4,IRX2,ZNF16,MTSS1,SOX7,KRT19,KRT15,KRT13,DLK2,WIPF2,LPAR3,HDAC3,PPP1CA,RASGRP1,RARG,SSH3,KRT2,DHCR7,MYD88,ADRBK1,ESRRA,JUP,NET1,SPTBN2,TNK1,HRAS,SFN,BAIAP2,CDK5R1,IRX5,GCNT4,IRX3,CTNNBIP1,FOXE1,RCC2,ALOX15B,CITED4,FGD6,S1PR5,CXCR2,SCRIB,FAM83H,FRAT2,SYNE4,RAP2B,IDH2,EPHB3,RIPK4,ASCL2,PRKX,TACSTD2,EFNA5,ZBTB7C,KRT6B,FAM212A,RTN4RL1,KRT5,KRT10,KRT14,TNFRSF18,TLR5,TET3,SEMA4D,FZD9,GJB3,SP6,CLDN4,GJB5,CXCL17,BLOC1S2,IL1RAP,SEMA4A,RYR1,PLXNB2,LAMB3,ZNF675,CDC42SE1,CTNND1,APRT,RBM20,MAFB,C6ORF25,POU5F1,DDR1,LGR4,GPR56,KRT6A,SERPINB5,EMP2,EVPLL,TNFRSF25,TRIM16,NTF4,EIF6,EFNA4,CRYBB2,CEBPA,SALL3,HIST1H4E,NR2E3",1.91829956231654
"10","blue",TRUE,0.000435,5291,1175,411,0.35,0.078,"GO:0048856","BP",1,"anatomical structure development",2,"SEMA3F,JARID2,MLXIPL,CD9,GIPR,CAPN1,TYMP,CD44,CDH1,RTN4R,BARX2,DSG2,SERPINB3,PKP2,LAMC2,CDH3,ATP2C2,ERBB3,COL17A1,NGEF,ARFGEF1,PRKCZ,FGFR3,PITX1,MAPK6,NDST1,ALDH3A2,SREBF1,MARK2,TP63,LLGL2,TXK,CELSR1,FSCN1,WDR62,DLG1,TPD52,TRAF4,CAMSAP3,NEBL,TP73,TOLLIP,PKP1,AACS,GRHL2,GSTP1,IGSF9,PTHLH,TFAP2C,DYNLL1,KDM2B,EFNB1,TYRO3,BLNK,SRPK1,DSP,TRIOBP,MICALL1,PICK1,BIK,TSPO,BMP7,PTK6,KLF5,ACP5,TRADD,PLLP,NDRG4,ESRP2,SLC7A5,CSK,OCA2,JPH1,TRPS1,TNFRSF10A,LHB,PPP1R13L,CASP14,MYH14,RPS19,COMP,UPK1A,ETV2,LSR,DLX5,COBL,HSPB1,PTPRZ1,EZH2,KANK1,DVL1,GATA3,PLEKHA1,UNC5B,RAPGEFL1,WNT3,SLC9A3R1,FOXN1,CCND1,PVRL1,EXPH5,SLC11A2,TRPV4,VDR,FZD10,ALDH5A1,GMNN,PEX7,PERP,GPR126,MDFI,HMGCS1,HMGCR,IRX4,H2AFY,CSNK1A1,WNT5A,COL7A1,HES1,HYAL1,TFCP2L1,GPD2,TANC1,IL1RL2,SDC1,NFE2L2,DHCR24,TRIM62,TFAP2E,APH1A,IRF6,RCAN3,RPS6KA1,TNNT2,SGK1,PTBP3,BCL11A,KIAA1217,PTK2B,CSTA,GJB6,TNFSF10,GPSM2,ACVR2A,EDN3,TRERF1,KLHL31,RREB1,RUNX2,MT1G,PAX8,FLRT3,OVOL2,PLAGL2,FGD3,EDN2,BCL11B,SMARCA4,SOX15,AJUBA,FOXA1,NEDD8,SCO2,CAMSAP1,PAK4,NPAS1,UBE4B,CASZ1,RAB11FIP4,KRT34,LGALS3,ITGB4,RAB25,CSNK1G2,SFTPD,SPINK5,MICALCL,MEN1,MBD2,VAV3,NOTCH2,GRHL1,HOOK1,DSC3,CCDC64,KCP,EHF,ACVR1B,RAPGEF5,DBNL,HS6ST1,KLF4,TFAP2A,POU2F3,PAQR5,DUOX1,STRA6,SEMA6D,TDG,ITGB7,STON2,DUOXA1,DUOX2,TLE3,RHCG,MCTP2,MINK1,ZNF750,FAM134C,ERBB2,ARHGEF19,PTPRF,IGSF3,PROK1,CELSR2,CRABP2,RORC,TUFT1,S100A8,EFNA3,SRD5A1,TNFRSF21,EGFR,EPHA1,SHROOM2,CCDC120,EBP,CDKN2B,FAM73B,NOTCH1,TENM4,ST14,MPZL2,CDH22,TBX6,ANK3,MLF1IP,ARL11,HOMER1,GJA1,CCNO,MARVELD2,CERS3,TRIM11,CXADR,GRIP1,WIF1,TIAM1,CD109,GRHL3,CNNM4,RUNX1,CBR1,HK2,PGLYRP3,ISL2,NR2F6,ZBTB7B,NBEAL2,ZNF385A,FGF11,WNT4,VANGL2,IVL,S100A9,CLDN1,ELF3,ARPC2,TMEM79,RBM47,ZC3H12A,SFMBT1,PLXNB1,PITX2,ITGA2,F2RL1,SERINC5,FOXQ1,SFXN1,DAGLB,FABP5,CTSB,DEFB1,FZD6,STRBP,AQP3,GJB2,ZNF219,AMN,SPINT1,SGPL1,TMEM41B,MESP1,DCTN5,SLC27A4,LY6D,NXN,KRT1,EVPL,RPSA,MFSD2A,SERINC2,CSNK1G1,RGS14,EFNA1,ADRB2,NR0B1,SPRR1B,BNC1,APLF,RAC3,ROBO1,P2RY1,CHRNB1,FOS,KRT4,IRX2,ZNF16,MTSS1,SOX7,KRT19,KRT15,KRT13,WIPF2,LPAR3,HDAC3,PPP1CA,RASGRP1,RARG,SSH3,KRT2,DHCR7,MYD88,ADRBK1,ESRRA,JUP,NET1,SPTBN2,HRAS,SFN,BAIAP2,CDK5R1,IRX5,GCNT4,IRX3,CTNNBIP1,FOXE1,RCC2,ALOX15B,FGD6,S1PR5,CXCR2,SCRIB,FAM83H,FRAT2,SYNE4,RAP2B,IDH2,EPHB3,RIPK4,ASCL2,PRKX,TACSTD2,EFNA5,KRT6B,FAM212A,RTN4RL1,KRT5,KRT10,KRT14,TNFRSF18,TLR5,TET3,SEMA4D,FZD9,GJB3,SP6,CLDN4,GJB5,CXCL17,BLOC1S2,IL1RAP,SEMA4A,RYR1,PLXNB2,LAMB3,ZNF675,CDC42SE1,CTNND1,APRT,RBM20,MAFB,C6ORF25,POU5F1,DDR1,LGR4,GPR56,KRT6A,SERPINB5,EMP2,EVPLL,TNFRSF25,TRIM16,NTF4,EIF6,EFNA4,CRYBB2,CEBPA,SALL3,HIST1H4E,NR2E3",2.07341323346828
