"","InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"1","darkmagenta","105968_REACTOME_Formation_of_a_pool_of_free_40S_subunits__Reactome_NCBI_Biosystems","PW_Lists",6.02542901477054e-53
"2","salmon4","BloodPlatelets_customArray__Gnatenko2","Blood",3.85957274628721e-52
"3","darkmagenta","105976_REACTOME_Eukaryotic_Translation_Elongation__Reactome_NCBI_Biosystems","PW_Lists",1.1471999449753e-49
"4","darkmagenta","160955_REACTOME_L13a-mediated_translational_silencing_of_Ceruloplasmin_expression__Reactome_NCBI_Biosystems","PW_Lists",1.56167330859884e-49
"5","darkmagenta","105973_REACTOME_GTP_hydrolysis_and_joining_of_the_60S_ribosomal_subunit__Reactome_NCBI_Biosystems","PW_Lists",3.21177720795792e-49
"6","darkmagenta","105977_REACTOME_Peptide_chain_elongation__Reactome_NCBI_Biosystems","PW_Lists",9.30836092372912e-49
"7","darkmagenta","105966_REACTOME_Eukaryotic_Translation_Initiation__Reactome_NCBI_Biosystems","PW_Lists",1.19032155390106e-48
"8","darkmagenta","105967_REACTOME_Cap-dependent_Translation_Initiation__Reactome_NCBI_Biosystems","PW_Lists",1.19032155390106e-48
"9","darkmagenta","105978_REACTOME_Eukaryotic_Translation_Termination__Reactome_NCBI_Biosystems","PW_Lists",4.39654096998647e-47
"10","darkmagenta","106077_REACTOME_Viral_mRNA_Translation__Reactome_NCBI_Biosystems","PW_Lists",4.39654096998647e-47
"11","mediumpurple3","530733_REACTOME_Cell_Cycle__Reactome_NCBI_Biosystems","PW_Lists",2.29484553650547e-46
"12","darkmagenta","198853_WikiPathways_Cytoplasmic_Ribosomal_Proteins__Wiki_Pathways_NCBI_Biosystems","PW_Lists",2.39896766815807e-46
"13","darkmagenta","413404_KEGG_Ribosome,_eukaryotes__Kegg_NCBI_Biosystems","PW_Lists",1.97321554490314e-45
"14","darkmagenta","366242_REACTOME_Nonsense_Mediated_Decay_Independent_of_the_Exon_Junction_Complex__Reactome_NCBI_Biosystems","PW_Lists",2.71900775905525e-45
"15","darkmagenta","105965_REACTOME_Translation__Reactome_NCBI_Biosystems","PW_Lists",3.70206180660138e-45
"16","darkmagenta","441_KEGG_Ribosome__Kegg_NCBI_Biosystems","PW_Lists",4.51803955383298e-45
"17","darkmagenta","83036_KEGG_Ribosome__Kegg_NCBI_Biosystems","PW_Lists",4.51803955383298e-45
