"","bisque4","darkorange","floralwhite","maroon","salmon4","coral1","lightcoral","blue","darkred","darkturquoise","darkolivegreen4","coral2","yellow4","ivory","lavenderblush3","skyblue1","lightpink4","darkolivegreen","lightsteelblue1","darkmagenta","red","grey60","thistle1","orangered3","lightsteelblue","brown2","darkslateblue","indianred4","brown","plum","mediumpurple3","darkorange2"
"Astrocytes, highly probable (Cahoy, 2008)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Astrocytes module in Cortex",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6.02076557371347e-05,1,1,1,1,1,1,1
"Microglia in Human brain Module (Geschwind, 2010)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9.84821473292659e-06,1,1.42350413549837e-17,1,1,1,1,1,1,1
"Microglia (Type2) module in Cortex",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron in Human brain Module (Geschwind,2010)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00321894312532904,1,1,0.0363333646808935,1,1,1,1,1,1,1,1,1,1,1
"Neuron module in Cortex",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.22358142453062e-05,1,1,1,1,1,1,1,7.82126430824543e-06,1,1,1
"Neuron, pyramidal in network from Sugino/Winden",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000141959793217477,1,1,1
"Microglia (Type 1) (Geschwind, 2010)",1,0.000204070963747072,0.00287737594256647,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron, definite (Cahoy, 2008)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Oligodendrocytes in Human brain Module (Geschwind,2010)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Oligodendrocytes in Cortex",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Oligodendrocytes, definite (Cahoy, 2008)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Oligodendrocytes from conservative data set (Lein, 2007)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Neuron, probably (Cahoy, 2008)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
