"","ensgene","name","module","mm"
"1","ENSG00000227232","WASH7P","bisque4",0.750525392976021
"2","ENSG00000238009","RP11-34P13.7","darkorange",0.755375692330935
"3","ENSG00000233750","RP11-34P13.10","darkorange",0.707755750257325
"4","ENSG00000237683","AL627309.1","floralwhite",0.740392425872354
"5","ENSG00000268903","RP11-34P13.15","floralwhite",0.766348868576981
"6","ENSG00000269981","RP11-34P13.16","floralwhite",0.712211631354589
"7","ENSG00000239906","RP11-34P13.14","maroon",0.660599182835098
"8","ENSG00000241860","RP11-34P13.13","maroon",0.745747259897679
"9","ENSG00000228463","AP006222.2","darkorange",0.661747464350074
"10","ENSG00000237094","RP4-669L17.10","maroon",0.709766580001289
"11","ENSG00000225972","MTND1P23","salmon4",0.231238636981682
"12","ENSG00000225630","MTND2P28","salmon4",0.265187527980027
"13","ENSG00000237973","hsa-mir-6723","coral1",0.245099571862714
"14","ENSG00000229344","RP5-857K21.7","salmon4",0.220224388443527
"15","ENSG00000224956","RP11-206L10.1","floralwhite",0.613946272258851
"16","ENSG00000235373","RP11-206L10.3","maroon",0.708497508417388
"17","ENSG00000240618","RP11-206L10.5","maroon",0.650644965313139
"18","ENSG00000228327","RP11-206L10.2","maroon",0.824766140485929
"19","ENSG00000225880","LINC00115","lightcoral",0.689476375091225
"20","ENSG00000228794","RP11-206L10.11","lightcoral",0.725076108307913
"21","ENSG00000188976","NOC2L","blue",0.961539237249165
"22","ENSG00000187961","KLHL17","lightcoral",0.892679588193203
"23","ENSG00000187583","PLEKHN1","blue",0.659279460759201
"24","ENSG00000188290","HES4","lightcoral",0.61938369057196
"25","ENSG00000187608","ISG15","lightcoral",0.577735975681106
"26","ENSG00000188157","AGRN","blue",0.661007765198171
"27","ENSG00000131591","C1orf159","lightcoral",0.869773270358939
"28","ENSG00000186891","TNFRSF18","lightcoral",0.78587069471542
"29","ENSG00000186827","TNFRSF4","lightcoral",0.820985626128957
"30","ENSG00000078808","SDF4","darkred",0.88250558890271
"31","ENSG00000176022","B3GALT6","darkred",0.851414989202819
"32","ENSG00000184163","FAM132A","bisque4",0.468907018685054
"33","ENSG00000160087","UBE2J2","darkred",0.91523881747719
"34","ENSG00000162572","SCNN1D","lightcoral",0.871379437983735
"35","ENSG00000131584","ACAP3","bisque4",0.870382620757737
"36","ENSG00000169972","PUSL1","darkred",0.790963757448363
"37","ENSG00000127054","CPSF3L","bisque4",0.947940866954615
"38","ENSG00000240731","RP5-890O3.9","darkturquoise",0.779583924059589
"39","ENSG00000224051","GLTPD1","darkred",0.894791689012724
"40","ENSG00000169962","TAS1R3","bisque4",0.630929732032386
"41","ENSG00000107404","DVL1","darkolivegreen4",0.889289937418256
"42","ENSG00000162576","MXRA8","lightcoral",0.681847743007534
"43","ENSG00000175756","AURKAIP1","floralwhite",0.85581442162445
"44","ENSG00000221978","CCNL2","bisque4",0.876749793334675
"45","ENSG00000224870","RP4-758J18.2","darkred",0.720925566976542
"46","ENSG00000242485","MRPL20","coral2",0.935475546963471
"47","ENSG00000264293","RN7SL657P","yellow4",0.68005759365038
"48","ENSG00000160072","ATAD3B","lightcoral",0.905963557357737
"49","ENSG00000197785","ATAD3A","blue",0.917385502669606
"50","ENSG00000160075","SSU72","darkred",0.925158698125685
"51","ENSG00000215791","AL645728.2","coral1",0.766805008076589
"52","ENSG00000228594","C1orf233","coral1",0.778855869481967
"53","ENSG00000272106","ENSG00000272106","coral1",0.756609159475535
